SOPType,SOPNumber,ItemNumber,QTY,ExtendedCost,ExtendedPrice,UnitCost,UnitPrice,CustomerNumber,DocumentDate,QTYInBaseUOfM,SalespersonID
"Invoice","INVS3017","5-CONTRACTS",1,0,375.03,0,375.03,"CENTRALI0001",2028-09-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3017","5-CONTRACTS",1,0,375.03,0,375.03,"CENTRALI0001",2028-09-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3017","5-CONTRACTS",1,0,375.03,0,375.03,"CENTRALI0001",2028-09-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3018","5-CONTRACTS",1,0,3900,0,3900,"NORTHERN0002",2027-10-01 00:00:00.000,1,"FRANCINE B."
"Invoice","INVS3018","5-CONTRACTS",1,0,0,0,0,"NORTHERN0002",2027-10-01 00:00:00.000,1,"FRANCINE B."
"Invoice","INVS3018","5-CONTRACTS",1,0,360,0,360,"NORTHERN0002",2027-10-01 00:00:00.000,1,"FRANCINE B."
"Invoice","INVS3019","5-CONTRACTS",1,0,3600,0,3600,"AMERICAN0001",2027-10-10 00:00:00.000,1,"PAUL W."
"Invoice","INVS3020","5-CONTRACTS",1,0,520,0,520,"WORLDENT0001",2028-04-10 00:00:00.000,1,"GREG E."
"Invoice","INVS3020","5-CONTRACTS",1,0,520,0,520,"WORLDENT0001",2028-04-10 00:00:00.000,1,"GREG E."
"Invoice","INVS3020","5-CONTRACTS",4,0,2080,0,520,"WORLDENT0001",2028-04-10 00:00:00.000,1,"GREG E."
"Invoice","INVS3021","5-CONTRACTS",1,0,2483.64,0,2483.64,"VANCOUVE0001",2027-10-01 00:00:00.000,1,"ERIN J."
"Invoice","INVS3022","5-CONTRACTS",1,0,3400,0,3400,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,400,0,400,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",2,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,150,0,150,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3022","5-CONTRACTS",1,0,0,0,0,"CELLULAR0001",2028-08-05 00:00:00.000,1,"PAUL W."
"Invoice","INVS3023","5-CONTRACTS",1,0,2759.6,0,2759.6,"ROSELLEN0001",2027-10-10 00:00:00.000,1,"GARY W."
"Invoice","INVS3024","5-CONTRACTS",2,0,500,0,250,"DIRECTMA0001",2028-09-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3024","5-CONTRACTS",3,0,500,0,166.67,"DIRECTMA0001",2028-09-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3024","5-CONTRACTS",1,0,500,0,500,"DIRECTMA0001",2028-09-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,4000,0,4000,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,370,0,370,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",2,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3025","5-CONTRACTS",1,0,0,0,0,"CENTRALD0001",2027-10-10 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3026","5-CONTRACTS",1,0,2483.64,0,2483.64,"NOVASCOT0001",2027-10-01 00:00:00.000,1,"FRANCINE B."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",2,0,1000,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3027","5-CONTRACTS",1,0,500,0,500,"RAINBOWR0001",2027-10-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3028","5-CONTRACTS",1,0,7600,0,7600,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,700,0,700,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,740,0,740,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",2,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3028","5-CONTRACTS",1,0,0,0,0,"HOMEFURN0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3029","5-CONTRACTS",1,0,4139.4,0,4139.4,"RIVERSID0001",2028-08-01 00:00:00.000,1,"ERIN J."
"Invoice","INVS3030","5-CONTRACTS",1,0,6209.1,0,6209.1,"COMPUTER0002",2027-11-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3031","5-CONTRACTS",2,0,250,0,125,"ALTONMAN0001",2028-04-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3031","5-CONTRACTS",3,0,250,0,83.33,"ALTONMAN0001",2028-04-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3031","5-CONTRACTS",1,0,250,0,250,"ALTONMAN0001",2028-04-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3032","5-CONTRACTS",2,0,500,0,250,"NORTHCOL0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3032","5-CONTRACTS",3,0,500,0,166.67,"NORTHCOL0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3032","5-CONTRACTS",1,0,500,0,500,"NORTHCOL0001",2027-11-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3033","5-CONTRACTS",1,0,8000,0,8000,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,740,0,740,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",2,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3033","5-CONTRACTS",1,0,0,0,0,"COUNTRYV0001",2027-12-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3034","5-CONTRACTS",1,0,8000,0,8000,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,740,0,740,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",2,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3034","5-CONTRACTS",1,0,0,0,0,"COMPUTEC0001",2027-12-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3035","5-CONTRACTS",1,0,827.88,0,827.88,"BREAKTHR0001",2027-12-01 00:00:00.000,1,"FRANCINE B."
"Invoice","INVS3036","5-CONTRACTS",2,0,165.58,0,82.79,"COMMUNIC0002",2028-05-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3036","5-CONTRACTS",2,0,165.58,0,82.79,"COMMUNIC0002",2028-05-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3036","5-CONTRACTS",1,0,165.58,0,165.58,"COMMUNIC0002",2028-05-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3037","5-CONTRACTS",2,0,827.88,0,413.94,"VISTATRA0001",2027-12-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3037","5-CONTRACTS",4,0,827.88,0,206.97,"VISTATRA0001",2027-12-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3037","5-CONTRACTS",1,0,579.52,0,579.52,"VISTATRA0001",2027-12-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3038","5-CONTRACTS",1,0,662.3,0,662.3,"PLACEONE0001",2028-01-01 00:00:00.000,1,"ERIN J."
"Invoice","INVS3039","5-CONTRACTS",2,0,1050,0,525,"BERRYMED0001",2028-09-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3039","5-CONTRACTS",2,0,1050,0,525,"BERRYMED0001",2028-09-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3039","5-CONTRACTS",1,0,73.5,0,73.5,"BERRYMED0001",2028-09-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3040","5-CONTRACTS",2,0,2400,0,1200,"MIDCITYH0001",2028-07-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3040","5-CONTRACTS",1,0,1200,0,1200,"MIDCITYH0001",2028-07-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3040","5-CONTRACTS",1,0,960,0,960,"MIDCITYH0001",2028-07-01 00:00:00.000,1,"GREG E."
"Invoice","INVS3041","5-CONTRACTS",1,0,960,0,960,"JOHNSONK0001",2028-01-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3042","5-CONTRACTS",2,0,1200,0,600,"CRAWFORD0001",2028-01-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3042","5-CONTRACTS",4,0,1200,0,300,"CRAWFORD0001",2028-01-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3042","5-CONTRACTS",2,0,1200,0,600,"CRAWFORD0001",2028-01-01 00:00:00.000,1,"PAUL W."
"Invoice","INVS3043","5-CONTRACTS",2,0,2400,0,1200,"LASERMES0001",2028-01-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3043","5-CONTRACTS",4,0,2400,0,600,"LASERMES0001",2028-01-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3043","5-CONTRACTS",1,0,2400,0,2400,"LASERMES0001",2028-01-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3044","5-CONTRACTS",2,0,1655.76,0,827.88,"ADVANCED0002",2028-07-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3044","5-CONTRACTS",4,0,1655.76,0,413.94,"ADVANCED0002",2028-07-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3044","5-CONTRACTS",3,0,1655.76,0,551.92,"ADVANCED0002",2028-07-01 00:00:00.000,1,"GARY W."
"Invoice","INVS3045","5-CONTRACTS",2,0,2400,0,1200,"STMARYHO0001",2028-07-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3045","5-CONTRACTS",4,0,2400,0,600,"STMARYHO0001",2028-07-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3045","5-CONTRACTS",3,0,2400,0,800,"STMARYHO0001",2028-07-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3046","5-CONTRACTS",2,0,1758.24,0,879.12,"STPATRIC0001",2028-07-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3046","5-CONTRACTS",4,0,1758.24,0,439.56,"STPATRIC0001",2028-07-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3046","5-CONTRACTS",6,0,1758.24,0,293.04,"STPATRIC0001",2028-07-01 00:00:00.000,1,"IAN M."
"Invoice","INVS3047","5-CONTRACTS",1,0,333.33,0,333.33,"RIVERSID0001",2028-10-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3047","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-10-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3047","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-10-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3047","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-10-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3047","5-CONTRACTS",1,0,30.83,0,30.83,"RIVERSID0001",2028-10-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3048","5-CONTRACTS",1,0,300,0,300,"COMPUTER0001",2028-10-31 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3048","5-CONTRACTS",1,0,8.33,0,8.33,"COMPUTER0001",2028-10-31 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3048","5-CONTRACTS",1,0,8.33,0,8.33,"COMPUTER0001",2028-10-31 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3048","5-CONTRACTS",1,0,4.17,0,4.17,"COMPUTER0001",2028-10-31 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3049","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-10-31 00:00:00.000,1,"PAUL W."
"Invoice","INVS3049","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-10-31 00:00:00.000,1,"PAUL W."
"Invoice","INVS3049","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-10-31 00:00:00.000,1,"PAUL W."
"Invoice","INVS3049","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-10-31 00:00:00.000,1,"PAUL W."
"Invoice","INVS3049","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-10-31 00:00:00.000,1,"PAUL W."
"Invoice","INVS3050","5-CONTRACTS",2,0,50,0,25,"BERRYMED0001",2028-10-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3050","5-CONTRACTS",2,0,50,0,25,"BERRYMED0001",2028-10-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3050","5-CONTRACTS",1,0,3.5,0,3.5,"BERRYMED0001",2028-10-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3051","5-CONTRACTS",1,0,333.37,0,333.37,"RIVERSID0001",2028-11-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3051","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-11-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3051","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-11-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3051","5-CONTRACTS",1,0,0,0,0,"RIVERSID0001",2028-11-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3051","5-CONTRACTS",1,0,30.87,0,30.87,"RIVERSID0001",2028-11-25 00:00:00.000,1,"ERIN J."
"Invoice","INVS3052","5-CONTRACTS",1,0,300,0,300,"COMPUTER0001",2028-11-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3052","5-CONTRACTS",1,0,8.33,0,8.33,"COMPUTER0001",2028-11-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3052","5-CONTRACTS",1,0,8.33,0,8.33,"COMPUTER0001",2028-11-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3052","5-CONTRACTS",1,0,4.17,0,4.17,"COMPUTER0001",2028-11-30 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3053","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-11-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3053","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-11-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3053","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-11-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3053","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-11-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3053","5-CONTRACTS",1,0,41.67,0,41.67,"CENTRALI0001",2028-11-30 00:00:00.000,1,"PAUL W."
"Invoice","INVS3054","5-CONTRACTS",2,0,50,0,25,"BERRYMED0001",2028-11-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3054","5-CONTRACTS",2,0,50,0,25,"BERRYMED0001",2028-11-01 00:00:00.000,1,"SANDRA M."
"Invoice","INVS3054","5-CONTRACTS",1,0,3.5,0,3.5,"BERRYMED0001",2028-11-01 00:00:00.000,1,"SANDRA M."
"Invoice","STDINV2256","SPLN-TWO-0001",1,0,1000,0,1000,"FRANCHIS0001",2027-05-23 00:00:00.000,1,"PAUL W."
"Invoice","STDINV2218","REPR-TWO-0002",12,0,419.4,0,34.95,"VANCOUVE0001",2027-03-26 00:00:00.000,1,"ERIN J."
"Invoice","STDINV2172","REPR-TWO-0002",5.5,0,192.23,0,34.95,"PLAZAONE0001",2026-02-22 00:00:00.000,1,"SANDRA M."
"Invoice","STDINV2111","REPR-TWO-0002",12,0,419.4,0,34.95,"VANCOUVE0001",2026-03-26 00:00:00.000,1,"ERIN J."
"Invoice","STDINV2065","REPR-TWO-0002",5.5,0,192.23,0,34.95,"PLAZAONE0001",2026-02-22 00:00:00.000,1,"SANDRA M."
"Order","ORDST2216","REPR-TWO-0002",12,0,419.4,0,34.95,"VANCOUVE0001",2027-03-26 00:00:00.000,1,"ERIN J."
"Order","ORDST2170","REPR-TWO-0002",5.5,0,192.23,0,34.95,"PLAZAONE0001",2026-02-22 00:00:00.000,1,"SANDRA M."
"Order","ORDST2110","REPR-TWO-0002",12,0,419.4,0,34.95,"VANCOUVE0001",2026-03-26 00:00:00.000,1,"ERIN J."
"Order","ORDST2064","REPR-TWO-0002",5.5,0,192.23,0,34.95,"PLAZAONE0001",2026-02-22 00:00:00.000,1,"SANDRA M."
"Order","ORDST1025","PHON-GTE-3458",4,0,39.8,0,9.95,"BAKERSEM0001",2025-05-08 00:00:00.000,1,"GREG E."
"Invoice","STDINV2259","128 SDRAM",1,0,0,152.1,135.2,"CENTRALC0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Invoice","STDINV2259","24X IDE",1,0,0,45,40,"CENTRALC0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Invoice","STDINV2259","32X IDE",1,0,0,49.5,49.95,"CENTRALC0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Invoice","STDINV2259","ACCS-CRD-12WH",3,0,0,3.29,9.95,"CENTRALC0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Back Order","BKO1005","ACCS-HDS-1EAR",3,115.77,239.85,38.59,79.95,"BREAKTHR0001",2027-04-21 00:00:00.000,1,"FRANCINE B."
"Back Order","BKO1006","ANSW-PAN-1450",3,150.75,329.85,50.25,109.95,"ADAMPARK0001",2027-04-21 00:00:00.000,1,"GREG E."
"Fulfillment Order","FULORD1000","100XLG",2,111,119.9,55.5,59.95,"AARONFIT0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Fulfillment Order","FULORD1001","333PROC",2,477,479.9,238.5,239.95,"ADAMPARK0001",2027-04-12 00:00:00.000,1,"GREG E."
"Fulfillment Order","FULORD1001","ACCS-CRD-25BK",2,11.96,39.9,5.98,19.95,"ADAMPARK0001",2027-04-12 00:00:00.000,1,"GREG E."
"Fulfillment Order","FULORD1002","ACCS-HDS-1EAR",2,77.18,159.9,38.59,79.95,"ADVANCED0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Fulfillment Order","FULORD1003","BK MOUSE",2,18,39.9,9,19.95,"AARONFIT0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Fulfillment Order","FULORD1004","COMPBOOK",2,13.5,15,6.75,7.5,"ADVANCED0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Fulfillment Order","FULORD1006","KB104",2,27,39.9,13.5,19.95,"AARONFIT0001",2027-04-12 00:00:00.000,1,"PAUL W."
"Fulfillment Order","FULORD1007","CBA100",2,31,59.9,15.5,29.95,"ADAMPARK0001",2027-04-12 00:00:00.000,1,"GREG E."
