customer_key,customer_id,customer_name,sub_trade_channel,trade_channel,super_channel,business_segment,business_type,sales_organization,sales_office,market_unit,cdm_tier
106,500028000,LOVES TRAVEL STOP #0480,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
107,500028016,FOOD CITY #0620,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
108,500028442,ROCKY TOP MARKETS #901,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
109,500028443,ROCKY TOP MARKETS #902,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
110,500028448,ROCKY TOP MARKETS #914,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
111,500028455,TANGER FIVE OAKS #46,OTHER GENERAL MERCHA,GENERAL MERCHANDISER,RETAIL ON PREMISE,ON PREMISE,FSV - Full Service,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
112,500028468,ROCKY TOP MARKETS #925,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
113,500028508,LEE FOOD MART #0407,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
114,500028555,GROVE MARKET,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
115,500028595,SHELL MART,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
116,500028760,DOLLAR GENERAL #15065,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
117,500028808,DOLLAR GENERAL #03156,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
118,500028823,GLENSTONE LODGE POOL,HOTEL/MOTEL/RESORT/I,LODGING,TRAVEL/TRANSPORTATION/HOSPITALITY,ON PREMISE,FSV - Full Service,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
119,500028839,FIVE BELOW #0629,VALUE DISCOUNT,VALUE,VALUE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
120,500028864,LOWES MARKET AND DELI,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
121,500029030,NORTHSHORE MARATHON,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
122,500029466,KROGER #0628,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
123,500029569,FOOD CITY #0634,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
124,500029661,THE TRACK,OTHER AMUSEMENT,AMUSEMENT,AMUSEMENT/RECREATION/LEISURE,ON PREMISE,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
125,500029732,GIT N GO #0001,INDEPENDENT CONVENIE,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
126,500029742,INGLES #0071,CHAIN SUPERMARKET,SUPERMARKET,LARGE STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
127,500029772,CVS #03721,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
128,500029773,CVS #03741,CHAIN DRUG STORE,DRUG STORE,DRUG,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
129,500029808,WEIGELS #0030,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
130,500029811,WEIGELS #0033,CHAIN CONVENIENCE ST,CONVENIENCE STORE/PETROLEUM FOOD MART,SMALL STORE,HOME MARKET,DSD,CCBCC Operations,"KNOXVILLE, TN",MID SOUTH MUGM,
