DateKey,Date,Year,QuarterName,QuarterNumber,MonthNumber,MonthName,DayOfMonth,DayName,WeekOfYear,IsWeekend,CalendarYearQuarter
20221106,2022-11-06,2022,Fall,4,11,November,6,Sunday,44,Yes,2022 Fall
20221107,2022-11-07,2022,Fall,4,11,November,7,Monday,45,No,2022 Fall
20221108,2022-11-08,2022,Fall,4,11,November,8,Tuesday,45,No,2022 Fall
20221109,2022-11-09,2022,Fall,4,11,November,9,Wednesday,45,No,2022 Fall
20221110,2022-11-10,2022,Fall,4,11,November,10,Thursday,45,No,2022 Fall
20221111,2022-11-11,2022,Fall,4,11,November,11,Friday,45,No,2022 Fall
20221112,2022-11-12,2022,Fall,4,11,November,12,Saturday,45,Yes,2022 Fall
20221113,2022-11-13,2022,Fall,4,11,November,13,Sunday,45,Yes,2022 Fall
20221114,2022-11-14,2022,Fall,4,11,November,14,Monday,46,No,2022 Fall
20221115,2022-11-15,2022,Fall,4,11,November,15,Tuesday,46,No,2022 Fall
20221116,2022-11-16,2022,Fall,4,11,November,16,Wednesday,46,No,2022 Fall
20221117,2022-11-17,2022,Fall,4,11,November,17,Thursday,46,No,2022 Fall
20221118,2022-11-18,2022,Fall,4,11,November,18,Friday,46,No,2022 Fall
20221119,2022-11-19,2022,Fall,4,11,November,19,Saturday,46,Yes,2022 Fall
20221120,2022-11-20,2022,Fall,4,11,November,20,Sunday,46,Yes,2022 Fall
20221121,2022-11-21,2022,Fall,4,11,November,21,Monday,47,No,2022 Fall
20221122,2022-11-22,2022,Fall,4,11,November,22,Tuesday,47,No,2022 Fall
20221123,2022-11-23,2022,Fall,4,11,November,23,Wednesday,47,No,2022 Fall
20221124,2022-11-24,2022,Fall,4,11,November,24,Thursday,47,No,2022 Fall
20221125,2022-11-25,2022,Fall,4,11,November,25,Friday,47,No,2022 Fall
20221126,2022-11-26,2022,Fall,4,11,November,26,Saturday,47,Yes,2022 Fall
20221127,2022-11-27,2022,Fall,4,11,November,27,Sunday,47,Yes,2022 Fall
20221128,2022-11-28,2022,Fall,4,11,November,28,Monday,48,No,2022 Fall
20221129,2022-11-29,2022,Fall,4,11,November,29,Tuesday,48,No,2022 Fall
20221130,2022-11-30,2022,Fall,4,11,November,30,Wednesday,48,No,2022 Fall
20221201,2022-12-01,2022,Fall,4,12,December,1,Thursday,48,No,2022 Fall
20221202,2022-12-02,2022,Fall,4,12,December,2,Friday,48,No,2022 Fall
20221203,2022-12-03,2022,Fall,4,12,December,3,Saturday,48,Yes,2022 Fall
20221204,2022-12-04,2022,Fall,4,12,December,4,Sunday,48,Yes,2022 Fall
20221205,2022-12-05,2022,Fall,4,12,December,5,Monday,49,No,2022 Fall
20221206,2022-12-06,2022,Fall,4,12,December,6,Tuesday,49,No,2022 Fall
20221207,2022-12-07,2022,Fall,4,12,December,7,Wednesday,49,No,2022 Fall
20221208,2022-12-08,2022,Fall,4,12,December,8,Thursday,49,No,2022 Fall
20221209,2022-12-09,2022,Fall,4,12,December,9,Friday,49,No,2022 Fall
20221210,2022-12-10,2022,Fall,4,12,December,10,Saturday,49,Yes,2022 Fall
20221211,2022-12-11,2022,Fall,4,12,December,11,Sunday,49,Yes,2022 Fall
20221212,2022-12-12,2022,Fall,4,12,December,12,Monday,50,No,2022 Fall
20221213,2022-12-13,2022,Fall,4,12,December,13,Tuesday,50,No,2022 Fall
20221214,2022-12-14,2022,Fall,4,12,December,14,Wednesday,50,No,2022 Fall
20221215,2022-12-15,2022,Fall,4,12,December,15,Thursday,50,No,2022 Fall
20221216,2022-12-16,2022,Fall,4,12,December,16,Friday,50,No,2022 Fall
20221217,2022-12-17,2022,Fall,4,12,December,17,Saturday,50,Yes,2022 Fall
20221218,2022-12-18,2022,Fall,4,12,December,18,Sunday,50,Yes,2022 Fall
20221219,2022-12-19,2022,Fall,4,12,December,19,Monday,51,No,2022 Fall
20221220,2022-12-20,2022,Fall,4,12,December,20,Tuesday,51,No,2022 Fall
20221221,2022-12-21,2022,Fall,4,12,December,21,Wednesday,51,No,2022 Fall
20221222,2022-12-22,2022,Fall,4,12,December,22,Thursday,51,No,2022 Fall
20221223,2022-12-23,2022,Fall,4,12,December,23,Friday,51,No,2022 Fall
20221224,2022-12-24,2022,Fall,4,12,December,24,Saturday,51,Yes,2022 Fall
20221225,2022-12-25,2022,Fall,4,12,December,25,Sunday,51,Yes,2022 Fall
20221226,2022-12-26,2022,Fall,4,12,December,26,Monday,52,No,2022 Fall
20221227,2022-12-27,2022,Fall,4,12,December,27,Tuesday,52,No,2022 Fall
20221228,2022-12-28,2022,Fall,4,12,December,28,Wednesday,52,No,2022 Fall
20221229,2022-12-29,2022,Fall,4,12,December,29,Thursday,52,No,2022 Fall
20221230,2022-12-30,2022,Fall,4,12,December,30,Friday,52,No,2022 Fall
20221231,2022-12-31,2022,Fall,4,12,December,31,Saturday,52,Yes,2022 Fall
20230101,2023-01-01,2023,Winter,1,1,January,1,Sunday,52,Yes,2023 Winter
20230102,2023-01-02,2023,Winter,1,1,January,2,Monday,1,No,2023 Winter
20230103,2023-01-03,2023,Winter,1,1,January,3,Tuesday,1,No,2023 Winter
20230104,2023-01-04,2023,Winter,1,1,January,4,Wednesday,1,No,2023 Winter
20230105,2023-01-05,2023,Winter,1,1,January,5,Thursday,1,No,2023 Winter
20230106,2023-01-06,2023,Winter,1,1,January,6,Friday,1,No,2023 Winter
20230107,2023-01-07,2023,Winter,1,1,January,7,Saturday,1,Yes,2023 Winter
20230108,2023-01-08,2023,Winter,1,1,January,8,Sunday,1,Yes,2023 Winter
20230109,2023-01-09,2023,Winter,1,1,January,9,Monday,2,No,2023 Winter
20230110,2023-01-10,2023,Winter,1,1,January,10,Tuesday,2,No,2023 Winter
20230111,2023-01-11,2023,Winter,1,1,January,11,Wednesday,2,No,2023 Winter
20230112,2023-01-12,2023,Winter,1,1,January,12,Thursday,2,No,2023 Winter
20230113,2023-01-13,2023,Winter,1,1,January,13,Friday,2,No,2023 Winter
20230114,2023-01-14,2023,Winter,1,1,January,14,Saturday,2,Yes,2023 Winter
20230115,2023-01-15,2023,Winter,1,1,January,15,Sunday,2,Yes,2023 Winter
20230116,2023-01-16,2023,Winter,1,1,January,16,Monday,3,No,2023 Winter
20230117,2023-01-17,2023,Winter,1,1,January,17,Tuesday,3,No,2023 Winter
20230118,2023-01-18,2023,Winter,1,1,January,18,Wednesday,3,No,2023 Winter
20230119,2023-01-19,2023,Winter,1,1,January,19,Thursday,3,No,2023 Winter
20230120,2023-01-20,2023,Winter,1,1,January,20,Friday,3,No,2023 Winter
20230121,2023-01-21,2023,Winter,1,1,January,21,Saturday,3,Yes,2023 Winter
20230122,2023-01-22,2023,Winter,1,1,January,22,Sunday,3,Yes,2023 Winter
20230123,2023-01-23,2023,Winter,1,1,January,23,Monday,4,No,2023 Winter
20230124,2023-01-24,2023,Winter,1,1,January,24,Tuesday,4,No,2023 Winter
20230125,2023-01-25,2023,Winter,1,1,January,25,Wednesday,4,No,2023 Winter
20230126,2023-01-26,2023,Winter,1,1,January,26,Thursday,4,No,2023 Winter
20230127,2023-01-27,2023,Winter,1,1,January,27,Friday,4,No,2023 Winter
20230128,2023-01-28,2023,Winter,1,1,January,28,Saturday,4,Yes,2023 Winter
20230129,2023-01-29,2023,Winter,1,1,January,29,Sunday,4,Yes,2023 Winter
20230130,2023-01-30,2023,Winter,1,1,January,30,Monday,5,No,2023 Winter
20230131,2023-01-31,2023,Winter,1,1,January,31,Tuesday,5,No,2023 Winter
20230201,2023-02-01,2023,Winter,1,2,February,1,Wednesday,5,No,2023 Winter
20230202,2023-02-02,2023,Winter,1,2,February,2,Thursday,5,No,2023 Winter
20230203,2023-02-03,2023,Winter,1,2,February,3,Friday,5,No,2023 Winter
20230204,2023-02-04,2023,Winter,1,2,February,4,Saturday,5,Yes,2023 Winter
20230205,2023-02-05,2023,Winter,1,2,February,5,Sunday,5,Yes,2023 Winter
20230206,2023-02-06,2023,Winter,1,2,February,6,Monday,6,No,2023 Winter
20230207,2023-02-07,2023,Winter,1,2,February,7,Tuesday,6,No,2023 Winter
20230208,2023-02-08,2023,Winter,1,2,February,8,Wednesday,6,No,2023 Winter
20230209,2023-02-09,2023,Winter,1,2,February,9,Thursday,6,No,2023 Winter
20230210,2023-02-10,2023,Winter,1,2,February,10,Friday,6,No,2023 Winter
20230211,2023-02-11,2023,Winter,1,2,February,11,Saturday,6,Yes,2023 Winter
20230212,2023-02-12,2023,Winter,1,2,February,12,Sunday,6,Yes,2023 Winter
20230213,2023-02-13,2023,Winter,1,2,February,13,Monday,7,No,2023 Winter
20230214,2023-02-14,2023,Winter,1,2,February,14,Tuesday,7,No,2023 Winter
20230215,2023-02-15,2023,Winter,1,2,February,15,Wednesday,7,No,2023 Winter
20230216,2023-02-16,2023,Winter,1,2,February,16,Thursday,7,No,2023 Winter
20230217,2023-02-17,2023,Winter,1,2,February,17,Friday,7,No,2023 Winter
20230218,2023-02-18,2023,Winter,1,2,February,18,Saturday,7,Yes,2023 Winter
20230219,2023-02-19,2023,Winter,1,2,February,19,Sunday,7,Yes,2023 Winter
20230220,2023-02-20,2023,Winter,1,2,February,20,Monday,8,No,2023 Winter
20230221,2023-02-21,2023,Winter,1,2,February,21,Tuesday,8,No,2023 Winter
20230222,2023-02-22,2023,Winter,1,2,February,22,Wednesday,8,No,2023 Winter
20230223,2023-02-23,2023,Winter,1,2,February,23,Thursday,8,No,2023 Winter
20230224,2023-02-24,2023,Winter,1,2,February,24,Friday,8,No,2023 Winter
20230225,2023-02-25,2023,Winter,1,2,February,25,Saturday,8,Yes,2023 Winter
20230226,2023-02-26,2023,Winter,1,2,February,26,Sunday,8,Yes,2023 Winter
20230227,2023-02-27,2023,Winter,1,2,February,27,Monday,9,No,2023 Winter
20230228,2023-02-28,2023,Winter,1,2,February,28,Tuesday,9,No,2023 Winter
20230301,2023-03-01,2023,Winter,1,3,March,1,Wednesday,9,No,2023 Winter
20230302,2023-03-02,2023,Winter,1,3,March,2,Thursday,9,No,2023 Winter
20230303,2023-03-03,2023,Winter,1,3,March,3,Friday,9,No,2023 Winter
20230304,2023-03-04,2023,Winter,1,3,March,4,Saturday,9,Yes,2023 Winter
20230305,2023-03-05,2023,Winter,1,3,March,5,Sunday,9,Yes,2023 Winter
20230306,2023-03-06,2023,Winter,1,3,March,6,Monday,10,No,2023 Winter
20230307,2023-03-07,2023,Winter,1,3,March,7,Tuesday,10,No,2023 Winter
20230308,2023-03-08,2023,Winter,1,3,March,8,Wednesday,10,No,2023 Winter
20230309,2023-03-09,2023,Winter,1,3,March,9,Thursday,10,No,2023 Winter
20230310,2023-03-10,2023,Winter,1,3,March,10,Friday,10,No,2023 Winter
20230311,2023-03-11,2023,Winter,1,3,March,11,Saturday,10,Yes,2023 Winter
20230312,2023-03-12,2023,Winter,1,3,March,12,Sunday,10,Yes,2023 Winter
20230313,2023-03-13,2023,Winter,1,3,March,13,Monday,11,No,2023 Winter
20230314,2023-03-14,2023,Winter,1,3,March,14,Tuesday,11,No,2023 Winter
20230315,2023-03-15,2023,Winter,1,3,March,15,Wednesday,11,No,2023 Winter
20230316,2023-03-16,2023,Winter,1,3,March,16,Thursday,11,No,2023 Winter
20230317,2023-03-17,2023,Winter,1,3,March,17,Friday,11,No,2023 Winter
20230318,2023-03-18,2023,Winter,1,3,March,18,Saturday,11,Yes,2023 Winter
20230319,2023-03-19,2023,Winter,1,3,March,19,Sunday,11,Yes,2023 Winter
20230320,2023-03-20,2023,Winter,1,3,March,20,Monday,12,No,2023 Winter
20230321,2023-03-21,2023,Winter,1,3,March,21,Tuesday,12,No,2023 Winter
20230322,2023-03-22,2023,Winter,1,3,March,22,Wednesday,12,No,2023 Winter
20230323,2023-03-23,2023,Winter,1,3,March,23,Thursday,12,No,2023 Winter
20230324,2023-03-24,2023,Winter,1,3,March,24,Friday,12,No,2023 Winter
20230325,2023-03-25,2023,Winter,1,3,March,25,Saturday,12,Yes,2023 Winter
20230326,2023-03-26,2023,Winter,1,3,March,26,Sunday,12,Yes,2023 Winter
20230327,2023-03-27,2023,Winter,1,3,March,27,Monday,13,No,2023 Winter
20230328,2023-03-28,2023,Winter,1,3,March,28,Tuesday,13,No,2023 Winter
20230329,2023-03-29,2023,Winter,1,3,March,29,Wednesday,13,No,2023 Winter
20230330,2023-03-30,2023,Winter,1,3,March,30,Thursday,13,No,2023 Winter
20230331,2023-03-31,2023,Winter,1,3,March,31,Friday,13,No,2023 Winter
20230401,2023-04-01,2023,Spring,2,4,April,1,Saturday,13,Yes,2023 Spring
20230402,2023-04-02,2023,Spring,2,4,April,2,Sunday,13,Yes,2023 Spring
20230403,2023-04-03,2023,Spring,2,4,April,3,Monday,14,No,2023 Spring
20230404,2023-04-04,2023,Spring,2,4,April,4,Tuesday,14,No,2023 Spring
20230405,2023-04-05,2023,Spring,2,4,April,5,Wednesday,14,No,2023 Spring
20230406,2023-04-06,2023,Spring,2,4,April,6,Thursday,14,No,2023 Spring
20230407,2023-04-07,2023,Spring,2,4,April,7,Friday,14,No,2023 Spring
20230408,2023-04-08,2023,Spring,2,4,April,8,Saturday,14,Yes,2023 Spring
20230409,2023-04-09,2023,Spring,2,4,April,9,Sunday,14,Yes,2023 Spring
20230410,2023-04-10,2023,Spring,2,4,April,10,Monday,15,No,2023 Spring
20230411,2023-04-11,2023,Spring,2,4,April,11,Tuesday,15,No,2023 Spring
20230412,2023-04-12,2023,Spring,2,4,April,12,Wednesday,15,No,2023 Spring
20230413,2023-04-13,2023,Spring,2,4,April,13,Thursday,15,No,2023 Spring
20230414,2023-04-14,2023,Spring,2,4,April,14,Friday,15,No,2023 Spring
20230415,2023-04-15,2023,Spring,2,4,April,15,Saturday,15,Yes,2023 Spring
20230416,2023-04-16,2023,Spring,2,4,April,16,Sunday,15,Yes,2023 Spring
20230417,2023-04-17,2023,Spring,2,4,April,17,Monday,16,No,2023 Spring
20230418,2023-04-18,2023,Spring,2,4,April,18,Tuesday,16,No,2023 Spring
20230419,2023-04-19,2023,Spring,2,4,April,19,Wednesday,16,No,2023 Spring
20230420,2023-04-20,2023,Spring,2,4,April,20,Thursday,16,No,2023 Spring
20230421,2023-04-21,2023,Spring,2,4,April,21,Friday,16,No,2023 Spring
20230422,2023-04-22,2023,Spring,2,4,April,22,Saturday,16,Yes,2023 Spring
20230423,2023-04-23,2023,Spring,2,4,April,23,Sunday,16,Yes,2023 Spring
20230424,2023-04-24,2023,Spring,2,4,April,24,Monday,17,No,2023 Spring
20230425,2023-04-25,2023,Spring,2,4,April,25,Tuesday,17,No,2023 Spring
20230426,2023-04-26,2023,Spring,2,4,April,26,Wednesday,17,No,2023 Spring
20230427,2023-04-27,2023,Spring,2,4,April,27,Thursday,17,No,2023 Spring
20230428,2023-04-28,2023,Spring,2,4,April,28,Friday,17,No,2023 Spring
20230429,2023-04-29,2023,Spring,2,4,April,29,Saturday,17,Yes,2023 Spring
20230430,2023-04-30,2023,Spring,2,4,April,30,Sunday,17,Yes,2023 Spring
20230501,2023-05-01,2023,Spring,2,5,May,1,Monday,18,No,2023 Spring
20230502,2023-05-02,2023,Spring,2,5,May,2,Tuesday,18,No,2023 Spring
20230503,2023-05-03,2023,Spring,2,5,May,3,Wednesday,18,No,2023 Spring
20230504,2023-05-04,2023,Spring,2,5,May,4,Thursday,18,No,2023 Spring
20230505,2023-05-05,2023,Spring,2,5,May,5,Friday,18,No,2023 Spring
20230506,2023-05-06,2023,Spring,2,5,May,6,Saturday,18,Yes,2023 Spring
20230507,2023-05-07,2023,Spring,2,5,May,7,Sunday,18,Yes,2023 Spring
20230508,2023-05-08,2023,Spring,2,5,May,8,Monday,19,No,2023 Spring
20230509,2023-05-09,2023,Spring,2,5,May,9,Tuesday,19,No,2023 Spring
20230510,2023-05-10,2023,Spring,2,5,May,10,Wednesday,19,No,2023 Spring
20230511,2023-05-11,2023,Spring,2,5,May,11,Thursday,19,No,2023 Spring
20230512,2023-05-12,2023,Spring,2,5,May,12,Friday,19,No,2023 Spring
20230513,2023-05-13,2023,Spring,2,5,May,13,Saturday,19,Yes,2023 Spring
20230514,2023-05-14,2023,Spring,2,5,May,14,Sunday,19,Yes,2023 Spring
20230515,2023-05-15,2023,Spring,2,5,May,15,Monday,20,No,2023 Spring
20230516,2023-05-16,2023,Spring,2,5,May,16,Tuesday,20,No,2023 Spring
20230517,2023-05-17,2023,Spring,2,5,May,17,Wednesday,20,No,2023 Spring
20230518,2023-05-18,2023,Spring,2,5,May,18,Thursday,20,No,2023 Spring
20230519,2023-05-19,2023,Spring,2,5,May,19,Friday,20,No,2023 Spring
20230520,2023-05-20,2023,Spring,2,5,May,20,Saturday,20,Yes,2023 Spring
20230521,2023-05-21,2023,Spring,2,5,May,21,Sunday,20,Yes,2023 Spring
20230522,2023-05-22,2023,Spring,2,5,May,22,Monday,21,No,2023 Spring
20230523,2023-05-23,2023,Spring,2,5,May,23,Tuesday,21,No,2023 Spring
20230524,2023-05-24,2023,Spring,2,5,May,24,Wednesday,21,No,2023 Spring
20230525,2023-05-25,2023,Spring,2,5,May,25,Thursday,21,No,2023 Spring
20230526,2023-05-26,2023,Spring,2,5,May,26,Friday,21,No,2023 Spring
20230527,2023-05-27,2023,Spring,2,5,May,27,Saturday,21,Yes,2023 Spring
20230528,2023-05-28,2023,Spring,2,5,May,28,Sunday,21,Yes,2023 Spring
20230529,2023-05-29,2023,Spring,2,5,May,29,Monday,22,No,2023 Spring
20230530,2023-05-30,2023,Spring,2,5,May,30,Tuesday,22,No,2023 Spring
20230531,2023-05-31,2023,Spring,2,5,May,31,Wednesday,22,No,2023 Spring
20230601,2023-06-01,2023,Spring,2,6,June,1,Thursday,22,No,2023 Spring
20230602,2023-06-02,2023,Spring,2,6,June,2,Friday,22,No,2023 Spring
20230603,2023-06-03,2023,Spring,2,6,June,3,Saturday,22,Yes,2023 Spring
20230604,2023-06-04,2023,Spring,2,6,June,4,Sunday,22,Yes,2023 Spring
20230605,2023-06-05,2023,Spring,2,6,June,5,Monday,23,No,2023 Spring
20230606,2023-06-06,2023,Spring,2,6,June,6,Tuesday,23,No,2023 Spring
20230607,2023-06-07,2023,Spring,2,6,June,7,Wednesday,23,No,2023 Spring
20230608,2023-06-08,2023,Spring,2,6,June,8,Thursday,23,No,2023 Spring
20230609,2023-06-09,2023,Spring,2,6,June,9,Friday,23,No,2023 Spring
20230610,2023-06-10,2023,Spring,2,6,June,10,Saturday,23,Yes,2023 Spring
20230611,2023-06-11,2023,Spring,2,6,June,11,Sunday,23,Yes,2023 Spring
20230612,2023-06-12,2023,Spring,2,6,June,12,Monday,24,No,2023 Spring
20230613,2023-06-13,2023,Spring,2,6,June,13,Tuesday,24,No,2023 Spring
20230614,2023-06-14,2023,Spring,2,6,June,14,Wednesday,24,No,2023 Spring
20230615,2023-06-15,2023,Spring,2,6,June,15,Thursday,24,No,2023 Spring
20230616,2023-06-16,2023,Spring,2,6,June,16,Friday,24,No,2023 Spring
20230617,2023-06-17,2023,Spring,2,6,June,17,Saturday,24,Yes,2023 Spring
20230618,2023-06-18,2023,Spring,2,6,June,18,Sunday,24,Yes,2023 Spring
20230619,2023-06-19,2023,Spring,2,6,June,19,Monday,25,No,2023 Spring
20230620,2023-06-20,2023,Spring,2,6,June,20,Tuesday,25,No,2023 Spring
20230621,2023-06-21,2023,Spring,2,6,June,21,Wednesday,25,No,2023 Spring
20230622,2023-06-22,2023,Spring,2,6,June,22,Thursday,25,No,2023 Spring
20230623,2023-06-23,2023,Spring,2,6,June,23,Friday,25,No,2023 Spring
20230624,2023-06-24,2023,Spring,2,6,June,24,Saturday,25,Yes,2023 Spring
20230625,2023-06-25,2023,Spring,2,6,June,25,Sunday,25,Yes,2023 Spring
20230626,2023-06-26,2023,Spring,2,6,June,26,Monday,26,No,2023 Spring
20230627,2023-06-27,2023,Spring,2,6,June,27,Tuesday,26,No,2023 Spring
20230628,2023-06-28,2023,Spring,2,6,June,28,Wednesday,26,No,2023 Spring
20230629,2023-06-29,2023,Spring,2,6,June,29,Thursday,26,No,2023 Spring
20230630,2023-06-30,2023,Spring,2,6,June,30,Friday,26,No,2023 Spring
20230701,2023-07-01,2023,Summer,3,7,July,1,Saturday,26,Yes,2023 Summer
20230702,2023-07-02,2023,Summer,3,7,July,2,Sunday,26,Yes,2023 Summer
20230703,2023-07-03,2023,Summer,3,7,July,3,Monday,27,No,2023 Summer
20230704,2023-07-04,2023,Summer,3,7,July,4,Tuesday,27,No,2023 Summer
20230705,2023-07-05,2023,Summer,3,7,July,5,Wednesday,27,No,2023 Summer
20230706,2023-07-06,2023,Summer,3,7,July,6,Thursday,27,No,2023 Summer
20230707,2023-07-07,2023,Summer,3,7,July,7,Friday,27,No,2023 Summer
20230708,2023-07-08,2023,Summer,3,7,July,8,Saturday,27,Yes,2023 Summer
20230709,2023-07-09,2023,Summer,3,7,July,9,Sunday,27,Yes,2023 Summer
20230710,2023-07-10,2023,Summer,3,7,July,10,Monday,28,No,2023 Summer
20230711,2023-07-11,2023,Summer,3,7,July,11,Tuesday,28,No,2023 Summer
20230712,2023-07-12,2023,Summer,3,7,July,12,Wednesday,28,No,2023 Summer
20230713,2023-07-13,2023,Summer,3,7,July,13,Thursday,28,No,2023 Summer
20230714,2023-07-14,2023,Summer,3,7,July,14,Friday,28,No,2023 Summer
20230715,2023-07-15,2023,Summer,3,7,July,15,Saturday,28,Yes,2023 Summer
20230716,2023-07-16,2023,Summer,3,7,July,16,Sunday,28,Yes,2023 Summer
20230717,2023-07-17,2023,Summer,3,7,July,17,Monday,29,No,2023 Summer
20230718,2023-07-18,2023,Summer,3,7,July,18,Tuesday,29,No,2023 Summer
20230719,2023-07-19,2023,Summer,3,7,July,19,Wednesday,29,No,2023 Summer
20230720,2023-07-20,2023,Summer,3,7,July,20,Thursday,29,No,2023 Summer
20230721,2023-07-21,2023,Summer,3,7,July,21,Friday,29,No,2023 Summer
20230722,2023-07-22,2023,Summer,3,7,July,22,Saturday,29,Yes,2023 Summer
20230723,2023-07-23,2023,Summer,3,7,July,23,Sunday,29,Yes,2023 Summer
20230724,2023-07-24,2023,Summer,3,7,July,24,Monday,30,No,2023 Summer
20230725,2023-07-25,2023,Summer,3,7,July,25,Tuesday,30,No,2023 Summer
20230726,2023-07-26,2023,Summer,3,7,July,26,Wednesday,30,No,2023 Summer
20230727,2023-07-27,2023,Summer,3,7,July,27,Thursday,30,No,2023 Summer
20230728,2023-07-28,2023,Summer,3,7,July,28,Friday,30,No,2023 Summer
20230729,2023-07-29,2023,Summer,3,7,July,29,Saturday,30,Yes,2023 Summer
20230730,2023-07-30,2023,Summer,3,7,July,30,Sunday,30,Yes,2023 Summer
20230731,2023-07-31,2023,Summer,3,7,July,31,Monday,31,No,2023 Summer
20230801,2023-08-01,2023,Summer,3,8,August,1,Tuesday,31,No,2023 Summer
20230802,2023-08-02,2023,Summer,3,8,August,2,Wednesday,31,No,2023 Summer
20230803,2023-08-03,2023,Summer,3,8,August,3,Thursday,31,No,2023 Summer
20230804,2023-08-04,2023,Summer,3,8,August,4,Friday,31,No,2023 Summer
20230805,2023-08-05,2023,Summer,3,8,August,5,Saturday,31,Yes,2023 Summer
20230806,2023-08-06,2023,Summer,3,8,August,6,Sunday,31,Yes,2023 Summer
20230807,2023-08-07,2023,Summer,3,8,August,7,Monday,32,No,2023 Summer
20230808,2023-08-08,2023,Summer,3,8,August,8,Tuesday,32,No,2023 Summer
20230809,2023-08-09,2023,Summer,3,8,August,9,Wednesday,32,No,2023 Summer
20230810,2023-08-10,2023,Summer,3,8,August,10,Thursday,32,No,2023 Summer
20230811,2023-08-11,2023,Summer,3,8,August,11,Friday,32,No,2023 Summer
20230812,2023-08-12,2023,Summer,3,8,August,12,Saturday,32,Yes,2023 Summer
20230813,2023-08-13,2023,Summer,3,8,August,13,Sunday,32,Yes,2023 Summer
20230814,2023-08-14,2023,Summer,3,8,August,14,Monday,33,No,2023 Summer
20230815,2023-08-15,2023,Summer,3,8,August,15,Tuesday,33,No,2023 Summer
20230816,2023-08-16,2023,Summer,3,8,August,16,Wednesday,33,No,2023 Summer
20230817,2023-08-17,2023,Summer,3,8,August,17,Thursday,33,No,2023 Summer
20230818,2023-08-18,2023,Summer,3,8,August,18,Friday,33,No,2023 Summer
20230819,2023-08-19,2023,Summer,3,8,August,19,Saturday,33,Yes,2023 Summer
20230820,2023-08-20,2023,Summer,3,8,August,20,Sunday,33,Yes,2023 Summer
20230821,2023-08-21,2023,Summer,3,8,August,21,Monday,34,No,2023 Summer
20230822,2023-08-22,2023,Summer,3,8,August,22,Tuesday,34,No,2023 Summer
20230823,2023-08-23,2023,Summer,3,8,August,23,Wednesday,34,No,2023 Summer
20230824,2023-08-24,2023,Summer,3,8,August,24,Thursday,34,No,2023 Summer
20230825,2023-08-25,2023,Summer,3,8,August,25,Friday,34,No,2023 Summer
20230826,2023-08-26,2023,Summer,3,8,August,26,Saturday,34,Yes,2023 Summer
20230827,2023-08-27,2023,Summer,3,8,August,27,Sunday,34,Yes,2023 Summer
20230828,2023-08-28,2023,Summer,3,8,August,28,Monday,35,No,2023 Summer
20230829,2023-08-29,2023,Summer,3,8,August,29,Tuesday,35,No,2023 Summer
20230830,2023-08-30,2023,Summer,3,8,August,30,Wednesday,35,No,2023 Summer
