EnrollmentKey,EnrollmentID,StudentKey,CourseKey,ProfessorKey,OfferingKey,EnrollmentDateKey,ClassStartDateKey,ClassEndDateKey,Credits,TuitionAmountPaid,PaymentStatus,Grade
111,E0000111,79,27,4,6,20221121,20230108,20230326,3,1595.0,Paid In Full,B
112,E0000112,273,27,4,6,20221202,20230108,20230326,3,1650.0,Payment Plan,A-
113,E0000113,115,27,4,6,20221118,20230108,20230326,3,1175.0,Paid In Full,A
114,E0000114,199,27,4,6,20221016,20230108,20230326,3,1542.5,Payment Plan,A-
115,E0000115,236,27,4,6,20221228,20230108,20230326,3,1675.0,Payment Plan,A
116,E0000116,186,27,4,6,20221210,20230108,20230326,3,1592.5,Payment Plan,C+
117,E0000117,199,3,15,7,20221019,20230108,20230326,4,1876.0,Payment Plan,B-
118,E0000118,434,3,15,7,20221206,20230108,20230326,4,2362.0,Paid In Full,W
119,E0000119,346,3,15,7,20221031,20230108,20230326,4,1500.0,Paid In Full,B-
120,E0000120,43,3,15,7,20221210,20230108,20230326,4,1205.0,Paid In Full,IP
121,E0000121,487,3,15,7,20221021,20230108,20230326,4,1608.0,Payment Plan,C+
122,E0000122,201,3,15,7,20221026,20230108,20230326,4,1705.0,Paid In Full,C
123,E0000123,351,3,15,7,20221011,20230108,20230326,4,1925.0,Payment Plan,C+
124,E0000124,79,3,15,7,20221221,20230108,20230326,4,1925.0,Paid In Full,W
125,E0000125,389,3,15,7,20221027,20230108,20230326,4,1975.0,Paid In Full,W
126,E0000126,288,3,15,7,20221118,20230108,20230326,4,2069.0,Paid In Full,C
127,E0000127,439,3,15,7,20221024,20230108,20230326,4,1950.0,Paid In Full,A-
128,E0000128,61,3,15,7,20221213,20230108,20230326,4,1355.0,Payment Plan,B+
129,E0000129,72,3,15,7,20221028,20230108,20230326,4,995.0,Paid In Full,B
130,E0000130,266,3,15,7,20221110,20230108,20230326,4,995.0,Paid In Full,IP
131,E0000131,121,3,15,7,20221201,20230108,20230326,4,2580.0,Paid In Full,A-
132,E0000132,194,3,15,7,20221203,20230108,20230326,4,1917.5,Scholarship Covered,IP
133,E0000133,308,3,15,7,20221222,20230108,20230326,4,1535.0,Paid In Full,C+
134,E0000134,477,3,15,7,20221222,20230108,20230326,4,1255.0,Payment Plan,B-
135,E0000135,430,3,15,7,20221121,20230108,20230326,4,1917.5,Payment Plan,A-
136,E0000136,200,3,15,7,20221217,20230108,20230326,4,1340.0,Scholarship Covered,A-
137,E0000137,242,3,15,7,20221205,20230108,20230326,4,2915.0,Paid In Full,B
138,E0000138,405,3,15,7,20221207,20230108,20230326,4,1385.0,Paid In Full,W
139,E0000139,104,3,15,7,20221017,20230108,20230326,4,2119.0,Payment Plan,C+
140,E0000140,13,3,15,7,20221105,20230108,20230326,4,2240.5,Payment Plan,A-
141,E0000141,384,3,15,7,20221020,20230108,20230326,4,1799.0,Payment Plan,C
142,E0000142,212,3,15,7,20221022,20230108,20230326,4,2337.0,Payment Plan,IP
143,E0000143,482,3,15,7,20221020,20230108,20230326,4,1050.0,Scholarship Covered,C+
144,E0000144,76,3,15,7,20221104,20230108,20230326,4,1590.0,Paid In Full,C+
145,E0000145,150,3,15,7,20221202,20230108,20230326,4,1947.5,Paid In Full,C
146,E0000146,31,3,15,7,20221102,20230108,20230326,4,2337.0,Paid In Full,IP
147,E0000147,76,17,1,8,20221114,20230108,20230326,3,1235.0,Paid In Full,B+
148,E0000148,487,17,1,8,20221016,20230108,20230326,3,1279.25,Paid In Full,B
149,E0000149,182,17,1,8,20221121,20230108,20230326,3,1122.5,Paid In Full,A-
150,E0000150,5,17,1,8,20221202,20230108,20230326,3,887.5,Paid In Full,A-
151,E0000151,116,17,1,8,20221207,20230108,20230326,3,2073.75,Payment Plan,IP
152,E0000152,115,17,1,8,20221121,20230108,20230326,3,1092.5,Paid In Full,A
153,E0000153,468,17,1,8,20221222,20230108,20230326,3,1030.0,Paid In Full,C+
154,E0000154,194,17,1,8,20221104,20230108,20230326,3,1592.81,Payment Plan,C
155,E0000155,13,17,1,8,20221130,20230108,20230326,3,1730.19,Payment Plan,A
156,E0000156,435,17,1,8,20221023,20230108,20230326,3,1721.12,Paid In Full,A
157,E0000157,450,17,1,8,20221210,20230108,20230326,3,2027.44,Paid In Full,C+
158,E0000158,384,17,1,8,20221109,20230108,20230326,3,1450.25,Paid In Full,IP
159,E0000159,166,17,1,8,20221122,20230108,20230326,3,1520.0,Paid In Full,C
160,E0000160,305,17,1,8,20221219,20230108,20230326,3,1550.0,Paid In Full,IP
161,E0000161,275,17,1,8,20221126,20230108,20230326,3,1441.62,Paid In Full,A-
162,E0000162,308,17,1,8,20221213,20230108,20230326,3,1315.0,Paid In Full,B+
163,E0000163,318,17,1,8,20221028,20230108,20230326,3,1600.0,Paid In Full,C
164,E0000164,79,17,1,8,20221023,20230108,20230326,3,1550.0,Paid In Full,B
165,E0000165,55,17,4,9,20221130,20230108,20230326,3,1377.5,Scholarship Covered,B
166,E0000166,63,17,4,9,20221219,20230108,20230326,3,862.5,Paid In Full,A-
167,E0000167,378,17,4,9,20221011,20230108,20230326,3,1441.62,Paid In Full,B+
168,E0000168,228,17,4,9,20221215,20230108,20230326,3,1432.5,Paid In Full,B-
169,E0000169,238,17,4,9,20221117,20230108,20230326,3,1315.0,Paid In Full,B
170,E0000170,202,17,4,9,20221024,20230108,20230326,3,1856.38,Paid In Full,B-
171,E0000171,200,17,4,9,20221211,20230108,20230326,3,1136.88,Paid In Full,A
172,E0000172,104,17,4,9,20221023,20230108,20230326,3,1714.0,Paid In Full,A
173,E0000173,196,17,4,9,20221123,20230108,20230326,3,1147.5,Paid In Full,B
174,E0000174,477,17,4,9,20221228,20230108,20230326,3,1005.0,Paid In Full,A-
175,E0000175,334,17,4,9,20221113,20230108,20230326,3,1172.5,Payment Plan,A-
176,E0000176,356,17,4,9,20221110,20230108,20230326,3,1520.0,Paid In Full,B
177,E0000177,23,17,4,9,20221217,20230108,20230326,3,1030.0,Paid In Full,C+
178,E0000178,435,17,4,9,20221022,20230108,20230326,3,1721.12,Payment Plan,A-
179,E0000179,186,17,4,9,20221101,20230108,20230326,3,1471.62,Paid In Full,W
180,E0000180,87,17,4,9,20221023,20230108,20230326,3,950.0,Paid In Full,B-
181,E0000181,453,17,4,9,20221209,20230108,20230326,3,1147.5,Paid In Full,A
182,E0000182,339,17,4,9,20221114,20230108,20230326,3,2073.75,Payment Plan,B-
183,E0000183,242,17,4,9,20221026,20230108,20230326,3,2333.75,Scholarship Covered,B-
184,E0000184,342,17,4,9,20221110,20230108,20230326,3,950.0,Paid In Full,A
185,E0000185,78,17,4,9,20221116,20230108,20230326,3,1005.0,Paid In Full,C
186,E0000186,447,17,4,9,20221111,20230108,20230326,3,980.0,Paid In Full,W
187,E0000187,238,9,22,10,20221023,20230108,20230326,4,1885.0,Paid In Full,B+
188,E0000188,186,9,22,10,20221211,20230108,20230326,4,2254.0,Scholarship Covered,B+
189,E0000189,496,9,22,10,20221022,20230108,20230326,4,1470.0,Paid In Full,A-
190,E0000190,337,9,22,10,20221211,20230108,20230326,4,3535.0,Paid In Full,A
191,E0000191,197,9,22,10,20221107,20230108,20230326,4,1800.0,Payment Plan,C
192,E0000192,250,9,22,10,20221124,20230108,20230326,4,1250.0,Paid In Full,B+
193,E0000193,293,9,22,10,20221206,20230108,20230326,4,2325.0,Paid In Full,A
194,E0000194,72,9,22,10,20221012,20230108,20230326,4,1250.0,Paid In Full,B
195,E0000195,114,9,22,10,20221226,20230108,20230326,4,2501.0,Paid In Full,C+
196,E0000196,356,9,22,10,20221029,20230108,20230326,4,2295.0,Payment Plan,B+
197,E0000197,76,9,22,10,20221112,20230108,20230326,4,1935.0,Payment Plan,B+
198,E0000198,324,9,22,10,20221212,20230108,20230326,4,1715.0,Paid In Full,B+
199,E0000199,382,9,22,10,20221107,20230108,20230326,4,1225.0,Paid In Full,A
200,E0000200,443,9,22,10,20221201,20230108,20230326,4,1910.0,Scholarship Covered,B
201,E0000201,110,9,22,10,20221103,20230108,20230326,4,2325.0,Paid In Full,IP
202,E0000202,477,9,22,10,20221128,20230108,20230326,4,1470.0,Payment Plan,C
203,E0000203,403,9,18,11,20221010,20230108,20230326,4,2155.0,Paid In Full,A
204,E0000204,194,9,18,11,20221109,20230108,20230326,4,2352.5,Paid In Full,B-
205,E0000205,223,9,18,11,20221105,20230108,20230326,4,1690.0,Paid In Full,B-
206,E0000206,339,9,18,11,20221211,20230108,20230326,4,3065.0,Payment Plan,IP
207,E0000207,428,9,18,11,20221026,20230108,20230326,4,3145.0,Paid In Full,A-
208,E0000208,318,9,18,11,20221021,20230108,20230326,4,2325.0,Payment Plan,B+
209,E0000209,334,9,18,11,20221102,20230108,20230326,4,1715.0,Paid In Full,A
210,E0000210,288,9,18,11,20221204,20230108,20230326,4,2501.0,Paid In Full,IP
211,E0000211,277,9,18,11,20221209,20230108,20230326,4,1195.0,Paid In Full,A-
212,E0000212,351,9,18,11,20221102,20230108,20230326,4,2295.0,Paid In Full,C+
213,E0000213,391,9,18,11,20221110,20230108,20230326,4,1415.0,Paid In Full,W
214,E0000214,438,9,18,11,20221111,20230108,20230326,4,2325.0,Paid In Full,A
215,E0000215,28,9,18,11,20221018,20230108,20230326,4,1610.0,Scholarship Covered,B+
216,E0000216,276,9,18,11,20221207,20230108,20230326,4,2853.0,Payment Plan,A
217,E0000217,61,9,18,11,20221102,20230108,20230326,4,1715.0,Paid In Full,B-
218,E0000218,250,9,18,11,20221213,20230108,20230326,4,1225.0,Paid In Full,B
219,E0000219,251,9,18,11,20221127,20230108,20230326,4,2295.0,Paid In Full,A
220,E0000220,31,9,18,11,20221027,20230108,20230326,4,2848.0,Paid In Full,W
221,E0000221,129,9,18,11,20221027,20230108,20230326,4,1195.0,Paid In Full,B
222,E0000222,447,9,18,11,20221030,20230108,20230326,4,1445.0,Paid In Full,IP
223,E0000223,468,9,18,11,20221014,20230108,20230326,4,1495.0,Paid In Full,A
224,E0000224,489,9,18,11,20221124,20230108,20230326,4,1665.0,Payment Plan,W
225,E0000225,418,9,18,11,20221211,20230108,20230326,4,1225.0,Paid In Full,A
226,E0000226,436,9,18,11,20221225,20230108,20230326,4,1690.0,Paid In Full,B-
227,E0000227,380,13,9,12,20221111,20230108,20230326,4,1950.0,Paid In Full,A-
228,E0000228,168,13,9,12,20221221,20230108,20230326,4,1975.0,Payment Plan,B-
229,E0000229,339,13,9,12,20221124,20230108,20230326,4,2605.0,Paid In Full,C+
230,E0000230,377,13,9,12,20221203,20230108,20230326,4,1795.0,Paid In Full,A
231,E0000231,384,13,9,12,20221010,20230108,20230326,4,1769.0,Paid In Full,W
232,E0000232,389,13,9,12,20221013,20230108,20230326,4,1895.0,Paid In Full,B-
233,E0000233,334,13,9,12,20221119,20230108,20230326,4,1435.0,Paid In Full,B-
234,E0000234,318,13,9,12,20221012,20230108,20230326,4,1950.0,Scholarship Covered,IP
235,E0000235,438,13,9,12,20221206,20230108,20230326,4,1975.0,Paid In Full,B
236,E0000236,308,13,9,12,20221229,20230108,20230326,4,1590.0,Scholarship Covered,A-
237,E0000237,97,13,9,12,20221214,20230108,20230326,4,995.0,Paid In Full,B
238,E0000238,251,13,9,12,20221117,20230108,20230326,4,1975.0,Paid In Full,C+
239,E0000239,428,13,9,12,20221204,20230108,20230326,4,2555.0,Paid In Full,B-
240,E0000240,324,13,9,12,20221120,20230108,20230326,4,1410.0,Payment Plan,B-
241,E0000241,202,13,9,12,20221215,20230108,20230326,4,2337.0,Payment Plan,C+
242,E0000242,28,13,9,12,20221018,20230108,20230326,4,1365.0,Paid In Full,A
243,E0000243,55,13,9,12,20221116,20230108,20230326,4,1745.0,Paid In Full,IP
244,E0000244,489,8,15,13,20221226,20230108,20230326,4,1385.0,Paid In Full,C+
245,E0000245,477,8,15,13,20221208,20230108,20230326,4,1255.0,Paid In Full,C
246,E0000246,288,8,15,13,20221120,20230108,20230326,4,2069.0,Paid In Full,C+
247,E0000247,197,8,15,13,20221218,20230108,20230326,4,1445.0,Paid In Full,IP
248,E0000248,258,8,15,13,20221121,20230108,20230326,4,1925.0,Paid In Full,B
249,E0000249,438,8,15,13,20221112,20230108,20230326,4,1950.0,Paid In Full,A
250,E0000250,449,8,15,13,20221103,20230108,20230326,4,1947.5,Scholarship Covered,W
251,E0000251,228,8,15,13,20221026,20230108,20230326,4,1715.0,Payment Plan,B+
252,E0000252,428,8,15,13,20221029,20230108,20230326,4,2555.0,Paid In Full,W
253,E0000253,43,8,15,13,20221211,20230108,20230326,4,1230.0,Payment Plan,A-
254,E0000254,451,8,15,13,20221225,20230108,20230326,4,2069.0,Paid In Full,IP
255,E0000255,276,8,15,13,20221024,20230108,20230326,4,2407.0,Payment Plan,A-
256,E0000256,182,8,15,13,20221224,20230108,20230326,4,1355.0,Paid In Full,A-
257,E0000257,317,8,15,13,20221224,20230108,20230326,4,1410.0,Paid In Full,A-
258,E0000258,403,8,15,13,20221120,20230108,20230326,4,1770.0,Paid In Full,B
259,E0000259,380,8,15,13,20221123,20230108,20230326,4,1950.0,Paid In Full,B-
260,E0000260,194,8,15,13,20221214,20230108,20230326,4,1972.5,Payment Plan,B-
261,E0000261,308,8,15,13,20221215,20230108,20230326,4,1565.0,Paid In Full,A
262,E0000262,496,8,15,13,20221115,20230108,20230326,4,1175.0,Paid In Full,W
263,E0000263,13,8,15,13,20221123,20230108,20230326,4,2215.5,Paid In Full,B
264,E0000264,114,8,15,13,20221012,20230108,20230326,4,2069.0,Paid In Full,C+
265,E0000265,318,8,15,13,20221226,20230108,20230326,4,1975.0,Paid In Full,IP
266,E0000266,382,8,15,13,20221223,20230108,20230326,4,995.0,Paid In Full,A-
267,E0000267,487,8,15,13,20221014,20230108,20230326,4,1633.0,Paid In Full,IP
268,E0000268,201,8,15,13,20221204,20230108,20230326,4,1680.0,Paid In Full,W
269,E0000269,46,8,15,13,20221031,20230108,20230326,4,1895.0,Scholarship Covered,B+
270,E0000270,391,8,15,14,20221031,20230108,20230326,4,1175.0,Paid In Full,B+
271,E0000271,435,8,15,14,20221013,20230108,20230326,4,2103.0,Payment Plan,B+
272,E0000272,258,8,15,14,20221216,20230108,20230326,4,1895.0,Paid In Full,C+
273,E0000273,264,8,15,14,20221022,20230108,20230326,4,1917.5,Payment Plan,IP
274,E0000274,121,8,15,14,20221129,20230108,20230326,4,2605.0,Paid In Full,B
275,E0000275,116,8,15,14,20221110,20230108,20230326,4,2555.0,Scholarship Covered,A-
276,E0000276,78,8,15,14,20221015,20230108,20230326,4,1230.0,Paid In Full,C
277,E0000277,339,8,15,14,20221116,20230108,20230326,4,2605.0,Paid In Full,W
278,E0000278,153,8,15,14,20221220,20230108,20230326,4,2915.0,Paid In Full,IP
279,E0000279,202,8,15,14,20221031,20230108,20230326,4,2282.0,Paid In Full,C+
280,E0000280,223,8,15,14,20221207,20230108,20230326,4,1355.0,Payment Plan,B-
281,E0000281,103,8,15,14,20221216,20230108,20230326,4,1705.0,Paid In Full,C
282,E0000282,389,8,15,14,20221222,20230108,20230326,4,1950.0,Paid In Full,A-
283,E0000283,378,8,15,14,20221016,20230108,20230326,4,1826.0,Payment Plan,A
284,E0000284,197,8,15,14,20221102,20230108,20230326,4,1475.0,Payment Plan,W
285,E0000285,438,8,15,14,20221017,20230108,20230326,4,1950.0,Paid In Full,IP
286,E0000286,196,8,15,14,20221119,20230108,20230326,4,1385.0,Paid In Full,B-
287,E0000287,251,8,15,14,20221104,20230108,20230326,4,1950.0,Scholarship Covered,C+
288,E0000288,266,8,15,14,20221012,20230108,20230326,4,995.0,Paid In Full,W
289,E0000289,23,8,15,14,20221122,20230108,20230326,4,1255.0,Payment Plan,A
290,E0000290,46,8,15,14,20221223,20230108,20230326,4,1950.0,Scholarship Covered,A
291,E0000291,487,8,15,14,20221123,20230108,20230326,4,1608.0,Paid In Full,A
292,E0000292,227,26,14,15,20221212,20230108,20230326,3,1997.5,Payment Plan,A-
293,E0000293,212,26,14,15,20221106,20230108,20230326,3,1947.5,Paid In Full,IP
294,E0000294,241,26,14,15,20221101,20230108,20230326,3,1187.5,Paid In Full,W
295,E0000295,293,26,14,15,20221102,20230108,20230326,3,1675.0,Paid In Full,C
296,E0000296,115,26,14,15,20221105,20230108,20230326,3,1200.0,Paid In Full,A
297,E0000297,377,26,14,15,20221129,20230108,20230326,3,1525.0,Payment Plan,W
298,E0000298,97,26,14,15,20221021,20230108,20230326,3,900.0,Paid In Full,C+
299,E0000299,264,26,14,15,20221018,20230108,20230326,3,1613.75,Scholarship Covered,IP
300,E0000300,76,26,14,15,20221029,20230108,20230326,3,1350.0,Paid In Full,A-
301,E0000301,104,26,14,15,20221023,20230108,20230326,3,1745.0,Payment Plan,B-
302,E0000302,308,26,14,15,20221024,20230108,20230326,3,1375.0,Paid In Full,A-
303,E0000303,221,26,14,15,20221220,20230108,20230326,3,2217.5,Paid In Full,W
304,E0000304,202,26,14,15,20221116,20230108,20230326,3,1972.5,Paid In Full,W
305,E0000305,236,26,14,15,20221025,20230108,20230326,3,1595.0,Paid In Full,IP
306,E0000306,79,26,14,15,20221122,20230108,20230326,3,1650.0,Paid In Full,B-
307,E0000307,168,26,14,15,20221014,20230108,20230326,3,1625.0,Paid In Full,B-
308,E0000308,378,26,14,15,20221030,20230108,20230326,3,1567.5,Paid In Full,B+
309,E0000309,72,26,14,15,20221122,20230108,20230326,3,845.0,Payment Plan,A
310,E0000310,463,26,14,15,20221213,20230108,20230326,3,1650.0,Paid In Full,W
311,E0000311,9,26,14,15,20221124,20230108,20230326,3,995.0,Payment Plan,B-
312,E0000312,48,26,14,15,20221124,20230108,20230326,3,1643.75,Paid In Full,B-
313,E0000313,351,26,14,15,20221013,20230108,20230326,3,1595.0,Payment Plan,B+
314,E0000314,13,26,14,15,20221112,20230108,20230326,3,1846.25,Payment Plan,B+
315,E0000315,78,26,14,15,20221129,20230108,20230326,3,1050.0,Payment Plan,IP
316,E0000316,450,32,22,16,20221215,20230108,20230326,4,3048.5,Payment Plan,A
