donation_id,donor_id,date,amount,campaign
DN00000444,D00039,2024-12-18,1500,Annual Gala
DN00000445,D00039,2025-01-28,75,Annual Gala
DN00000446,D00039,2025-02-28,150,Year-End Giving
DN00000447,D00039,2025-03-17,25,Spring Appeal
DN00000448,D00039,2025-04-25,25,Year-End Giving
DN00000449,D00039,2025-05-08,75,Annual Gala
DN00000450,D00039,2025-06-16,75,Summer Drive
DN00000451,D00039,2025-07-23,100,Summer Drive
DN00000452,D00039,2025-08-15,100,Annual Gala
DN00000453,D00039,2025-09-15,150,Annual Gala
DN00000454,D00040,2023-03-02,250,Summer Drive
DN00000455,D00040,2023-09-01,25,Summer Drive
DN00000456,D00040,2024-03-14,25,Summer Drive
DN00000457,D00040,2024-09-07,50,Annual Gala
DN00000458,D00040,2025-03-20,250,Back to School
DN00000459,D00040,2025-09-28,250,Annual Gala
DN00000460,D00041,2023-03-24,2500,Spring Appeal
DN00000461,D00041,2023-06-25,250,Spring Appeal
DN00000462,D00041,2023-09-26,50,Back to School
DN00000463,D00041,2023-12-02,75,Annual Gala
DN00000464,D00041,2024-03-15,25,Back to School
DN00000465,D00041,2024-06-04,250,Year-End Giving
DN00000466,D00041,2024-09-27,25,Spring Appeal
DN00000467,D00041,2024-12-08,1500,Spring Appeal
DN00000468,D00041,2025-03-27,150,Year-End Giving
DN00000469,D00041,2025-06-25,25,Year-End Giving
DN00000470,D00041,2025-09-22,50,Year-End Giving
DN00000471,D00042,2023-03-20,250,Year-End Giving
DN00000472,D00042,2023-06-22,250,Summer Drive
DN00000473,D00042,2023-09-07,25,Year-End Giving
DN00000474,D00042,2023-12-18,1500,Summer Drive
DN00000475,D00042,2024-03-03,1000,Spring Appeal
DN00000476,D00042,2024-06-12,150,Annual Gala
DN00000477,D00042,2024-09-09,75,Summer Drive
DN00000478,D00042,2024-12-20,50,Summer Drive
DN00000479,D00042,2025-03-12,500,Back to School
DN00000480,D00042,2025-06-20,2500,Annual Gala
DN00000481,D00042,2025-09-08,1500,Year-End Giving
DN00000482,D00043,2023-08-28,1500,Annual Gala
DN00000483,D00043,2024-08-24,100,Summer Drive
DN00000484,D00043,2025-08-25,25,Annual Gala
DN00000485,D00044,2023-06-21,1000,Back to School
DN00000486,D00044,2023-12-24,100,Summer Drive
DN00000487,D00044,2024-06-19,1500,Annual Gala
DN00000488,D00044,2024-12-20,1500,Spring Appeal
DN00000489,D00044,2025-06-05,1000,Annual Gala
DN00000490,D00045,2023-12-02,100,Spring Appeal
DN00000491,D00045,2024-12-28,2500,Summer Drive
DN00000492,D00046,2023-01-20,150,Annual Gala
DN00000493,D00046,2023-02-11,150,Back to School
DN00000494,D00046,2023-03-26,100,Back to School
DN00000495,D00046,2023-04-23,250,Summer Drive
DN00000496,D00046,2023-05-04,2500,Annual Gala
DN00000497,D00046,2023-06-24,250,Summer Drive
DN00000498,D00046,2023-07-11,250,Summer Drive
DN00000499,D00046,2023-08-01,1000,Annual Gala
DN00000500,D00046,2023-09-08,150,Spring Appeal
DN00000501,D00046,2023-10-15,75,Year-End Giving
DN00000502,D00046,2023-11-15,25,Annual Gala
DN00000503,D00046,2023-12-04,25,Summer Drive
DN00000504,D00046,2024-01-09,1000,Summer Drive
DN00000505,D00046,2024-02-06,50,Annual Gala
DN00000506,D00046,2024-03-03,250,Summer Drive
DN00000507,D00046,2024-04-28,50,Spring Appeal
DN00000508,D00046,2024-05-22,75,Spring Appeal
DN00000509,D00046,2024-06-15,1500,Back to School
DN00000510,D00046,2024-07-04,25,Back to School
DN00000511,D00046,2024-08-07,2500,Annual Gala
DN00000512,D00046,2024-09-25,1500,Spring Appeal
DN00000513,D00046,2024-10-08,250,Summer Drive
DN00000514,D00046,2024-11-28,250,Spring Appeal
DN00000515,D00046,2024-12-03,2500,Spring Appeal
DN00000516,D00046,2025-01-20,500,Back to School
DN00000517,D00046,2025-02-26,150,Spring Appeal
DN00000518,D00046,2025-03-08,75,Spring Appeal
DN00000519,D00046,2025-04-11,150,Year-End Giving
DN00000520,D00046,2025-05-11,2500,Back to School
DN00000521,D00046,2025-06-27,1000,Summer Drive
DN00000522,D00046,2025-07-06,75,Summer Drive
DN00000523,D00046,2025-08-02,150,Spring Appeal
DN00000524,D00046,2025-09-14,25,Year-End Giving
DN00000525,D00047,2023-02-08,500,Annual Gala
DN00000526,D00047,2023-05-23,250,Spring Appeal
DN00000527,D00047,2023-08-17,75,Summer Drive
DN00000528,D00047,2023-11-17,250,Year-End Giving
DN00000529,D00047,2024-02-03,50,Back to School
