SIRRecordID,Month,ServiceLine,ObservedInfections,ExpectedInfections,SIR,PerformanceFlag
68,2025-02-01,OB/GYN,6,2.71,2.21,Worse than expected
69,2025-02-01,Cardiology,8,5.72,1.4,Worse than expected
70,2025-02-01,Oncology,3,5.58,0.54,Better than expected
71,2025-03-01,General Surgery,6,3.28,1.83,Worse than expected
72,2025-03-01,Orthopedics,5,4.69,1.07,Worse than expected
73,2025-03-01,OB/GYN,4,4.2,0.95,Better than expected
74,2025-03-01,Cardiology,2,5.05,0.4,Better than expected
75,2025-03-01,Oncology,3,4.8,0.62,Better than expected
76,2025-04-01,General Surgery,6,2.34,2.56,Worse than expected
77,2025-04-01,Orthopedics,3,3.51,0.85,Better than expected
78,2025-04-01,OB/GYN,2,5.63,0.36,Better than expected
79,2025-04-01,Cardiology,1,3.87,0.26,Better than expected
80,2025-04-01,Oncology,5,2.47,2.02,Worse than expected
81,2025-05-01,General Surgery,2,5.47,0.37,Better than expected
82,2025-05-01,Orthopedics,4,5.88,0.68,Better than expected
83,2025-05-01,OB/GYN,8,4.22,1.9,Worse than expected
84,2025-05-01,Cardiology,5,3.12,1.6,Worse than expected
85,2025-05-01,Oncology,2,3.85,0.52,Better than expected
86,2025-06-01,General Surgery,12,5.9,2.03,Worse than expected
87,2025-06-01,Orthopedics,2,5.73,0.35,Better than expected
88,2025-06-01,OB/GYN,4,3.51,1.14,Worse than expected
89,2025-06-01,Cardiology,5,5.88,0.85,Better than expected
90,2025-06-01,Oncology,9,5.46,1.65,Worse than expected
91,2025-07-01,General Surgery,5,5.82,0.86,Better than expected
92,2025-07-01,Orthopedics,8,4.69,1.71,Worse than expected
93,2025-07-01,OB/GYN,3,2.12,1.42,Worse than expected
94,2025-07-01,Cardiology,0,2.55,0.0,Better than expected
95,2025-07-01,Oncology,4,3.4,1.18,Worse than expected
96,2025-08-01,General Surgery,7,4.06,1.72,Worse than expected
97,2025-08-01,Orthopedics,4,3.03,1.32,Worse than expected
98,2025-08-01,OB/GYN,1,2.96,0.34,Better than expected
99,2025-08-01,Cardiology,1,2.51,0.4,Better than expected
100,2025-08-01,Oncology,5,4.56,1.1,Worse than expected
101,2025-09-01,General Surgery,0,2.77,0.0,Better than expected
102,2025-09-01,Orthopedics,1,2.68,0.37,Better than expected
103,2025-09-01,OB/GYN,1,2.35,0.43,Better than expected
104,2025-09-01,Cardiology,3,2.83,1.06,Worse than expected
105,2025-09-01,Oncology,4,5.2,0.77,Better than expected
106,2025-10-01,General Surgery,3,3.11,0.96,Better than expected
107,2025-10-01,Orthopedics,5,3.48,1.44,Worse than expected
108,2025-10-01,OB/GYN,4,3.01,1.33,Worse than expected
109,2025-10-01,Cardiology,3,3.79,0.79,Better than expected
110,2025-10-01,Oncology,1,2.08,0.48,Better than expected
111,2025-11-01,General Surgery,4,3.31,1.21,Worse than expected
112,2025-11-01,Orthopedics,4,3.99,1.0,As expected
113,2025-11-01,OB/GYN,2,2.51,0.8,Better than expected
114,2025-11-01,Cardiology,4,4.28,0.93,Better than expected
115,2025-11-01,Oncology,1,2.61,0.38,Better than expected
116,2025-12-01,General Surgery,1,2.75,0.36,Better than expected
117,2025-12-01,Orthopedics,4,5.59,0.72,Better than expected
118,2025-12-01,OB/GYN,5,3.59,1.39,Worse than expected
119,2025-12-01,Cardiology,6,5.72,1.05,Worse than expected
120,2025-12-01,Oncology,2,4.03,0.5,Better than expected
