date_key,customer_key,product_key,territory_key,volume_raw,dn_rev,net_revenue,total_cogs,base_cogs,ip_cogs,ps_cogs,cma_on_invoice,cma_non_invoice,lmp_funding,authorized_revenue
939,9255,28,1,0.46,13.55,14.04,12.25,16.40,4.16,8.09,0.87,0.49,0.00,20.38
876,1284,46,4,0.88,26.14,30.75,15.33,20.27,4.94,10.39,0.00,4.61,0.00,45.41
876,1318,46,2,14.23,492.48,509.15,285.61,384.54,98.93,186.68,0.00,16.67,0.00,515.98
1058,2956,145,5,0.00,0.07,0.07,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00
967,7804,2,1,5.92,37.16,37.92,18.57,18.57,0.00,18.57,0.00,0.76,0.00,44.73
967,1654,28,1,0.45,11.18,12.11,10.85,14.49,3.63,7.22,0.00,0.94,0.00,17.54
1002,126,93,4,2.00,26.28,29.31,21.59,26.55,4.96,16.63,0.00,3.03,0.00,36.51
876,6162,148,5,0.27,6.97,7.34,4.74,4.74,0.00,4.74,0.00,0.37,0.00,7.48
862,7998,20,1,3.32,97.47,97.47,69.30,69.30,0.00,69.30,2.39,0.00,0.00,89.06
946,1832,148,1,0.09,2.12,2.13,1.50,1.50,0.00,1.50,0.00,0.01,0.00,2.34
778,8892,75,1,0.61,9.73,10.09,7.74,7.74,0.00,7.74,0.00,0.36,0.00,11.11
946,654,6,3,0.44,6.45,7.15,4.01,4.85,0.84,3.17,0.00,0.70,0.00,8.30
848,7566,74,1,0.49,12.34,13.98,8.00,10.42,2.42,5.57,0.00,1.64,0.00,21.76
1030,4224,17,3,1.13,52.16,52.17,38.63,38.63,0.00,38.63,3.35,0.01,0.00,49.38
883,2806,135,3,0.00,0.02,0.02,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00
743,805,17,3,8.83,349.31,349.31,296.80,296.80,0.00,296.80,0.00,0.00,0.00,379.24
967,569,7,2,0.21,5.70,5.81,2.48,3.12,0.64,1.84,0.21,0.11,0.00,6.76
764,1286,17,4,0.52,27.01,28.81,17.65,17.65,0.00,17.65,0.00,1.80,0.00,25.38
946,3031,135,1,0.01,0.30,0.30,0.19,0.19,0.00,0.19,0.00,0.00,0.00,0.00
729,2742,21,1,0.08,3.40,3.40,2.79,2.79,0.00,2.79,0.19,0.00,0.00,3.29
827,8290,10,1,3.38,82.91,85.58,96.52,128.24,31.72,64.80,0.00,2.66,0.00,140.62
785,2246,17,5,9.28,372.55,375.99,318.19,318.19,0.00,318.19,1.90,3.43,0.00,390.82
750,6378,11,5,2.44,41.81,42.27,42.63,57.86,15.23,27.39,0.02,0.46,0.00,70.75
771,891,9,4,0.60,17.55,17.68,12.17,12.17,0.00,12.17,0.56,0.13,0.00,15.30
883,2270,11,3,2.51,61.17,62.16,54.62,73.19,18.56,36.06,2.22,1.00,0.00,64.67
1030,5804,20,5,2.34,69.71,69.71,50.81,50.81,0.00,50.81,1.62,0.00,0.00,61.77
757,2044,45,5,1.90,26.09,36.96,23.05,28.19,5.15,17.90,0.00,10.87,0.00,75.29
820,7989,37,1,1.40,22.16,23.07,15.48,19.46,3.98,11.50,0.00,0.91,0.00,30.94
946,6758,135,5,0.01,0.31,0.31,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.00
911,3136,28,2,0.15,4.39,4.55,3.86,5.15,1.30,2.56,0.28,0.16,0.00,6.60
792,1389,49,1,2.18,43.28,43.28,27.67,36.37,8.70,18.96,0.00,0.00,0.00,38.19
1058,346,39,2,14.93,235.15,240.80,200.88,248.98,48.10,152.78,0.00,5.65,0.00,190.19
1030,8302,79,1,4.54,97.79,102.24,100.46,140.66,40.21,60.25,4.47,4.45,0.00,108.50
806,5051,9,3,0.44,11.17,11.85,8.72,8.72,0.00,8.72,0.00,0.68,0.00,11.43
743,2078,49,5,1.98,39.86,39.86,28.24,36.63,8.39,19.85,0.00,0.00,0.00,35.49
876,3476,145,1,0.00,0.09,0.09,0.06,0.06,0.00,0.06,0.00,0.00,0.00,0.00
806,6598,45,5,0.35,5.05,7.05,4.17,5.13,0.96,3.21,0.00,1.99,0.00,13.80
771,6746,9,5,1.60,41.34,41.57,31.37,31.37,0.00,31.37,0.00,0.23,0.00,43.87
1065,2548,33,3,0.27,8.69,9.26,9.20,12.92,3.72,5.49,0.27,0.57,0.00,8.34
764,2047,58,4,1.21,16.26,16.73,7.15,7.15,0.00,7.15,1.07,0.46,0.00,16.69
862,4489,74,3,0.25,5.67,7.44,4.03,5.16,1.13,2.89,0.00,1.77,0.00,11.42
792,8667,83,1,21.91,336.76,340.27,310.34,310.34,0.00,310.34,0.00,3.51,0.00,432.73
967,8237,88,1,2.64,47.29,47.76,47.04,61.55,14.51,32.53,0.36,0.47,0.00,52.85
918,6803,11,5,4.87,91.43,95.21,87.51,117.63,30.11,57.40,1.75,3.77,0.00,93.46
729,5927,38,2,6.76,89.65,101.81,66.99,83.83,16.84,50.15,0.00,12.16,0.00,119.66
918,8278,94,1,1.08,21.51,21.92,25.93,34.18,8.25,17.67,0.00,0.40,0.00,27.66
1030,9192,29,1,1.51,42.36,44.73,46.15,63.52,17.37,28.77,3.62,2.37,0.00,39.81
743,6302,55,5,0.81,11.30,13.02,8.26,10.47,2.21,6.05,0.00,1.72,0.00,14.40
806,1498,46,1,15.38,476.47,489.19,268.65,361.67,93.03,175.62,22.24,12.73,0.00,517.41
848,8265,25,1,0.22,7.53,7.53,4.75,4.75,0.00,4.75,0.00,0.00,0.00,6.80
764,8530,46,1,1.64,48.88,49.98,27.48,36.81,9.33,18.15,0.98,1.10,0.00,73.26
1030,1387,79,1,3.96,62.81,89.51,72.48,100.89,28.41,44.06,0.00,26.70,0.00,90.78
862,5546,74,5,0.48,11.81,11.97,8.29,10.70,2.41,5.88,0.62,0.16,0.00,17.42
974,2207,124,3,1.03,25.68,25.68,14.93,14.93,0.00,14.93,1.99,0.00,0.00,24.61
1072,2943,141,2,0.07,1.82,1.87,1.24,1.59,0.35,0.89,0.18,0.05,0.00,3.13
778,6857,72,4,0.80,26.32,26.32,21.05,26.52,5.47,15.59,0.00,0.00,0.00,26.25
771,2544,11,3,2.01,35.24,35.44,34.93,46.79,11.86,23.08,0.00,0.20,0.00,39.25
764,7426,22,2,0.26,9.72,9.72,6.50,6.50,0.00,6.50,0.00,0.00,0.00,11.85
855,5800,51,5,0.08,3.40,3.42,2.64,3.36,0.72,1.91,0.06,0.02,0.00,2.68
736,7870,20,3,3.11,78.19,78.34,64.89,64.89,0.00,64.89,0.00,0.14,0.00,81.69
750,1781,58,1,0.94,12.33,13.11,6.08,6.08,0.00,6.08,0.81,0.78,0.00,13.18
792,6948,21,4,0.18,7.73,7.73,6.24,6.24,0.00,6.24,0.00,0.00,0.00,7.35
806,1211,88,2,67.61,1200.76,1328.55,1163.51,1517.61,354.10,809.42,0.00,127.78,0.00,1369.11
1002,8780,88,1,4.14,109.86,118.39,95.20,128.71,33.51,61.70,0.00,8.52,0.00,96.66
820,8915,53,1,24.88,431.32,441.65,288.82,367.39,78.58,210.24,0.00,10.34,0.00,550.14
974,8476,14,1,2.68,70.83,74.06,44.19,56.88,12.69,31.49,4.71,3.23,0.00,103.04
918,8248,88,1,5.87,125.78,139.18,115.03,151.02,35.99,79.04,15.36,13.41,0.00,155.94
799,5254,70,3,0.20,12.43,12.43,5.05,5.05,0.00,5.05,0.00,0.00,0.00,0.00
1030,717,13,2,0.54,19.72,20.11,18.14,24.85,6.70,11.44,1.00,0.38,0.00,19.30
911,5217,53,3,21.00,392.33,410.95,278.70,356.74,78.04,200.66,0.00,18.62,0.00,464.29
827,4512,72,3,1.60,39.41,39.65,34.66,42.54,7.88,26.77,0.00,0.25,0.00,45.78
862,7134,11,4,0.92,17.16,17.27,16.56,22.27,5.71,10.84,0.00,0.11,0.00,32.84
855,5252,61,3,1.99,46.43,47.28,29.58,29.58,0.00,29.58,0.43,0.85,0.00,45.81
911,3372,13,3,0.41,14.45,14.58,13.42,18.41,4.99,8.43,0.00,0.13,0.00,17.33
1058,7903,46,1,5.82,154.58,159.02,96.88,130.52,33.64,63.24,7.29,4.44,0.00,166.36
1030,8888,130,1,2.16,39.52,42.11,26.75,26.75,0.00,26.75,0.00,2.59,0.00,103.61
1079,2692,75,3,0.39,6.47,6.52,5.02,5.02,0.00,5.02,0.20,0.05,0.00,6.50
827,7791,32,1,4.90,82.95,94.50,93.56,129.10,35.55,58.01,0.00,11.55,0.00,101.20
771,4852,17,3,16.62,657.80,657.80,559.18,559.18,0.00,559.18,0.00,0.00,0.00,714.15
1065,8559,74,1,0.48,14.41,15.37,8.47,11.09,2.63,5.84,0.16,0.96,0.00,22.69
1072,5782,27,2,0.77,12.65,12.70,13.42,17.00,3.58,9.84,0.00,0.05,0.00,36.05
799,2909,135,5,0.00,0.04,0.04,0.02,0.02,0.00,0.02,0.00,0.00,0.00,0.00
1002,4803,16,3,1.25,49.96,49.96,42.89,42.89,0.00,42.89,0.00,0.00,0.00,54.14
1058,6152,74,5,0.91,28.08,29.53,17.07,22.55,5.48,11.58,0.04,1.45,0.00,42.57
890,5030,35,3,0.82,26.25,28.13,28.74,40.05,11.30,17.44,0.00,1.88,0.00,29.99
911,6424,61,5,0.25,5.69,5.74,3.61,3.61,0.00,3.61,0.20,0.05,0.00,5.45
967,9245,38,1,3.53,67.16,70.59,37.34,48.02,10.68,26.66,0.72,3.43,0.00,93.72
1030,6237,33,5,0.28,8.33,9.00,9.78,13.69,3.91,5.86,0.00,0.67,0.00,8.60
1030,8656,134,1,0.00,0.05,0.05,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00
827,7287,7,1,0.48,15.42,18.73,6.63,8.61,1.98,4.65,0.00,3.30,0.00,21.07
806,9042,143,1,2.04,27.99,31.66,20.67,25.83,5.16,15.51,0.00,3.68,0.00,0.00
736,3536,84,2,2.01,38.47,38.47,32.66,32.66,0.00,32.66,0.00,0.00,0.00,41.33
855,3538,18,2,0.98,34.22,34.22,25.23,25.23,0.00,25.23,0.00,0.00,0.00,32.58
911,3755,36,4,17.68,276.32,337.65,205.49,260.55,55.06,150.43,0.00,61.33,0.00,680.96
778,414,97,4,0.69,25.15,25.22,18.86,18.86,0.00,18.86,0.00,0.07,0.00,27.54
876,6489,75,5,0.00,0.07,0.07,0.05,0.05,0.00,0.05,0.00,0.00,0.00,0.07
799,664,73,3,0.19,13.54,14.55,11.20,11.20,0.00,11.20,0.44,1.01,-4.94,0.00
1030,8332,93,1,3.58,50.49,50.49,42.82,52.46,9.64,33.19,0.00,0.00,0.00,65.31
890,2046,117,4,0.55,16.96,16.96,11.05,11.05,0.00,11.05,0.00,0.00,0.00,14.46
883,27,20,4,3.27,80.44,80.44,68.98,68.98,0.00,68.98,0.00,0.00,0.00,85.94
1030,2098,74,4,0.83,23.85,23.65,15.01,19.53,4.52,10.49,1.49,-0.20,0.00,38.45
792,3910,11,5,1.51,29.48,30.98,27.78,37.60,9.82,17.96,0.00,1.50,0.00,27.73
785,1210,49,4,0.29,6.17,6.66,3.81,4.99,1.17,2.64,0.00,0.49,0.00,6.47
799,2232,20,1,1.39,40.43,40.43,29.00,29.00,0.00,29.00,1.00,0.00,0.00,36.92
1058,2871,124,2,0.42,7.51,7.51,6.23,6.23,0.00,6.23,0.74,0.00,0.00,7.40
729,254,10,4,0.21,5.41,5.47,5.67,7.53,1.86,3.81,0.00,0.06,0.00,8.83
827,2986,11,5,0.73,13.26,13.34,13.02,17.52,4.50,8.52,0.00,0.08,0.00,14.37
1065,2219,11,2,3.99,70.11,70.50,69.39,93.22,23.83,45.56,0.00,0.40,0.00,78.09
827,9250,79,1,0.22,3.68,3.86,4.10,5.74,1.64,2.47,0.16,0.19,0.00,4.16
876,370,72,4,0.02,0.58,0.58,0.49,0.61,0.12,0.36,0.03,0.01,0.00,0.49
883,7937,46,1,2.52,89.84,92.22,50.57,68.09,17.51,33.06,4.21,2.38,0.00,97.53
785,821,49,5,1.82,35.47,35.47,23.90,31.01,7.11,16.79,0.00,0.00,0.00,31.45
834,4429,38,3,0.24,4.67,5.50,3.41,4.48,1.07,2.33,0.00,0.82,0.00,5.02
785,8125,16,1,0.81,30.20,30.20,27.24,27.24,0.00,27.24,0.00,0.00,0.00,34.65
967,1787,45,4,1.40,31.89,33.82,21.88,28.19,6.31,15.58,0.00,1.93,0.00,55.48
855,4623,96,3,4.09,128.26,128.26,137.85,137.85,0.00,137.85,0.00,0.00,0.00,175.70
785,4691,20,3,1.45,31.44,31.44,31.07,31.07,0.00,31.07,0.00,0.00,0.00,38.04
1086,4815,146,3,0.01,0.21,0.21,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.00
736,6474,9,5,0.02,0.56,0.62,0.47,0.47,0.00,0.47,0.00,0.06,0.00,0.65
883,2172,2,1,6.79,34.91,35.84,21.67,21.67,0.00,21.67,0.00,0.93,0.00,51.38
785,7454,21,2,0.17,8.20,8.20,5.86,5.86,0.00,5.86,0.60,0.00,0.00,7.89
946,969,135,3,0.01,0.27,0.27,0.17,0.17,0.00,0.17,0.00,0.00,0.00,0.00
806,8972,19,1,1.24,40.66,40.66,31.36,31.36,0.00,31.36,0.00,0.00,0.00,38.42
806,8743,35,1,0.11,3.80,3.81,4.12,5.78,1.65,2.47,0.00,0.01,0.00,4.24
876,3291,74,1,0.35,8.02,10.53,5.42,6.93,1.51,3.91,0.00,2.51,0.00,16.16
1058,3067,13,2,0.14,5.13,5.15,4.67,6.42,1.75,2.92,0.00,0.02,0.00,6.06
785,6265,7,5,0.33,13.97,18.45,4.20,5.42,1.23,2.97,0.00,4.48,0.00,20.60
778,323,32,2,0.33,6.49,7.90,7.02,9.78,2.76,4.27,0.00,1.40,0.00,8.44
743,1539,50,1,3.84,75.84,78.34,48.72,62.88,14.16,34.56,0.00,2.50,0.00,69.38
750,7934,46,3,1.31,36.17,37.64,20.15,27.01,6.86,13.29,2.50,1.47,0.00,42.44
778,5865,48,5,9.91,149.46,152.13,133.18,164.05,30.87,102.31,0.00,2.67,0.00,180.77
855,3400,49,5,2.31,40.68,42.31,27.77,35.26,7.49,20.27,0.10,1.62,0.00,52.68
1030,4842,126,3,0.15,3.00,3.33,2.16,2.16,0.00,2.16,0.00,0.33,0.00,3.33
1079,3253,7,1,0.25,5.56,5.71,2.46,3.07,0.62,1.84,0.02,0.14,0.00,11.04
771,4668,76,3,0.72,14.81,16.09,10.56,10.56,0.00,10.56,0.00,1.29,0.00,16.09
792,861,47,5,0.56,24.43,24.97,14.55,19.11,4.56,9.99,0.75,0.54,0.00,24.19
967,1259,17,4,2.52,114.27,114.30,86.75,86.75,0.00,86.75,7.64,0.02,0.00,109.90
946,3347,1,2,1.03,43.14,43.54,32.38,32.38,0.00,32.38,0.83,0.40,0.00,38.61
820,7572,6,1,0.79,12.95,14.24,6.13,7.49,1.35,4.78,1.78,1.28,0.00,17.20
1002,2288,74,5,0.66,17.49,17.69,11.59,15.06,3.47,8.13,0.79,0.20,0.00,24.09
1079,2731,78,3,0.30,10.44,10.48,6.22,6.22,0.00,6.22,0.22,0.04,0.00,9.54
974,1866,46,5,0.08,3.51,4.06,1.46,1.96,0.50,0.96,0.00,0.55,0.00,5.44
946,6959,32,4,0.56,10.62,11.81,11.64,16.18,4.54,7.11,0.00,1.19,0.00,13.15
1086,2089,49,5,2.09,38.70,38.71,25.45,32.34,6.89,18.56,0.00,0.00,0.00,42.73
946,8955,80,1,1.52,48.28,48.42,39.55,39.55,0.00,39.55,0.00,0.14,0.00,63.67
1086,4824,75,3,1.04,14.36,16.53,13.55,13.55,0.00,13.55,0.00,2.16,0.00,18.91
911,1737,45,4,3.14,45.46,63.40,36.39,44.56,8.17,28.22,0.00,17.93,0.00,124.18
834,8669,50,1,9.45,126.27,128.48,99.68,124.09,24.40,75.28,0.00,2.21,0.00,207.83
736,2080,35,4,0.27,9.24,10.05,10.43,14.62,4.19,6.24,0.00,0.80,0.00,9.86
764,4941,7,3,0.22,6.33,8.79,2.64,3.41,0.77,1.87,0.00,2.46,0.00,9.93
862,6205,49,5,2.85,59.72,64.45,40.52,52.90,12.38,28.15,0.00,4.73,0.00,62.63
946,3962,74,1,0.11,2.46,3.23,1.85,2.36,0.51,1.34,0.00,0.77,0.00,4.96
939,4316,88,3,6.88,143.94,156.03,137.13,179.21,42.08,95.05,13.32,12.09,0.00,178.39
1030,1793,80,3,0.27,11.62,11.84,6.97,6.97,0.00,6.97,0.18,0.22,0.00,11.31
1030,5171,93,3,2.13,27.33,27.67,26.26,32.06,5.80,20.47,0.00,0.34,0.00,38.83
827,3118,17,2,7.94,344.94,344.98,267.79,267.79,0.00,267.79,20.97,0.05,0.00,328.24
1030,4494,45,3,0.65,9.43,13.15,8.30,10.18,1.88,6.42,0.00,3.72,0.00,25.77
967,1759,74,1,22.95,394.46,654.87,287.48,353.31,65.84,221.64,0.00,260.41,0.00,1229.07
785,8303,13,1,0.27,10.24,10.52,9.96,13.82,3.86,6.10,0.51,0.28,0.00,11.49
834,4755,13,3,1.18,39.30,40.79,36.49,49.95,13.46,23.04,1.60,1.49,0.00,38.58
771,2411,13,5,0.22,8.25,8.34,7.40,10.15,2.76,4.64,0.23,0.08,0.00,7.70
855,9118,135,1,0.01,0.38,0.39,0.32,0.32,0.00,0.32,0.00,0.00,0.00,0.00
855,4534,51,3,0.35,14.11,14.28,9.96,12.68,2.72,7.24,0.00,0.17,0.00,13.61
771,1433,72,1,0.04,1.15,1.17,0.94,1.17,0.23,0.71,0.06,0.02,0.00,1.08
1030,709,83,3,0.50,8.66,8.72,7.33,7.33,0.00,7.33,0.00,0.05,0.00,9.82
848,8220,19,1,1.45,49.99,49.99,36.81,36.81,0.00,36.81,0.00,0.00,0.00,47.23
939,8462,131,1,1.88,41.90,41.90,31.17,31.17,0.00,31.17,2.69,0.00,0.00,46.59
848,9217,44,1,24.52,372.61,409.51,265.04,336.30,71.26,193.79,0.00,36.89,0.00,447.27
1065,6497,47,5,0.96,39.16,39.54,25.99,33.97,7.98,18.00,1.50,0.38,0.00,40.66
890,8949,17,1,3.87,161.66,164.26,131.18,131.18,0.00,131.18,0.00,2.60,0.00,166.11
911,7330,49,1,0.24,5.00,5.00,3.16,4.16,1.00,2.16,0.00,0.00,0.00,4.40
974,6787,61,5,0.49,11.11,11.22,7.19,7.19,0.00,7.19,0.36,0.11,0.00,10.61
1065,1741,2,5,1.34,8.04,8.05,4.62,4.62,0.00,4.62,0.00,0.01,0.00,9.71
834,3920,17,3,3.24,122.82,122.86,107.55,107.55,0.00,107.55,7.78,0.04,0.00,116.70
1058,9161,11,1,0.73,14.65,15.14,14.91,20.26,5.34,9.57,0.60,0.49,0.00,14.30
806,4009,124,1,1.08,19.81,19.81,15.57,15.57,0.00,15.57,1.59,0.00,0.00,20.16
967,10,88,4,0.93,14.27,14.93,15.08,19.36,4.28,10.80,0.00,0.66,0.00,22.92
1079,6884,38,4,243.59,3522.14,4128.90,2602.12,3315.82,713.71,1888.41,0.00,606.77,0.00,4311.60
862,4714,9,3,0.95,28.15,29.01,19.23,19.23,0.00,19.23,0.00,0.85,0.00,26.13
1002,9058,1,1,2.36,88.54,88.69,73.80,73.80,0.00,73.80,0.00,0.15,0.00,88.98
883,740,74,2,0.56,9.06,9.33,8.34,10.67,2.33,6.01,0.94,0.27,0.00,14.55
785,2514,25,1,0.77,24.72,24.94,16.87,16.87,0.00,16.87,0.00,0.22,0.00,24.10
967,8135,58,1,0.78,10.42,10.96,5.03,5.03,0.00,5.03,0.68,0.54,0.00,10.94
883,1128,30,3,0.66,10.38,11.59,12.98,17.51,4.53,8.44,0.00,1.21,0.00,30.42
1030,4870,93,3,32.30,449.89,458.61,390.39,479.88,89.49,300.90,0.00,8.72,0.00,589.08
820,8644,79,1,0.48,8.56,9.01,9.23,12.92,3.69,5.55,0.36,0.45,0.00,9.59
1002,7003,7,4,0.41,11.37,14.33,5.08,6.45,1.37,3.71,0.00,2.95,0.00,18.05
806,1309,72,2,0.11,2.37,2.39,2.11,2.63,0.52,1.60,0.13,0.01,0.00,2.22
1086,7451,39,4,5.32,78.75,79.38,61.53,76.72,15.20,46.33,0.00,0.63,0.00,64.13
1086,5139,35,3,2.17,60.98,67.42,68.97,95.21,26.24,42.73,0.00,6.44,0.00,79.84
743,7452,46,4,1.73,56.33,59.19,32.11,43.07,10.96,21.15,0.47,2.86,0.00,81.79
