OfferingKey,OfferingID,AcademicYear,Quarter,QuarterNumber,ClassStartDate,ClassEndDate,CourseID_Source,ProfessorID_Source,SectionNumber,ClassDays,MeetingTime,Campus,Capacity,TuitionRatePerCredit
33,O00033,2023,Spring,2,2023-04-02,2023-06-18,MED106,P007,01,Thu,11:00 AM,Main Campus,35,425.0
34,O00034,2023,Spring,2,2023-04-02,2023-06-18,MED106,P006,02,TTh,06:00 PM,Main Campus,25,425.0
35,O00035,2023,Spring,2,2023-04-02,2023-06-18,MED205,P006,01,TTh,08:00 AM,Main Campus,20,450.0
36,O00036,2023,Spring,2,2023-04-02,2023-06-18,MED205,P004,02,Online,Online,Main Campus,22,450.0
37,O00037,2023,Spring,2,2023-04-02,2023-06-18,MED413,P009,01,Thu,03:00 PM,Main Campus,18,425.0
38,O00038,2023,Spring,2,2023-04-02,2023-06-18,MED413,P022,02,Tue,08:00 AM,Health Sciences Center,20,425.0
39,O00039,2023,Spring,2,2023-04-02,2023-06-18,MED301,P022,01,Thu,01:00 PM,Downtown Clinical Site,25,450.0
40,O00040,2023,Spring,2,2023-04-02,2023-06-18,MED407,P006,01,TTh,09:30 AM,Health Sciences Center,30,450.0
41,O00041,2023,Spring,2,2023-04-02,2023-06-18,MED414,P009,01,MW,09:30 AM,Downtown Clinical Site,25,550.0
42,O00042,2023,Spring,2,2023-04-02,2023-06-18,MED414,P009,02,TTh,09:30 AM,Health Sciences Center,18,550.0
43,O00043,2023,Spring,2,2023-04-02,2023-06-18,MED302,P009,01,Sat,01:00 PM,Downtown Clinical Site,30,575.0
44,O00044,2023,Spring,2,2023-04-02,2023-06-18,MED102,P016,01,MW,11:00 AM,Health Sciences Center,28,450.0
45,O00045,2023,Spring,2,2023-04-02,2023-06-18,MED411,P004,01,Sat,08:00 AM,Main Campus,18,450.0
46,O00046,2023,Spring,2,2023-04-02,2023-06-18,MED410,P001,01,Thu,01:00 PM,Health Sciences Center,30,475.0
47,O00047,2023,Spring,2,2023-04-02,2023-06-18,MED404,P023,01,Mon,03:00 PM,Downtown Clinical Site,28,550.0
48,O00048,2023,Spring,2,2023-04-02,2023-06-18,MED403,P022,01,Sat,08:00 AM,Downtown Clinical Site,35,425.0
49,O00049,2023,Spring,2,2023-04-02,2023-06-18,MED105,P006,01,Sat,11:00 AM,Health Sciences Center,28,450.0
50,O00050,2023,Spring,2,2023-04-02,2023-06-18,MED401,P013,01,Wed,11:00 AM,Health Sciences Center,20,575.0
51,O00051,2023,Spring,2,2023-04-02,2023-06-18,MED405,P002,01,Mon,08:00 AM,Main Campus,18,575.0
52,O00052,2023,Spring,2,2023-04-02,2023-06-18,MED305,P012,01,TTh,09:30 AM,Main Campus,18,475.0
53,O00053,2023,Spring,2,2023-04-02,2023-06-18,MED204,P022,01,MW,09:30 AM,Health Sciences Center,35,450.0
54,O00054,2023,Spring,2,2023-04-02,2023-06-18,MED201,P015,01,TTh,01:00 PM,Downtown Clinical Site,22,425.0
55,O00055,2023,Spring,2,2023-04-02,2023-06-18,MED303,P004,01,Mon,01:00 PM,Downtown Clinical Site,18,450.0
56,O00056,2023,Summer,3,2023-07-07,2023-09-01,MED106,P004,01,Thu,01:00 PM,Downtown Clinical Site,28,425.0
57,O00057,2023,Summer,3,2023-07-07,2023-09-01,MED106,P007,02,TTh,06:00 PM,Health Sciences Center,28,425.0
58,O00058,2023,Summer,3,2023-07-07,2023-09-01,MED401,P010,01,MW,11:00 AM,Health Sciences Center,18,575.0
59,O00059,2023,Summer,3,2023-07-07,2023-09-01,MED413,P022,01,Fri,06:00 PM,Main Campus,25,425.0
60,O00060,2023,Summer,3,2023-07-07,2023-09-01,MED102,P021,01,TTh,01:00 PM,Online,25,450.0
61,O00061,2023,Summer,3,2023-07-07,2023-09-01,MED412,P015,01,MW,09:30 AM,Main Campus,22,500.0
62,O00062,2023,Summer,3,2023-07-07,2023-09-01,MED408,P001,01,MW,06:00 PM,Health Sciences Center,30,500.0
63,O00063,2023,Summer,3,2023-07-07,2023-09-01,MED304,P007,01,Wed,11:00 AM,Main Campus,18,425.0
64,O00064,2023,Summer,3,2023-07-07,2023-09-01,MED411,P007,01,Sat,08:00 AM,Downtown Clinical Site,18,450.0
65,O00065,2023,Summer,3,2023-07-07,2023-09-01,MED407,P012,01,TTh,06:00 PM,Downtown Clinical Site,25,450.0
66,O00066,2023,Summer,3,2023-07-07,2023-09-01,MED205,P006,01,Online,Online,Main Campus,25,450.0
67,O00067,2023,Summer,3,2023-07-07,2023-09-01,MED103,P015,01,Sat,06:00 PM,Downtown Clinical Site,35,450.0
68,O00068,2023,Summer,3,2023-07-07,2023-09-01,MED103,P015,02,Sat,08:00 AM,Health Sciences Center,25,450.0
69,O00069,2023,Summer,3,2023-07-07,2023-09-01,MED204,P009,01,TTh,06:00 PM,Health Sciences Center,28,450.0
70,O00070,2023,Summer,3,2023-07-07,2023-09-01,MED204,P009,02,Online,Online,Health Sciences Center,18,450.0
71,O00071,2023,Summer,3,2023-07-07,2023-09-01,MED101,P016,01,Online,Online,Downtown Clinical Site,35,525.0
72,O00072,2023,Summer,3,2023-07-07,2023-09-01,MED206,P016,01,MW,09:30 AM,Health Sciences Center,22,525.0
73,O00073,2023,Summer,3,2023-07-07,2023-09-01,MED403,P018,01,Thu,01:00 PM,Downtown Clinical Site,18,425.0
74,O00074,2023,Summer,3,2023-07-07,2023-09-01,MED301,P009,01,Wed,06:00 PM,Main Campus,20,450.0
75,O00075,2023,Summer,3,2023-07-07,2023-09-01,MED201,P021,01,MW,09:30 AM,Downtown Clinical Site,30,425.0
76,O00076,2023,Summer,3,2023-07-07,2023-09-01,MED414,P022,01,MW,08:00 AM,Health Sciences Center,35,550.0
77,O00077,2023,Summer,3,2023-07-07,2023-09-01,MED414,P018,02,TTh,11:00 AM,Online,28,550.0
78,O00078,2023,Summer,3,2023-07-07,2023-09-01,MED305,P012,01,MW,09:30 AM,Downtown Clinical Site,20,475.0
79,O00079,2023,Summer,3,2023-07-07,2023-09-01,MED409,P006,01,Wed,06:00 PM,Main Campus,28,500.0
80,O00080,2023,Summer,3,2023-07-07,2023-09-01,MED410,P014,01,Thu,03:00 PM,Health Sciences Center,25,475.0
81,O00081,2023,Summer,3,2023-07-07,2023-09-01,MED303,P012,01,Tue,06:00 PM,Downtown Clinical Site,25,450.0
82,O00082,2023,Fall,4,2023-10-01,2023-12-17,MED303,P012,01,Sat,06:00 PM,Main Campus,35,450.0
83,O00083,2023,Fall,4,2023-10-01,2023-12-17,MED101,P015,01,Online,Online,Downtown Clinical Site,28,525.0
84,O00084,2023,Fall,4,2023-10-01,2023-12-17,MED410,P007,01,Wed,01:00 PM,Health Sciences Center,30,475.0
85,O00085,2023,Fall,4,2023-10-01,2023-12-17,MED201,P021,01,Online,Online,Downtown Clinical Site,25,425.0
86,O00086,2023,Fall,4,2023-10-01,2023-12-17,MED201,P016,02,TTh,01:00 PM,Downtown Clinical Site,20,425.0
87,O00087,2023,Fall,4,2023-10-01,2023-12-17,MED401,P010,01,MW,09:30 AM,Downtown Clinical Site,30,575.0
88,O00088,2023,Fall,4,2023-10-01,2023-12-17,MED204,P009,01,Online,Online,Health Sciences Center,28,450.0
89,O00089,2023,Fall,4,2023-10-01,2023-12-17,MED105,P012,01,Tue,09:30 AM,Main Campus,22,450.0
90,O00090,2023,Fall,4,2023-10-01,2023-12-17,MED105,P012,02,Mon,06:00 PM,Main Campus,20,450.0
91,O00091,2023,Fall,4,2023-10-01,2023-12-17,MED412,P015,01,TTh,09:30 AM,Health Sciences Center,35,500.0
92,O00092,2023,Fall,4,2023-10-01,2023-12-17,MED413,P018,01,Mon,06:00 PM,Health Sciences Center,30,425.0
93,O00093,2023,Fall,4,2023-10-01,2023-12-17,MED203,P018,01,Mon,08:00 AM,Health Sciences Center,25,550.0
94,O00094,2023,Fall,4,2023-10-01,2023-12-17,MED206,P021,01,Mon,01:00 PM,Main Campus,25,525.0
95,O00095,2023,Fall,4,2023-10-01,2023-12-17,MED206,P021,02,Mon,01:00 PM,Health Sciences Center,30,525.0
96,O00096,2023,Fall,4,2023-10-01,2023-12-17,MED305,P004,01,Thu,06:00 PM,Main Campus,35,475.0
97,O00097,2023,Fall,4,2023-10-01,2023-12-17,MED403,P022,01,Fri,06:00 PM,Health Sciences Center,25,425.0
98,O00098,2023,Fall,4,2023-10-01,2023-12-17,MED301,P022,01,Wed,03:00 PM,Health Sciences Center,28,450.0
99,O00099,2023,Fall,4,2023-10-01,2023-12-17,MED304,P005,01,Wed,08:00 AM,Downtown Clinical Site,22,425.0
100,O00100,2023,Fall,4,2023-10-01,2023-12-17,MED106,P012,01,Mon,06:00 PM,Main Campus,30,425.0
101,O00101,2023,Fall,4,2023-10-01,2023-12-17,MED404,P023,01,TTh,01:00 PM,Health Sciences Center,28,550.0
102,O00102,2023,Fall,4,2023-10-01,2023-12-17,MED404,P007,02,Sat,11:00 AM,Downtown Clinical Site,25,550.0
103,O00103,2023,Fall,4,2023-10-01,2023-12-17,MED205,P004,01,MW,01:00 PM,Main Campus,20,450.0
104,O00104,2023,Fall,4,2023-10-01,2023-12-17,MED103,P016,01,Wed,09:30 AM,Health Sciences Center,28,450.0
105,O00105,2023,Fall,4,2023-10-01,2023-12-17,MED409,P012,01,Fri,01:00 PM,Main Campus,20,500.0
106,O00106,2023,Fall,4,2023-10-01,2023-12-17,MED405,P010,01,TTh,06:00 PM,Main Campus,18,575.0
107,O00107,2023,Fall,4,2023-10-01,2023-12-17,MED402,P019,01,Mon,08:00 AM,Main Campus,18,550.0
108,O00108,2024,Winter,1,2024-01-08,2024-03-25,MED411,P004,01,Fri,03:00 PM,Downtown Clinical Site,22,465.0
109,O00109,2024,Winter,1,2024-01-08,2024-03-25,MED406,P013,01,Fri,08:00 AM,Main Campus,18,465.0
110,O00110,2024,Winter,1,2024-01-08,2024-03-25,MED413,P018,01,Mon,06:00 PM,Main Campus,18,440.0
111,O00111,2024,Winter,1,2024-01-08,2024-03-25,MED403,P018,01,Tue,09:30 AM,Main Campus,22,440.0
112,O00112,2024,Winter,1,2024-01-08,2024-03-25,MED203,P018,01,TTh,11:00 AM,Main Campus,25,565.0
113,O00113,2024,Winter,1,2024-01-08,2024-03-25,MED105,P004,01,Mon,03:00 PM,Downtown Clinical Site,28,465.0
114,O00114,2024,Winter,1,2024-01-08,2024-03-25,MED409,P012,01,Fri,03:00 PM,Health Sciences Center,22,515.0
115,O00115,2024,Winter,1,2024-01-08,2024-03-25,MED407,P006,01,MW,09:30 AM,Online,25,465.0
116,O00116,2024,Winter,1,2024-01-08,2024-03-25,MED201,P015,01,Online,Online,Main Campus,35,440.0
117,O00117,2024,Winter,1,2024-01-08,2024-03-25,MED103,P015,01,Tue,01:00 PM,Health Sciences Center,25,465.0
118,O00118,2024,Winter,1,2024-01-08,2024-03-25,MED103,P021,02,TTh,09:30 AM,Health Sciences Center,20,465.0
119,O00119,2024,Winter,1,2024-01-08,2024-03-25,MED402,P023,01,MW,09:30 AM,Downtown Clinical Site,18,565.0
120,O00120,2024,Winter,1,2024-01-08,2024-03-25,MED402,P010,02,Fri,11:00 AM,Health Sciences Center,30,565.0
121,O00121,2024,Winter,1,2024-01-08,2024-03-25,MED301,P009,01,Thu,03:00 PM,Downtown Clinical Site,30,465.0
122,O00122,2024,Winter,1,2024-01-08,2024-03-25,MED410,P012,01,Mon,06:00 PM,Downtown Clinical Site,35,490.0
123,O00123,2024,Winter,1,2024-01-08,2024-03-25,MED414,P018,01,MW,08:00 AM,Main Campus,35,565.0
124,O00124,2024,Winter,1,2024-01-08,2024-03-25,MED202,P016,01,MW,09:30 AM,Health Sciences Center,22,465.0
125,O00125,2024,Winter,1,2024-01-08,2024-03-25,MED202,P016,02,MW,09:30 AM,Main Campus,18,465.0
126,O00126,2024,Winter,1,2024-01-08,2024-03-25,MED102,P015,01,Online,Online,Downtown Clinical Site,22,465.0
127,O00127,2024,Winter,1,2024-01-08,2024-03-25,MED102,P016,02,Online,Online,Health Sciences Center,35,465.0
128,O00128,2024,Winter,1,2024-01-08,2024-03-25,MED305,P001,01,Tue,09:30 AM,Downtown Clinical Site,28,490.0
129,O00129,2024,Winter,1,2024-01-08,2024-03-25,MED408,P012,01,Tue,06:00 PM,Health Sciences Center,20,515.0
130,O00130,2024,Winter,1,2024-01-08,2024-03-25,MED101,P021,01,TTh,11:00 AM,Health Sciences Center,30,540.0
131,O00131,2024,Winter,1,2024-01-08,2024-03-25,MED405,P013,01,Mon,09:30 AM,Downtown Clinical Site,22,590.0
132,O00132,2024,Winter,1,2024-01-08,2024-03-25,MED405,P002,02,MW,08:00 AM,Downtown Clinical Site,18,590.0
133,O00133,2024,Winter,1,2024-01-08,2024-03-25,MED104,P004,01,Tue,03:00 PM,Health Sciences Center,20,440.0
134,O00134,2024,Winter,1,2024-01-08,2024-03-25,MED412,P015,01,Online,Online,Health Sciences Center,18,515.0
135,O00135,2024,Winter,1,2024-01-08,2024-03-25,MED204,P018,01,Online,Online,Health Sciences Center,28,465.0
136,O00136,2024,Spring,2,2024-04-02,2024-06-18,MED306,P020,01,TTh,03:00 PM,Main Campus,30,515.0
137,O00137,2024,Spring,2,2024-04-02,2024-06-18,MED407,P012,01,TTh,09:30 AM,Main Campus,35,465.0
138,O00138,2024,Spring,2,2024-04-02,2024-06-18,MED204,P018,01,TTh,06:00 PM,Online,35,465.0
139,O00139,2024,Spring,2,2024-04-02,2024-06-18,MED304,P007,01,Wed,09:30 AM,Health Sciences Center,20,440.0
140,O00140,2024,Spring,2,2024-04-02,2024-06-18,MED105,P004,01,Thu,08:00 AM,Downtown Clinical Site,18,465.0
141,O00141,2024,Spring,2,2024-04-02,2024-06-18,MED203,P018,01,TTh,06:00 PM,Downtown Clinical Site,20,565.0
142,O00142,2024,Spring,2,2024-04-02,2024-06-18,MED104,P014,01,TTh,11:00 AM,Main Campus,25,440.0
143,O00143,2024,Spring,2,2024-04-02,2024-06-18,MED104,P007,02,Wed,03:00 PM,Main Campus,22,440.0
144,O00144,2024,Spring,2,2024-04-02,2024-06-18,MED402,P017,01,Thu,09:30 AM,Health Sciences Center,35,565.0
145,O00145,2024,Spring,2,2024-04-02,2024-06-18,MED408,P012,01,Wed,11:00 AM,Downtown Clinical Site,30,515.0
146,O00146,2024,Spring,2,2024-04-02,2024-06-18,MED302,P022,01,MW,06:00 PM,Health Sciences Center,28,590.0
147,O00147,2024,Spring,2,2024-04-02,2024-06-18,MED205,P012,01,MW,08:00 AM,Downtown Clinical Site,30,465.0
148,O00148,2024,Spring,2,2024-04-02,2024-06-18,MED403,P018,01,Mon,08:00 AM,Downtown Clinical Site,28,440.0
149,O00149,2024,Spring,2,2024-04-02,2024-06-18,MED102,P016,01,TTh,08:00 AM,Main Campus,28,465.0
150,O00150,2024,Spring,2,2024-04-02,2024-06-18,MED201,P016,01,TTh,06:00 PM,Main Campus,18,440.0
151,O00151,2024,Spring,2,2024-04-02,2024-06-18,MED412,P015,01,TTh,09:30 AM,Health Sciences Center,20,515.0
152,O00152,2024,Spring,2,2024-04-02,2024-06-18,MED409,P014,01,TTh,09:30 AM,Health Sciences Center,20,515.0
153,O00153,2024,Spring,2,2024-04-02,2024-06-18,MED101,P021,01,MW,06:00 PM,Downtown Clinical Site,20,540.0
154,O00154,2024,Spring,2,2024-04-02,2024-06-18,MED301,P022,01,Tue,11:00 AM,Main Campus,18,465.0
155,O00155,2024,Spring,2,2024-04-02,2024-06-18,MED414,P009,01,MW,09:30 AM,Main Campus,18,565.0
156,O00156,2024,Spring,2,2024-04-02,2024-06-18,MED414,P018,02,TTh,08:00 AM,Online,22,565.0
157,O00157,2024,Spring,2,2024-04-02,2024-06-18,MED401,P017,01,Wed,06:00 PM,Downtown Clinical Site,25,590.0
158,O00158,2024,Spring,2,2024-04-02,2024-06-18,MED303,P007,01,Thu,09:30 AM,Downtown Clinical Site,22,465.0
159,O00159,2024,Spring,2,2024-04-02,2024-06-18,MED413,P009,01,Mon,08:00 AM,Downtown Clinical Site,22,440.0
160,O00160,2024,Spring,2,2024-04-02,2024-06-18,MED202,P015,01,Mon,08:00 AM,Health Sciences Center,30,465.0
161,O00161,2024,Summer,3,2024-07-07,2024-09-01,MED303,P012,01,TTh,09:30 AM,Health Sciences Center,28,465.0
162,O00162,2024,Summer,3,2024-07-07,2024-09-01,MED106,P004,01,Sat,11:00 AM,Downtown Clinical Site,30,440.0
163,O00163,2024,Summer,3,2024-07-07,2024-09-01,MED410,P006,01,Thu,01:00 PM,Downtown Clinical Site,25,490.0
164,O00164,2024,Summer,3,2024-07-07,2024-09-01,MED306,P024,01,Wed,08:00 AM,Health Sciences Center,18,515.0
165,O00165,2024,Summer,3,2024-07-07,2024-09-01,MED306,P020,02,Thu,08:00 AM,Downtown Clinical Site,28,515.0
166,O00166,2024,Summer,3,2024-07-07,2024-09-01,MED201,P021,01,TTh,08:00 AM,Main Campus,30,440.0
167,O00167,2024,Summer,3,2024-07-07,2024-09-01,MED305,P006,01,Sat,11:00 AM,Health Sciences Center,35,490.0
168,O00168,2024,Summer,3,2024-07-07,2024-09-01,MED402,P002,01,Wed,06:00 PM,Downtown Clinical Site,30,565.0
169,O00169,2024,Summer,3,2024-07-07,2024-09-01,MED301,P022,01,Wed,09:30 AM,Main Campus,22,465.0
170,O00170,2024,Summer,3,2024-07-07,2024-09-01,MED301,P009,02,MW,01:00 PM,Health Sciences Center,28,465.0
171,O00171,2024,Summer,3,2024-07-07,2024-09-01,MED404,P007,01,MW,01:00 PM,Health Sciences Center,25,565.0
172,O00172,2024,Summer,3,2024-07-07,2024-09-01,MED412,P016,01,MW,08:00 AM,Downtown Clinical Site,25,515.0
173,O00173,2024,Summer,3,2024-07-07,2024-09-01,MED405,P011,01,TTh,06:00 PM,Main Campus,20,590.0
174,O00174,2024,Summer,3,2024-07-07,2024-09-01,MED304,P007,01,Thu,09:30 AM,Health Sciences Center,28,440.0
175,O00175,2024,Summer,3,2024-07-07,2024-09-01,MED302,P022,01,Mon,08:00 AM,Health Sciences Center,18,590.0
176,O00176,2024,Summer,3,2024-07-07,2024-09-01,MED103,P015,01,Mon,03:00 PM,Main Campus,25,465.0
177,O00177,2024,Summer,3,2024-07-07,2024-09-01,MED409,P012,01,Mon,01:00 PM,Main Campus,28,515.0
178,O00178,2024,Summer,3,2024-07-07,2024-09-01,MED205,P011,01,MW,06:00 PM,Online,35,465.0
179,O00179,2024,Summer,3,2024-07-07,2024-09-01,MED104,P004,01,Tue,09:30 AM,Main Campus,20,440.0
180,O00180,2024,Summer,3,2024-07-07,2024-09-01,MED414,P009,01,MW,03:00 PM,Main Campus,22,565.0
181,O00181,2024,Summer,3,2024-07-07,2024-09-01,MED411,P006,01,Mon,06:00 PM,Main Campus,18,465.0
182,O00182,2024,Summer,3,2024-07-07,2024-09-01,MED203,P018,01,Mon,09:30 AM,Downtown Clinical Site,18,565.0
183,O00183,2024,Summer,3,2024-07-07,2024-09-01,MED406,P008,01,Tue,03:00 PM,Health Sciences Center,30,465.0
184,O00184,2024,Fall,4,2024-10-01,2024-12-17,MED302,P022,01,MW,01:00 PM,Health Sciences Center,35,590.0
185,O00185,2024,Fall,4,2024-10-01,2024-12-17,MED101,P016,01,Online,Online,Health Sciences Center,18,540.0
186,O00186,2024,Fall,4,2024-10-01,2024-12-17,MED409,P001,01,MW,03:00 PM,Main Campus,35,515.0
187,O00187,2024,Fall,4,2024-10-01,2024-12-17,MED301,P009,01,Fri,11:00 AM,Downtown Clinical Site,35,465.0
188,O00188,2024,Fall,4,2024-10-01,2024-12-17,MED304,P011,01,Mon,03:00 PM,Downtown Clinical Site,28,440.0
189,O00189,2024,Fall,4,2024-10-01,2024-12-17,MED405,P005,01,Mon,08:00 AM,Main Campus,30,590.0
190,O00190,2024,Fall,4,2024-10-01,2024-12-17,MED408,P012,01,MW,09:30 AM,Health Sciences Center,22,515.0
191,O00191,2024,Fall,4,2024-10-01,2024-12-17,MED104,P001,01,Wed,01:00 PM,Downtown Clinical Site,18,440.0
192,O00192,2024,Fall,4,2024-10-01,2024-12-17,MED306,P024,01,Mon,08:00 AM,Health Sciences Center,22,515.0
193,O00193,2024,Fall,4,2024-10-01,2024-12-17,MED306,P024,02,Tue,01:00 PM,Health Sciences Center,25,515.0
194,O00194,2024,Fall,4,2024-10-01,2024-12-17,MED105,P006,01,Wed,11:00 AM,Main Campus,20,465.0
195,O00195,2024,Fall,4,2024-10-01,2024-12-17,MED106,P007,01,Fri,11:00 AM,Health Sciences Center,30,440.0
196,O00196,2024,Fall,4,2024-10-01,2024-12-17,MED404,P011,01,Mon,09:30 AM,Main Campus,25,565.0
197,O00197,2024,Fall,4,2024-10-01,2024-12-17,MED414,P018,01,MW,09:30 AM,Online,18,565.0
198,O00198,2024,Fall,4,2024-10-01,2024-12-17,MED414,P022,02,TTh,01:00 PM,Downtown Clinical Site,28,565.0
199,O00199,2024,Fall,4,2024-10-01,2024-12-17,MED402,P017,01,Mon,01:00 PM,Downtown Clinical Site,20,565.0
200,O00200,2024,Fall,4,2024-10-01,2024-12-17,MED410,P006,01,Wed,08:00 AM,Health Sciences Center,22,490.0
201,O00201,2024,Fall,4,2024-10-01,2024-12-17,MED203,P022,01,TTh,06:00 PM,Health Sciences Center,22,565.0
202,O00202,2024,Fall,4,2024-10-01,2024-12-17,MED103,P015,01,Fri,09:30 AM,Health Sciences Center,35,465.0
203,O00203,2024,Fall,4,2024-10-01,2024-12-17,MED103,P015,02,Tue,08:00 AM,Downtown Clinical Site,28,465.0
204,O00204,2024,Fall,4,2024-10-01,2024-12-17,MED204,P009,01,MW,06:00 PM,Health Sciences Center,22,465.0
205,O00205,2024,Fall,4,2024-10-01,2024-12-17,MED413,P018,01,Fri,06:00 PM,Health Sciences Center,30,440.0
206,O00206,2024,Fall,4,2024-10-01,2024-12-17,MED413,P009,02,Mon,01:00 PM,Downtown Clinical Site,22,440.0
207,O00207,2024,Fall,4,2024-10-01,2024-12-17,MED411,P014,01,Thu,11:00 AM,Downtown Clinical Site,22,465.0
208,O00208,2024,Fall,4,2024-10-01,2024-12-17,MED305,P012,01,Fri,06:00 PM,Main Campus,25,490.0
209,O00209,2024,Fall,4,2024-10-01,2024-12-17,MED202,P016,01,Mon,11:00 AM,Main Campus,35,465.0
210,O00210,2024,Fall,4,2024-10-01,2024-12-17,MED206,P016,01,MW,03:00 PM,Health Sciences Center,20,540.0
211,O00211,2024,Fall,4,2024-10-01,2024-12-17,MED303,P007,01,Wed,11:00 AM,Main Campus,20,465.0
212,O00212,2024,Fall,4,2024-10-01,2024-12-17,MED201,P015,01,MW,06:00 PM,Downtown Clinical Site,25,440.0
213,O00213,2025,Winter,1,2025-01-08,2025-03-26,MED407,P012,01,Online,Online,Downtown Clinical Site,25,480.0
214,O00214,2025,Winter,1,2025-01-08,2025-03-26,MED407,P007,02,TTh,03:00 PM,Downtown Clinical Site,35,480.0
215,O00215,2025,Winter,1,2025-01-08,2025-03-26,MED403,P009,01,TTh,09:30 AM,Main Campus,18,455.0
216,O00216,2025,Winter,1,2025-01-08,2025-03-26,MED409,P006,01,Tue,08:00 AM,Health Sciences Center,25,530.0
217,O00217,2025,Winter,1,2025-01-08,2025-03-26,MED304,P007,01,Fri,03:00 PM,Downtown Clinical Site,35,455.0
218,O00218,2025,Winter,1,2025-01-08,2025-03-26,MED413,P018,01,Mon,06:00 PM,Health Sciences Center,25,455.0
