TransactionID,SalesDate,CustomerID,ProductID,ManagerID,Quantity,UnitPrice,TotalAmount,OrderStatus,ShippingDate
TXN000079,2022-06-23,CUST008,PROD005,MGR002,431,6500,"2,801,500.00",Pending,
TXN000080,2022-06-24,CUST009,PROD008,MGR002,141,1850,"260,850.00",Completed,2022-06-29
TXN000081,2022-06-25,CUST004,PROD005,MGR003,164,6500,"1,066,000.00",Completed,2022-06-30
TXN000082,2022-06-29,CUST002,PROD007,MGR004,170,5400,"918,000.00",Completed,2022-07-16
TXN000083,2022-07-03,CUST010,PROD012,MGR001,439,1600,"702,400.00",Shipped,2022-07-24
TXN000084,2022-07-03,CUST007,PROD008,MGR001,483,1850,"893,550.00",Completed,2022-07-15
TXN000085,2022-07-04,CUST014,PROD007,MGR005,383,5400,"2,068,200.00",Pending,
TXN000086,2022-07-05,CUST015,PROD004,MGR004,113,3100,"350,300.00",Completed,2022-07-21
TXN000087,2022-07-09,CUST012,PROD003,MGR004,471,4200,"1,978,200.00",Completed,2022-07-31
TXN000088,2022-07-11,CUST010,PROD010,MGR001,43,9200,"395,600.00",Pending,
TXN000089,2022-07-11,CUST003,PROD008,MGR002,26,1850,"48,100.00",Completed,2022-07-26
TXN000090,2022-07-15,CUST005,PROD007,MGR003,428,5400,"2,311,200.00",Completed,2022-08-02
TXN000091,2022-07-18,CUST006,PROD004,MGR001,400,3100,"1,240,000.00",Pending,
TXN000092,2022-07-18,CUST013,PROD001,MGR002,103,8500,"875,500.00",Shipped,2022-07-21
TXN000093,2022-07-18,CUST010,PROD003,MGR002,65,4200,"273,000.00",Completed,2022-08-11
TXN000094,2022-07-20,CUST008,PROD012,MGR003,393,1600,"628,800.00",Completed,2022-07-28
TXN000095,2022-07-20,CUST010,PROD010,MGR001,399,9200,"3,670,800.00",Shipped,2022-07-28
TXN000096,2022-07-21,CUST002,PROD010,MGR001,476,9200,"4,379,200.00",Completed,2022-08-11
TXN000097,2022-07-21,CUST011,PROD007,MGR004,483,5400,"2,608,200.00",Pending,
TXN000098,2022-07-26,CUST014,PROD011,MGR005,413,320,"132,160.00",Completed,2022-08-23
TXN000099,2022-07-27,CUST013,PROD001,MGR003,273,8500,"2,320,500.00",Completed,2022-08-20
TXN000100,2022-07-27,CUST006,PROD002,MGR005,332,12800,"4,249,600.00",Completed,2022-07-30
TXN000101,2022-07-27,CUST014,PROD007,MGR004,55,5400,"297,000.00",Completed,2022-08-10
TXN000102,2022-07-29,CUST012,PROD003,MGR004,91,4200,"382,200.00",Pending,
TXN000103,2022-07-30,CUST005,PROD010,MGR005,397,9200,"3,652,400.00",Completed,2022-08-16
TXN000104,2022-07-30,CUST007,PROD012,MGR005,138,1600,"220,800.00",Completed,2022-08-29
TXN000105,2022-08-01,CUST005,PROD008,MGR002,385,1850,"712,250.00",Completed,2022-08-22
TXN000106,2022-08-01,CUST010,PROD011,MGR004,173,320,"55,360.00",Completed,2022-08-19
TXN000107,2022-08-02,CUST003,PROD008,MGR002,182,1850,"336,700.00",Shipped,2022-08-13
TXN000108,2022-08-04,CUST012,PROD005,MGR005,6,6500,"39,000.00",Completed,2022-08-13
TXN000109,2022-08-06,CUST008,PROD009,MGR002,354,450,"159,300.00",Completed,2022-08-29
TXN000110,2022-08-07,CUST008,PROD001,MGR001,151,8500,"1,283,500.00",Completed,2022-08-22
TXN000111,2022-08-14,CUST006,PROD006,MGR004,139,2800,"389,200.00",Completed,2022-08-25
TXN000112,2022-08-16,CUST006,PROD002,MGR005,487,12800,"6,233,600.00",Shipped,2022-09-10
TXN000113,2022-08-20,CUST013,PROD009,MGR005,145,450,"65,250.00",Completed,2022-09-18
TXN000114,2022-08-27,CUST009,PROD005,MGR002,327,6500,"2,125,500.00",Shipped,2022-09-23
TXN000115,2022-08-27,CUST008,PROD002,MGR001,294,12800,"3,763,200.00",Completed,2022-09-14
TXN000116,2022-08-27,CUST008,PROD008,MGR003,95,1850,"175,750.00",Completed,2022-09-07
TXN000117,2022-08-28,CUST008,PROD002,MGR001,206,12800,"2,636,800.00",Completed,2022-09-02
TXN000118,2022-08-28,CUST010,PROD011,MGR001,78,320,"24,960.00",Completed,2022-09-25
TXN000119,2022-08-31,CUST002,PROD009,MGR004,311,450,"139,950.00",Completed,2022-09-28
TXN000120,2022-08-31,CUST010,PROD004,MGR005,195,3100,"604,500.00",Completed,2022-09-17
TXN000121,2022-08-31,CUST005,PROD010,MGR004,157,9200,"1,444,400.00",Completed,2022-09-22
TXN000122,2022-09-02,CUST002,PROD004,MGR002,136,3100,"421,600.00",Pending,
TXN000123,2022-09-02,CUST003,PROD004,MGR002,283,3100,"877,300.00",Completed,2022-09-10
TXN000124,2022-09-08,CUST012,PROD008,MGR001,352,1850,"651,200.00",Completed,2022-09-19
TXN000125,2022-09-09,CUST011,PROD010,MGR002,218,9200,"2,005,600.00",Completed,2022-09-29
TXN000126,2022-09-15,CUST010,PROD012,MGR005,472,1600,"755,200.00",Completed,2022-10-02
TXN000127,2022-09-19,CUST009,PROD009,MGR004,225,450,"101,250.00",Completed,2022-10-11
TXN000128,2022-09-19,CUST001,PROD007,MGR003,310,5400,"1,674,000.00",Completed,2022-09-22
TXN000129,2022-09-21,CUST014,PROD010,MGR005,487,9200,"4,480,400.00",Completed,2022-10-18
TXN000130,2022-09-21,CUST011,PROD005,MGR005,21,6500,"136,500.00",Shipped,2022-10-18
TXN000131,2022-09-26,CUST007,PROD011,MGR004,497,320,"159,040.00",Completed,2022-10-14
TXN000132,2022-09-26,CUST006,PROD007,MGR003,165,5400,"891,000.00",Pending,
TXN000133,2022-09-26,CUST014,PROD003,MGR003,211,4200,"886,200.00",Pending,
TXN000134,2022-09-28,CUST014,PROD009,MGR001,233,450,"104,850.00",Completed,2022-10-11
TXN000135,2022-09-28,CUST005,PROD006,MGR001,497,2800,"1,391,600.00",Shipped,2022-10-13
TXN000136,2022-09-29,CUST014,PROD001,MGR005,237,8500,"2,014,500.00",Completed,2022-10-03
TXN000137,2022-10-02,CUST011,PROD008,MGR001,105,1850,"194,250.00",Completed,2022-10-22
TXN000138,2022-10-05,CUST008,PROD002,MGR001,499,12800,"6,387,200.00",Pending,
TXN000139,2022-10-06,CUST012,PROD003,MGR003,283,4200,"1,188,600.00",Completed,2022-10-26
TXN000140,2022-10-09,CUST002,PROD008,MGR001,332,1850,"614,200.00",Shipped,2022-10-16
TXN000141,2022-10-11,CUST009,PROD012,MGR003,213,1600,"340,800.00",Shipped,2022-10-29
TXN000142,2022-10-12,CUST004,PROD008,MGR005,75,1850,"138,750.00",Completed,2022-10-21
TXN000143,2022-10-12,CUST015,PROD010,MGR005,383,9200,"3,523,600.00",Completed,2022-11-11
TXN000144,2022-10-12,CUST002,PROD005,MGR004,175,6500,"1,137,500.00",Shipped,2022-10-31
TXN000145,2022-10-15,CUST014,PROD010,MGR005,338,9200,"3,109,600.00",Completed,2022-11-14
TXN000146,2022-10-27,CUST001,PROD006,MGR004,362,2800,"1,013,600.00",Shipped,2022-11-11
TXN000147,2022-10-30,CUST003,PROD008,MGR001,65,1850,"120,250.00",Completed,2022-11-20
TXN000148,2022-11-02,CUST002,PROD009,MGR004,8,450,"3,600.00",Pending,
TXN000149,2022-11-07,CUST006,PROD010,MGR004,333,9200,"3,063,600.00",Completed,2022-12-07
TXN000150,2022-11-07,CUST006,PROD011,MGR005,195,320,"62,400.00",Completed,2022-11-30
TXN000151,2022-11-08,CUST013,PROD008,MGR005,19,1850,"35,150.00",Completed,2022-11-13
TXN000152,2022-11-14,CUST013,PROD011,MGR001,228,320,"72,960.00",Completed,2022-12-09
TXN000153,2022-11-14,CUST005,PROD001,MGR001,167,8500,"1,419,500.00",Shipped,2022-11-18
TXN000154,2022-11-14,CUST005,PROD006,MGR003,221,2800,"618,800.00",Completed,2022-11-24
TXN000155,2022-11-17,CUST003,PROD003,MGR001,313,4200,"1,314,600.00",Shipped,2022-12-02
TXN000156,2022-11-20,CUST003,PROD004,MGR004,327,3100,"1,013,700.00",Completed,2022-12-07
TXN000157,2022-11-20,CUST005,PROD011,MGR001,461,320,"147,520.00",Shipped,2022-12-07
TXN000158,2022-11-21,CUST011,PROD009,MGR002,38,450,"17,100.00",Completed,2022-12-05
TXN000159,2022-11-21,CUST010,PROD005,MGR004,354,6500,"2,301,000.00",Completed,2022-12-08
TXN000160,2022-11-22,CUST004,PROD007,MGR004,55,5400,"297,000.00",Completed,2022-12-07
TXN000161,2022-11-25,CUST005,PROD001,MGR004,141,8500,"1,198,500.00",Completed,2022-12-16
TXN000162,2022-11-25,CUST014,PROD011,MGR001,467,320,"149,440.00",Completed,2022-12-21
TXN000163,2022-11-25,CUST008,PROD005,MGR002,311,6500,"2,021,500.00",Shipped,2022-12-09
TXN000164,2022-11-29,CUST013,PROD011,MGR002,322,320,"103,040.00",Completed,2022-12-22
TXN000165,2022-12-04,CUST002,PROD005,MGR003,383,6500,"2,489,500.00",Completed,2022-12-12
TXN000166,2022-12-06,CUST015,PROD006,MGR005,257,2800,"719,600.00",Completed,2023-01-04
TXN000167,2022-12-08,CUST008,PROD005,MGR003,412,6500,"2,678,000.00",Completed,2022-12-25
TXN000168,2022-12-08,CUST002,PROD003,MGR002,441,4200,"1,852,200.00",Pending,
TXN000169,2022-12-11,CUST009,PROD006,MGR001,405,2800,"1,134,000.00",Completed,2022-12-14
TXN000170,2022-12-15,CUST005,PROD010,MGR004,422,9200,"3,882,400.00",Pending,
TXN000171,2022-12-19,CUST009,PROD006,MGR005,114,2800,"319,200.00",Pending,
TXN000172,2022-12-22,CUST011,PROD007,MGR001,72,5400,"388,800.00",Completed,2022-12-26
TXN000173,2022-12-26,CUST003,PROD007,MGR004,190,5400,"1,026,000.00",Pending,
TXN000174,2022-12-30,CUST015,PROD007,MGR001,427,5400,"2,305,800.00",Completed,2023-01-21
TXN000175,2023-01-01,CUST001,PROD012,MGR003,112,1600,"179,200.00",Completed,2023-01-18
TXN000176,2023-01-01,CUST004,PROD006,MGR001,352,2800,"985,600.00",Completed,2023-01-21
TXN000177,2023-01-02,CUST011,PROD006,MGR001,204,2800,"571,200.00",Completed,2023-01-11
TXN000178,2023-01-02,CUST002,PROD008,MGR001,340,1850,"629,000.00",Completed,2023-01-25
TXN000179,2023-01-04,CUST001,PROD006,MGR002,65,2800,"182,000.00",Shipped,2023-01-25
TXN000180,2023-01-04,CUST004,PROD002,MGR005,107,12800,"1,369,600.00",Completed,2023-01-13
TXN000181,2023-01-04,CUST014,PROD004,MGR003,397,3100,"1,230,700.00",Completed,2023-02-01
TXN000182,2023-01-05,CUST001,PROD005,MGR002,67,6500,"435,500.00",Completed,2023-01-16
TXN000183,2023-01-05,CUST013,PROD003,MGR001,339,4200,"1,423,800.00",Shipped,2023-01-08
TXN000184,2023-01-08,CUST010,PROD006,MGR001,90,2800,"252,000.00",Completed,2023-01-12
TXN000185,2023-01-19,CUST015,PROD011,MGR005,155,320,"49,600.00",Completed,2023-02-11
TXN000186,2023-01-20,CUST001,PROD008,MGR004,219,1850,"405,150.00",Pending,
TXN000187,2023-01-20,CUST008,PROD012,MGR004,38,1600,"60,800.00",Completed,2023-02-02
TXN000188,2023-01-27,CUST009,PROD005,MGR004,259,6500,"1,683,500.00",Completed,2023-02-12
TXN000189,2023-01-27,CUST002,PROD012,MGR001,437,1600,"699,200.00",Pending,
TXN000190,2023-01-27,CUST015,PROD009,MGR002,221,450,"99,450.00",Completed,2023-02-06
TXN000191,2023-01-29,CUST007,PROD007,MGR001,161,5400,"869,400.00",Completed,2023-02-11
TXN000192,2023-02-02,CUST002,PROD002,MGR001,48,12800,"614,400.00",Completed,2023-02-08
TXN000193,2023-02-02,CUST012,PROD012,MGR003,416,1600,"665,600.00",Completed,2023-02-22
TXN000194,2023-02-04,CUST009,PROD006,MGR001,211,2800,"590,800.00",Completed,2023-03-06
TXN000195,2023-02-04,CUST011,PROD007,MGR001,496,5400,"2,678,400.00",Completed,2023-02-26
TXN000196,2023-02-10,CUST006,PROD009,MGR003,59,450,"26,550.00",Shipped,2023-02-21
TXN000197,2023-02-12,CUST014,PROD009,MGR005,315,450,"141,750.00",Pending,
TXN000198,2023-02-19,CUST015,PROD006,MGR003,4,2800,"11,200.00",Completed,2023-03-21
TXN000199,2023-02-23,CUST001,PROD002,MGR005,111,12800,"1,420,800.00",Completed,2023-03-11
TXN000200,2023-02-28,CUST010,PROD002,MGR001,80,12800,"1,024,000.00",Completed,2023-03-27
TXN000201,2023-02-28,CUST010,PROD001,MGR001,140,8500,"1,190,000.00",Completed,2023-03-24
TXN000202,2023-03-13,CUST001,PROD001,MGR002,155,8500,"1,317,500.00",Completed,2023-04-09
TXN000203,2023-03-13,CUST003,PROD005,MGR003,168,6500,"1,092,000.00",Completed,2023-03-16
TXN000204,2023-03-13,CUST008,PROD012,MGR004,90,1600,"144,000.00",Completed,2023-03-28
TXN000205,2023-03-20,CUST007,PROD001,MGR004,472,8500,"4,012,000.00",Completed,2023-04-19
TXN000206,2023-03-27,CUST003,PROD010,MGR004,426,9200,"3,919,200.00",Pending,
TXN000207,2023-03-27,CUST002,PROD007,MGR001,125,5400,"675,000.00",Completed,2023-04-17
TXN000208,2023-03-30,CUST012,PROD006,MGR002,171,2800,"478,800.00",Shipped,2023-04-07
TXN000209,2023-04-04,CUST006,PROD012,MGR002,121,1600,"193,600.00",Completed,2023-04-11
TXN000210,2023-04-08,CUST002,PROD003,MGR004,238,4200,"999,600.00",Shipped,2023-04-29
TXN000211,2023-04-09,CUST008,PROD011,MGR005,330,320,"105,600.00",Pending,
TXN000212,2023-04-11,CUST006,PROD003,MGR004,35,4200,"147,000.00",Completed,2023-04-28
TXN000213,2023-04-11,CUST011,PROD005,MGR003,303,6500,"1,969,500.00",Completed,2023-04-25
TXN000214,2023-04-11,CUST009,PROD002,MGR003,237,12800,"3,033,600.00",Completed,2023-04-15
TXN000215,2023-04-13,CUST002,PROD011,MGR001,315,320,"100,800.00",Completed,2023-05-02
TXN000216,2023-04-16,CUST012,PROD001,MGR004,466,8500,"3,961,000.00",Shipped,2023-05-07
TXN000217,2023-04-16,CUST011,PROD004,MGR003,310,3100,"961,000.00",Completed,2023-05-05
TXN000218,2023-04-20,CUST006,PROD012,MGR001,259,1600,"414,400.00",Pending,
TXN000219,2023-04-22,CUST008,PROD009,MGR005,313,450,"140,850.00",Completed,2023-05-06
TXN000220,2023-04-28,CUST011,PROD006,MGR001,169,2800,"473,200.00",Completed,2023-05-18
TXN000221,2023-05-01,CUST011,PROD010,MGR002,171,9200,"1,573,200.00",Completed,2023-05-22
TXN000222,2023-05-03,CUST005,PROD011,MGR004,67,320,"21,440.00",Completed,2023-05-28
TXN000223,2023-05-03,CUST002,PROD005,MGR005,193,6500,"1,254,500.00",Pending,
TXN000224,2023-05-06,CUST012,PROD011,MGR005,48,320,"15,360.00",Pending,
TXN000225,2023-05-12,CUST008,PROD004,MGR002,71,3100,"220,100.00",Completed,2023-05-17
TXN000226,2023-05-12,CUST005,PROD002,MGR005,395,12800,"5,056,000.00",Completed,2023-06-10
TXN000227,2023-05-13,CUST009,PROD001,MGR003,449,8500,"3,816,500.00",Shipped,2023-06-04
TXN000228,2023-05-17,CUST013,PROD010,MGR002,370,9200,"3,404,000.00",Completed,2023-05-21
TXN000229,2023-05-23,CUST008,PROD004,MGR005,123,3100,"381,300.00",Completed,2023-06-20
TXN000230,2023-05-24,CUST015,PROD004,MGR003,348,3100,"1,078,800.00",Completed,2023-06-10
TXN000231,2023-05-29,CUST014,PROD004,MGR005,71,3100,"220,100.00",Shipped,2023-06-09
TXN000232,2023-05-29,CUST001,PROD011,MGR004,448,320,"143,360.00",Completed,2023-06-18
TXN000233,2023-05-30,CUST012,PROD009,MGR001,146,450,"65,700.00",Completed,2023-06-26
TXN000234,2023-05-30,CUST003,PROD005,MGR004,464,6500,"3,016,000.00",Completed,2023-06-06
TXN000235,2023-05-31,CUST002,PROD004,MGR004,453,3100,"1,404,300.00",Completed,2023-06-03
TXN000236,2023-06-09,CUST006,PROD003,MGR002,20,4200,"84,000.00",Completed,2023-07-08
TXN000237,2023-06-11,CUST013,PROD012,MGR004,230,1600,"368,000.00",Completed,2023-06-14
TXN000238,2023-06-12,CUST001,PROD005,MGR002,428,6500,"2,782,000.00",Completed,2023-07-02
TXN000239,2023-06-12,CUST012,PROD010,MGR005,217,9200,"1,996,400.00",Completed,2023-07-09
TXN000240,2023-06-17,CUST008,PROD002,MGR001,429,12800,"5,491,200.00",Completed,2023-07-09
TXN000241,2023-06-21,CUST005,PROD007,MGR001,315,5400,"1,701,000.00",Completed,2023-07-01
TXN000242,2023-06-27,CUST009,PROD009,MGR005,284,450,"127,800.00",Completed,2023-07-12
TXN000243,2023-06-27,CUST014,PROD008,MGR001,326,1850,"603,100.00",Completed,2023-07-11
TXN000244,2023-06-30,CUST006,PROD004,MGR001,396,3100,"1,227,600.00",Completed,2023-07-26
TXN000245,2023-07-01,CUST003,PROD001,MGR003,280,8500,"2,380,000.00",Completed,2023-07-30
TXN000246,2023-07-03,CUST011,PROD008,MGR004,324,1850,"599,400.00",Completed,2023-07-31
TXN000247,2023-07-05,CUST008,PROD001,MGR003,104,8500,"884,000.00",Completed,2023-08-02
TXN000248,2023-07-08,CUST009,PROD007,MGR005,243,5400,"1,312,200.00",Completed,2023-07-12
TXN000249,2023-07-08,CUST013,PROD011,MGR002,147,320,"47,040.00",Completed,2023-08-07
TXN000250,2023-07-09,CUST014,PROD011,MGR003,140,320,"44,800.00",Completed,2023-08-06
TXN000251,2023-07-11,CUST012,PROD008,MGR004,174,1850,"321,900.00",Completed,2023-07-29
TXN000252,2023-07-14,CUST005,PROD002,MGR004,41,12800,"524,800.00",Completed,2023-08-05
TXN000253,2023-07-15,CUST003,PROD009,MGR003,165,450,"74,250.00",Completed,2023-07-20
TXN000254,2023-07-15,CUST006,PROD011,MGR003,157,320,"50,240.00",Completed,2023-08-06
TXN000255,2023-07-15,CUST012,PROD007,MGR002,354,5400,"1,911,600.00",Completed,2023-07-29
TXN000256,2023-07-17,CUST015,PROD006,MGR005,223,2800,"624,400.00",Completed,2023-08-09
TXN000257,2023-07-18,CUST001,PROD002,MGR004,187,12800,"2,393,600.00",Completed,2023-08-15
TXN000258,2023-07-18,CUST012,PROD011,MGR002,488,320,"156,160.00",Completed,2023-07-25
TXN000259,2023-07-18,CUST014,PROD010,MGR004,18,9200,"165,600.00",Completed,2023-07-23
TXN000260,2023-07-22,CUST001,PROD010,MGR002,348,9200,"3,201,600.00",Completed,2023-08-05
TXN000261,2023-07-22,CUST006,PROD008,MGR001,294,1850,"543,900.00",Completed,2023-08-10
TXN000262,2023-07-26,CUST001,PROD012,MGR002,256,1600,"409,600.00",Completed,2023-08-10
TXN000263,2023-07-26,CUST015,PROD009,MGR001,135,450,"60,750.00",Shipped,2023-08-06
TXN000264,2023-07-27,CUST004,PROD010,MGR003,356,9200,"3,275,200.00",Completed,2023-08-05
TXN000265,2023-07-29,CUST008,PROD003,MGR004,45,4200,"189,000.00",Shipped,2023-08-22
TXN000266,2023-07-30,CUST006,PROD011,MGR003,364,320,"116,480.00",Completed,2023-08-19
TXN000267,2023-07-30,CUST009,PROD005,MGR003,436,6500,"2,834,000.00",Completed,2023-08-24
TXN000268,2023-07-31,CUST012,PROD011,MGR002,407,320,"130,240.00",Completed,2023-08-19
TXN000269,2023-08-02,CUST013,PROD003,MGR002,405,4200,"1,701,000.00",Completed,2023-08-05
TXN000270,2023-08-02,CUST006,PROD009,MGR005,189,450,"85,050.00",Completed,2023-08-30
TXN000271,2023-08-02,CUST009,PROD003,MGR005,453,4200,"1,902,600.00",Completed,2023-08-07
TXN000272,2023-08-04,CUST012,PROD008,MGR005,211,1850,"390,350.00",Shipped,2023-08-20
