youth_id,assessment_date,literacy_score,digital_learning_completion
Y0167,2023-01-15,69,62
Y0168,2023-01-15,73,64
Y0169,2023-01-15,71,65
Y0170,2023-01-15,75,55
Y0171,2023-01-15,67,51
Y0172,2023-01-15,69,49
Y0173,2023-01-15,72,53
Y0174,2023-01-15,77,77
Y0175,2023-01-15,71,68
Y0176,2023-01-15,68,60
Y0177,2023-01-15,74,54
Y0178,2023-01-15,58,49
Y0179,2023-01-15,84,80
Y0180,2023-01-15,64,58
Y0181,2023-01-15,73,73
Y0182,2023-01-15,64,56
Y0183,2023-01-15,70,62
Y0184,2023-01-15,65,55
Y0185,2023-01-15,78,74
Y0186,2023-01-15,69,68
Y0187,2023-01-15,60,43
Y0188,2023-01-15,63,56
Y0189,2023-01-15,62,62
Y0190,2023-01-15,65,52
Y0191,2023-01-15,63,59
Y0192,2023-01-15,70,69
Y0193,2023-01-15,59,53
Y0194,2023-01-15,77,74
Y0195,2023-01-15,79,59
Y0196,2023-01-15,64,57
Y0197,2023-01-15,76,73
Y0198,2023-01-15,55,46
Y0199,2023-01-15,78,63
Y0200,2023-01-15,60,59
Y0201,2023-01-15,65,54
Y0202,2023-01-15,69,67
Y0203,2023-01-15,64,55
Y0204,2023-01-15,76,68
Y0205,2023-01-15,74,71
Y0206,2023-01-15,80,70
Y0207,2023-01-15,81,78
Y0208,2023-01-15,82,81
Y0209,2023-01-15,71,64
Y0210,2023-01-15,76,57
Y0211,2023-01-15,82,76
Y0212,2023-01-15,78,67
Y0213,2023-01-15,71,71
Y0214,2023-01-15,78,62
Y0215,2023-01-15,84,78
Y0216,2023-01-15,81,81
Y0217,2023-01-15,69,58
Y0218,2023-01-15,79,67
Y0219,2023-01-15,72,67
Y0220,2023-01-15,65,48
Y0221,2023-01-15,76,64
Y0222,2023-01-15,52,39
Y0223,2023-01-15,58,38
Y0224,2023-01-15,67,50
Y0225,2023-01-15,68,66
Y0226,2023-01-15,77,60
Y0227,2023-01-15,65,45
Y0228,2023-01-15,75,64
Y0229,2023-01-15,83,65
Y0230,2023-01-15,53,53
Y0231,2023-01-15,70,58
Y0232,2023-01-15,71,59
Y0233,2023-01-15,62,46
Y0234,2023-01-15,76,58
Y0235,2023-01-15,77,67
Y0236,2023-01-15,71,55
Y0237,2023-01-15,63,52
Y0238,2023-01-15,69,53
Y0239,2023-01-15,66,58
Y0240,2023-01-15,79,75
Y0241,2023-01-15,72,64
Y0242,2023-01-15,78,77
Y0243,2023-01-15,61,56
Y0244,2023-01-15,76,76
Y0245,2023-01-15,63,62
Y0246,2023-01-15,81,70
Y0247,2023-01-15,81,74
Y0248,2023-01-15,78,78
Y0249,2023-01-15,75,74
Y0250,2023-01-15,70,53
Y0251,2023-01-15,66,50
Y0252,2023-01-15,76,75
Y0253,2023-01-15,57,55
Y0254,2023-01-15,62,52
Y0255,2023-01-15,67,48
Y0256,2023-01-15,65,64
Y0257,2023-01-15,74,60
Y0258,2023-01-15,67,59
Y0259,2023-01-15,78,64
Y0260,2023-01-15,67,49
Y0261,2023-01-15,60,54
Y0262,2023-01-15,63,49
Y0263,2023-01-15,75,68
Y0264,2023-01-15,74,56
Y0265,2023-01-15,61,58
Y0266,2023-01-15,73,70
Y0267,2023-01-15,72,59
Y0268,2023-01-15,81,76
Y0269,2023-01-15,61,45
Y0270,2023-01-15,64,58
Y0271,2023-01-15,68,67
Y0272,2023-01-15,63,54
Y0273,2023-01-15,57,44
Y0274,2023-01-15,58,51
Y0275,2023-01-15,75,74
Y0276,2023-01-15,55,52
Y0277,2023-01-15,58,44
Y0278,2023-01-15,75,69
Y0279,2023-01-15,64,59
Y0280,2023-01-15,77,75
Y0281,2023-01-15,67,47
Y0282,2023-01-15,71,64
Y0283,2023-01-15,68,48
Y0284,2023-01-15,78,68
Y0285,2023-01-15,78,71
Y0286,2023-01-15,61,44
Y0287,2023-01-15,59,51
Y0288,2023-01-15,79,74
Y0289,2023-01-15,62,43
Y0290,2023-01-15,74,65
Y0291,2023-01-15,78,76
Y0292,2023-01-15,59,44
Y0293,2023-01-15,68,62
Y0294,2023-01-15,57,54
Y0295,2023-01-15,64,55
Y0296,2023-01-15,67,58
Y0297,2023-01-15,58,44
Y0298,2023-01-15,75,62
Y0299,2023-01-15,63,56
Y0300,2023-01-15,73,61
Y0301,2023-01-15,65,65
Y0302,2023-01-15,64,44
Y0303,2023-01-15,78,61
Y0304,2023-01-15,67,60
Y0305,2023-01-15,63,46
Y0306,2023-01-15,70,56
Y0307,2023-01-15,62,46
Y0308,2023-01-15,78,63
Y0309,2023-01-15,70,61
Y0310,2023-01-15,79,65
Y0311,2023-01-15,66,56
Y0312,2023-01-15,82,79
Y0313,2023-01-15,70,65
Y0314,2023-01-15,84,72
Y0315,2023-01-15,58,56
Y0316,2023-01-15,69,56
Y0317,2023-01-15,70,62
Y0318,2023-01-15,62,58
Y0319,2023-01-15,74,73
Y0320,2023-01-15,53,33
Y0321,2023-01-15,68,58
Y0322,2023-01-15,58,39
Y0323,2023-01-15,79,63
Y0324,2023-01-15,59,58
Y0325,2023-01-15,76,68
Y0326,2023-01-15,62,61
Y0327,2023-01-15,78,65
Y0328,2023-01-15,68,68
Y0329,2023-01-15,75,69
Y0330,2023-01-15,68,65
Y0331,2023-01-15,73,70
Y0332,2023-01-15,57,48
Y0333,2023-01-15,77,62
Y0334,2023-01-15,68,55
Y0335,2023-01-15,67,64
Y0336,2023-01-15,69,64
Y0337,2023-01-15,61,50
Y0338,2023-01-15,67,65
Y0339,2023-01-15,57,55
Y0340,2023-01-15,74,66
Y0341,2023-01-15,64,61
Y0342,2023-01-15,79,72
Y0343,2023-01-15,68,60
Y0344,2023-01-15,81,66
Y0345,2023-01-15,59,54
Y0346,2023-01-15,60,51
Y0347,2023-01-15,80,76
Y0348,2023-01-15,81,76
Y0349,2023-01-15,82,67
Y0350,2023-01-15,70,64
Y0351,2023-01-15,75,59
Y0352,2023-01-15,59,49
Y0353,2023-01-15,68,56
Y0354,2023-01-15,65,51
Y0355,2023-01-15,82,70
Y0356,2023-01-15,78,76
Y0357,2023-01-15,69,63
Y0358,2023-01-15,57,54
Y0359,2023-01-15,74,66
Y0360,2023-01-15,60,41
Y0361,2023-01-15,77,72
Y0362,2023-01-15,81,81
Y0363,2023-01-15,61,50
Y0364,2023-01-15,68,61
Y0365,2023-01-15,65,49
Y0366,2023-01-15,65,59
Y0367,2023-01-15,69,56
Y0368,2023-01-15,80,80
Y0369,2023-01-15,73,63
Y0370,2023-01-15,82,76
Y0371,2023-01-15,77,69
Y0372,2023-01-15,52,39
Y0373,2023-01-15,59,45
Y0374,2023-01-15,70,57
Y0375,2023-01-15,74,61
Y0376,2023-01-15,76,74
Y0377,2023-01-15,73,63
Y0378,2023-01-15,57,51
Y0379,2023-01-15,64,63
Y0380,2023-01-15,61,49
Y0381,2023-01-15,57,39
Y0382,2023-01-15,65,63
Y0383,2023-01-15,69,56
Y0384,2023-01-15,66,57
Y0385,2023-01-15,61,54
Y0386,2023-01-15,57,56
Y0387,2023-01-15,56,37
Y0388,2023-01-15,60,51
Y0389,2023-01-15,73,63
Y0390,2023-01-15,74,63
Y0391,2023-01-15,63,47
Y0392,2023-01-15,62,49
Y0393,2023-01-15,73,72
Y0394,2023-01-15,82,81
Y0395,2023-01-15,62,50
Y0396,2023-01-15,72,66
Y0397,2023-01-15,77,68
Y0398,2023-01-15,57,47
Y0399,2023-01-15,76,66
Y0400,2023-01-15,63,60
Y0401,2023-01-15,80,79
Y0402,2023-01-15,53,44
Y0403,2023-01-15,71,60
Y0404,2023-01-15,60,45
Y0405,2023-01-15,80,65
Y0406,2023-01-15,64,49
Y0407,2023-01-15,55,43
Y0408,2023-01-15,76,74
Y0409,2023-01-15,61,55
Y0410,2023-01-15,60,57
Y0411,2023-01-15,59,41
Y0412,2023-01-15,73,53
Y0413,2023-01-15,59,56
Y0414,2023-01-15,62,58
Y0415,2023-01-15,70,57
Y0416,2023-01-15,55,50
Y0417,2023-01-15,63,48
Y0418,2023-01-15,81,74
Y0419,2023-01-15,66,61
Y0420,2023-01-15,79,73
Y0421,2023-01-15,62,50
Y0422,2023-01-15,81,77
Y0423,2023-01-15,77,73
Y0424,2023-01-15,56,56
Y0425,2023-01-15,70,66
Y0426,2023-01-15,70,68
Y0427,2023-01-15,76,67
Y0428,2023-01-15,83,82
Y0429,2023-01-15,74,69
Y0430,2023-01-15,59,55
Y0431,2023-01-15,66,61
Y0432,2023-01-15,75,74
Y0433,2023-01-15,77,74
Y0434,2023-01-15,76,63
Y0435,2023-01-15,76,72
Y0436,2023-01-15,86,75
Y0437,2023-01-15,79,69
Y0438,2023-01-15,76,76
Y0439,2023-01-15,71,59
Y0440,2023-01-15,57,48
Y0441,2023-01-15,73,64
Y0442,2023-01-15,64,62
Y0443,2023-01-15,77,61
Y0444,2023-01-15,59,55
Y0445,2023-01-15,58,52
Y0446,2023-01-15,56,53
Y0447,2023-01-15,85,81
Y0448,2023-01-15,71,70
Y0449,2023-01-15,82,76
Y0450,2023-01-15,79,63
Y0451,2023-01-15,62,56
Y0452,2023-01-15,72,66
Y0453,2023-01-15,72,65
Y0454,2023-01-15,84,73
Y0455,2023-01-15,72,69
Y0456,2023-01-15,82,77
Y0457,2023-01-15,64,51
Y0458,2023-01-15,62,57
Y0459,2023-01-15,58,50
Y0460,2023-01-15,66,61
Y0461,2023-01-15,55,49
Y0462,2023-01-15,82,82
Y0463,2023-01-15,59,59
Y0464,2023-01-15,65,56
Y0465,2023-01-15,78,76
Y0466,2023-01-15,75,60
Y0467,2023-01-15,82,70
Y0468,2023-01-15,79,76
Y0469,2023-01-15,73,60
Y0470,2023-01-15,58,40
Y0471,2023-01-15,76,69
Y0472,2023-01-15,76,66
Y0473,2023-01-15,75,56
Y0474,2023-01-15,71,52
Y0475,2023-01-15,56,41
Y0476,2023-01-15,85,82
Y0477,2023-01-15,80,74
Y0478,2023-01-15,60,45
Y0479,2023-01-15,77,76
Y0480,2023-01-15,60,54
Y0481,2023-01-15,64,54
Y0482,2023-01-15,71,66
Y0483,2023-01-15,57,53
Y0484,2023-01-15,72,60
Y0485,2023-01-15,70,70
Y0486,2023-01-15,61,46
Y0487,2023-01-15,72,69
Y0488,2023-01-15,70,65
Y0489,2023-01-15,63,46
Y0490,2023-01-15,73,67
Y0491,2023-01-15,69,51
Y0492,2023-01-15,75,72
Y0493,2023-01-15,56,45
Y0494,2023-01-15,69,67
Y0495,2023-01-15,62,58
Y0496,2023-01-15,68,66
Y0497,2023-01-15,75,63
Y0498,2023-01-15,60,52
Y0499,2023-01-15,65,59
Y0500,2023-01-15,73,64
Y0501,2023-01-15,70,66
Y0502,2023-01-15,61,56
Y0503,2023-01-15,64,52
Y0504,2023-01-15,80,76
Y0505,2023-01-15,64,62
Y0506,2023-01-15,74,54
Y0507,2023-01-15,72,70
Y0508,2023-01-15,60,58
Y0509,2023-01-15,81,69
Y0510,2023-01-15,75,69
Y0511,2023-01-15,78,60
Y0512,2023-01-15,65,62
Y0513,2023-01-15,80,78
Y0514,2023-01-15,78,59
Y0515,2023-01-15,59,49
Y0516,2023-01-15,74,65
Y0517,2023-01-15,66,46
Y0518,2023-01-15,75,74
Y0519,2023-01-15,61,44
Y0520,2023-01-15,79,67
Y0521,2023-01-15,73,66
Y0522,2023-01-15,79,75
Y0523,2023-01-15,65,64
Y0524,2023-01-15,73,68
Y0525,2023-01-15,61,47
Y0526,2023-01-15,56,49
Y0527,2023-01-15,79,61
Y0528,2023-01-15,72,64
Y0529,2023-01-15,71,63
Y0530,2023-01-15,59,39
Y0531,2023-01-15,81,67
Y0532,2023-01-15,65,58
Y0533,2023-01-15,60,49
Y0534,2023-01-15,72,72
Y0535,2023-01-15,66,52
Y0536,2023-01-15,74,55
Y0537,2023-01-15,71,71
Y0538,2023-01-15,68,50
Y0539,2023-01-15,67,63
Y0540,2023-01-15,75,64
Y0541,2023-01-15,60,45
Y0542,2023-01-15,67,57
Y0543,2023-01-15,68,55
Y0544,2023-01-15,77,76
Y0545,2023-01-15,77,76
Y0546,2023-01-15,70,69
Y0547,2023-01-15,64,47
Y0548,2023-01-15,58,58
Y0549,2023-01-15,76,62
Y0550,2023-01-15,65,57
Y0551,2023-01-15,59,56
Y0552,2023-01-15,52,48
Y0553,2023-01-15,65,65
Y0554,2023-01-15,63,61
Y0555,2023-01-15,73,57
Y0556,2023-01-15,77,73
Y0557,2023-01-15,62,50
Y0558,2023-01-15,75,58
Y0559,2023-01-15,81,61
Y0560,2023-01-15,64,57
Y0561,2023-01-15,72,70
Y0562,2023-01-15,54,47
Y0563,2023-01-15,66,57
Y0564,2023-01-15,67,53
Y0565,2023-01-15,57,37
Y0566,2023-01-15,60,40
Y0567,2023-01-15,69,66
Y0568,2023-01-15,69,54
Y0569,2023-01-15,76,68
Y0570,2023-01-15,77,57
Y0571,2023-01-15,80,65
Y0572,2023-01-15,64,50
Y0573,2023-01-15,61,41
Y0574,2023-01-15,67,48
Y0575,2023-01-15,71,68
Y0576,2023-01-15,64,57
Y0577,2023-01-15,79,78
Y0578,2023-01-15,70,61
Y0579,2023-01-15,62,44
Y0580,2023-01-15,67,59
Y0581,2023-01-15,81,81
Y0582,2023-01-15,66,58
Y0583,2023-01-15,75,59
Y0584,2023-01-15,58,54
Y0585,2023-01-15,79,72
Y0586,2023-01-15,75,68
Y0587,2023-01-15,64,62
Y0588,2023-01-15,78,76
Y0589,2023-01-15,76,65
Y0590,2023-01-15,78,62
Y0591,2023-01-15,61,46
Y0592,2023-01-15,69,61
Y0593,2023-01-15,63,48
Y0594,2023-01-15,81,71
Y0595,2023-01-15,70,70
Y0596,2023-01-15,74,56
Y0597,2023-01-15,64,62
Y0598,2023-01-15,78,60
Y0599,2023-01-15,57,37
Y0600,2023-01-15,56,44
Y0601,2023-01-15,64,62
Y0602,2023-01-15,61,54
Y0603,2023-01-15,65,56
Y0604,2023-01-15,70,56
Y0605,2023-01-15,67,53
Y0606,2023-01-15,64,59
Y0607,2023-01-15,56,51
Y0608,2023-01-15,60,54
Y0609,2023-01-15,59,48
Y0610,2023-01-15,61,41
Y0611,2023-01-15,81,75
Y0612,2023-01-15,72,57
Y0613,2023-01-15,71,55
Y0614,2023-01-15,74,56
Y0615,2023-01-15,75,64
Y0616,2023-01-15,75,69
Y0617,2023-01-15,81,63
Y0618,2023-01-15,65,57
Y0619,2023-01-15,65,54
Y0620,2023-01-15,65,62
Y0621,2023-01-15,63,46
Y0622,2023-01-15,64,49
Y0623,2023-01-15,55,52
Y0624,2023-01-15,64,56
Y0625,2023-01-15,71,67
Y0626,2023-01-15,63,63
Y0627,2023-01-15,73,56
Y0628,2023-01-15,72,54
Y0629,2023-01-15,81,64
Y0630,2023-01-15,63,57
Y0631,2023-01-15,82,80
Y0632,2023-01-15,85,75
Y0633,2023-01-15,62,52
Y0634,2023-01-15,59,54
Y0635,2023-01-15,73,66
Y0636,2023-01-15,84,69
Y0637,2023-01-15,76,66
Y0638,2023-01-15,64,60
Y0639,2023-01-15,61,52
Y0640,2023-01-15,71,68
Y0641,2023-01-15,66,61
Y0642,2023-01-15,69,64
Y0643,2023-01-15,62,57
Y0644,2023-01-15,66,50
Y0645,2023-01-15,58,56
Y0646,2023-01-15,83,64
Y0647,2023-01-15,66,52
Y0648,2023-01-15,78,71
Y0649,2023-01-15,76,74
Y0650,2023-01-15,67,67
Y0651,2023-01-15,62,56
Y0652,2023-01-15,65,51
Y0653,2023-01-15,78,65
Y0654,2023-01-15,61,57
Y0655,2023-01-15,66,55
Y0656,2023-01-15,54,45
Y0657,2023-01-15,82,72
Y0658,2023-01-15,83,79
Y0659,2023-01-15,81,61
Y0660,2023-01-15,71,64
Y0661,2023-01-15,78,75
Y0662,2023-01-15,79,70
Y0663,2023-01-15,73,72
Y0664,2023-01-15,53,35
Y0665,2023-01-15,65,64
Y0666,2023-01-15,70,59
Y0667,2023-01-15,64,55
Y0668,2023-01-15,84,70
Y0669,2023-01-15,65,46
Y0670,2023-01-15,70,69
Y0671,2023-01-15,54,50
Y0672,2023-01-15,60,58
Y0673,2023-01-15,65,46
Y0674,2023-01-15,72,71
Y0675,2023-01-15,61,50
Y0676,2023-01-15,82,81
Y0677,2023-01-15,74,73
Y0678,2023-01-15,61,51
Y0679,2023-01-15,76,62
Y0680,2023-01-15,61,56
Y0681,2023-01-15,58,44
Y0682,2023-01-15,68,68
Y0683,2023-01-15,65,64
Y0684,2023-01-15,60,52
Y0685,2023-01-15,74,70
Y0686,2023-01-15,63,58
Y0687,2023-01-15,62,62
Y0688,2023-01-15,82,73
Y0689,2023-01-15,80,73
Y0690,2023-01-15,52,35
Y0691,2023-01-15,56,50
Y0692,2023-01-15,80,78
Y0693,2023-01-15,59,54
Y0694,2023-01-15,60,53
Y0695,2023-01-15,68,49
Y0696,2023-01-15,62,53
Y0697,2023-01-15,81,68
Y0698,2023-01-15,72,54
Y0699,2023-01-15,78,58
Y0700,2023-01-15,80,78
Y0701,2023-01-15,75,69
Y0702,2023-01-15,73,57
Y0703,2023-01-15,69,58
Y0704,2023-01-15,85,79
Y0705,2023-01-15,78,76
Y0706,2023-01-15,65,61
Y0707,2023-01-15,67,55
Y0708,2023-01-15,74,60
Y0709,2023-01-15,67,47
Y0710,2023-01-15,56,39
Y0711,2023-01-15,76,74
Y0712,2023-01-15,66,48
Y0713,2023-01-15,71,65
Y0714,2023-01-15,79,61
Y0715,2023-01-15,75,75
Y0716,2023-01-15,78,66
Y0717,2023-01-15,73,60
Y0718,2023-01-15,79,62
Y0719,2023-01-15,76,66
Y0720,2023-01-15,64,54
Y0721,2023-01-15,67,50
Y0722,2023-01-15,77,64
Y0723,2023-01-15,80,68
Y0724,2023-01-15,54,44
Y0725,2023-01-15,63,61
Y0726,2023-01-15,82,68
Y0727,2023-01-15,62,42
Y0728,2023-01-15,62,49
Y0729,2023-01-15,66,66
Y0730,2023-01-15,75,73
Y0731,2023-01-15,65,47
Y0732,2023-01-15,72,67
Y0733,2023-01-15,62,62
Y0734,2023-01-15,64,61
Y0735,2023-01-15,59,49
Y0736,2023-01-15,72,63
Y0737,2023-01-15,65,46
Y0738,2023-01-15,75,74
Y0739,2023-01-15,79,67
Y0740,2023-01-15,81,75
Y0741,2023-01-15,60,54
Y0742,2023-01-15,78,72
Y0743,2023-01-15,73,56
Y0744,2023-01-15,68,56
Y0745,2023-01-15,72,58
Y0746,2023-01-15,70,51
Y0747,2023-01-15,60,47
Y0748,2023-01-15,56,40
Y0749,2023-01-15,78,75
Y0750,2023-01-15,62,50
Y0751,2023-01-15,77,57
Y0752,2023-01-15,64,52
Y0753,2023-01-15,84,69
Y0754,2023-01-15,63,56
Y0755,2023-01-15,57,51
Y0756,2023-01-15,65,63
Y0757,2023-01-15,70,65
Y0758,2023-01-15,66,54
Y0759,2023-01-15,72,66
Y0760,2023-01-15,53,46
Y0761,2023-01-15,67,49
Y0762,2023-01-15,76,61
Y0763,2023-01-15,62,55
Y0764,2023-01-15,63,60
Y0765,2023-01-15,62,44
Y0766,2023-01-15,67,62
Y0767,2023-01-15,69,52
Y0768,2023-01-15,57,44
Y0769,2023-01-15,83,65
Y0770,2023-01-15,62,61
Y0771,2023-01-15,65,49
Y0772,2023-01-15,64,61
Y0773,2023-01-15,62,51
Y0774,2023-01-15,55,40
Y0775,2023-01-15,68,68
Y0776,2023-01-15,76,57
Y0777,2023-01-15,74,69
Y0778,2023-01-15,75,63
Y0779,2023-01-15,70,51
Y0780,2023-01-15,69,63
Y0781,2023-01-15,58,51
Y0782,2023-01-15,56,38
Y0783,2023-01-15,68,60
Y0784,2023-01-15,78,59
Y0785,2023-01-15,56,45
Y0786,2023-01-15,65,62
Y0787,2023-01-15,75,63
Y0788,2023-01-15,62,56
Y0789,2023-01-15,73,68
Y0790,2023-01-15,74,58
Y0791,2023-01-15,80,61
Y0792,2023-01-15,80,68
Y0793,2023-01-15,81,63
Y0794,2023-01-15,71,65
Y0795,2023-01-15,72,67
Y0796,2023-01-15,74,71
Y0797,2023-01-15,54,48
Y0798,2023-01-15,67,60
Y0799,2023-01-15,60,56
Y0800,2023-01-15,74,58
Y0801,2023-01-15,65,54
Y0802,2023-01-15,72,54
Y0803,2023-01-15,68,62
Y0804,2023-01-15,73,66
Y0805,2023-01-15,67,54
Y0806,2023-01-15,76,68
Y0807,2023-01-15,53,47
Y0808,2023-01-15,75,62
Y0809,2023-01-15,58,51
Y0810,2023-01-15,58,46
Y0811,2023-01-15,76,68
Y0812,2023-01-15,62,59
Y0813,2023-01-15,80,76
Y0814,2023-01-15,67,64
Y0815,2023-01-15,70,53
Y0816,2023-01-15,61,51
Y0817,2023-01-15,72,64
Y0818,2023-01-15,62,52
Y0819,2023-01-15,72,63
Y0820,2023-01-15,71,53
Y0821,2023-01-15,56,53
Y0822,2023-01-15,77,72
Y0823,2023-01-15,72,61
Y0824,2023-01-15,83,67
Y0825,2023-01-15,62,56
Y0826,2023-01-15,82,62
Y0827,2023-01-15,74,58
Y0828,2023-01-15,63,44
Y0829,2023-01-15,67,48
Y0830,2023-01-15,74,74
Y0831,2023-01-15,78,77
Y0832,2023-01-15,62,53
Y0833,2023-01-15,71,54
Y0834,2023-01-15,78,67
Y0835,2023-01-15,64,57
Y0836,2023-01-15,67,53
Y0837,2023-01-15,81,75
Y0838,2023-01-15,78,75
Y0839,2023-01-15,57,42
Y0840,2023-01-15,71,53
Y0841,2023-01-15,85,76
Y0842,2023-01-15,74,55
Y0843,2023-01-15,62,50
Y0844,2023-01-15,75,55
Y0845,2023-01-15,66,65
Y0846,2023-01-15,72,53
Y0847,2023-01-15,79,62
Y0848,2023-01-15,68,64
Y0849,2023-01-15,71,66
Y0850,2023-01-15,62,48
Y0851,2023-01-15,78,68
Y0852,2023-01-15,82,70
Y0853,2023-01-15,75,72
Y0854,2023-01-15,63,58
Y0855,2023-01-15,72,63
Y0856,2023-01-15,77,66
Y0857,2023-01-15,72,70
Y0858,2023-01-15,77,66
Y0859,2023-01-15,58,39
Y0860,2023-01-15,73,54
Y0861,2023-01-15,78,59
Y0862,2023-01-15,63,60
Y0863,2023-01-15,64,47
Y0864,2023-01-15,66,56
Y0865,2023-01-15,60,57
Y0866,2023-01-15,60,59
Y0867,2023-01-15,65,52
Y0868,2023-01-15,83,69
Y0869,2023-01-15,56,53
Y0870,2023-01-15,67,67
Y0871,2023-01-15,60,41
