product_key,product_id,product_name,planning_product_group,planning_package_group,planning_super_category,planning_category,planning_package_brand_group,raw_to_spc_factor,raw_to_eq_factor
36,PPG000100000103,SSD 0.5Lt PET 6pk (4ct),PPG000100000103,SSD Multi Pet,SSD,Sparkling,SSD MPET,1.0000,2.1125
37,PPG000100000105,SSD 1.25L Pet,PPG000100000105,SSD Big Bottle,SSD,Sparkling,SSD Big Bottle,1.0000,2.6418
38,PPG000100000107,SSD 12oz Can 12pk Core (2ct),PPG000100000107,SSD 12oz Cans,SSD,Sparkling,SSD 12oz Cans,1.0000,1.5000
39,PPG000100000108,SSD 12oz Can 15pk,PPG000100000108,SSD 12oz Cans,SSD,Sparkling,SSD 12oz Cans,1.2500,1.8750
40,PPG000100000110,SSD 12oz Can 24pk,PPG000100000110,SSD 12oz Cans,SSD,Sparkling,SSD 12oz Cans,1.0000,1.5000
41,PPG000100000113,SSD 12oz Can 35pk,PPG000100000113,SSD 12oz Cans,SSD,Sparkling,SSD 12oz Cans,1.4583,2.1875
42,PPG000100000114,SSD 12oz Can 6pk,PPG000100000114,SSD 12oz Cans,SSD,Sparkling,SSD 12oz Cans,1.0000,1.5000
43,PPG000100000117,SSD 12oz Glass 6pk,PPG000100000117,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,1.5000
44,PPG000100000119,SSD 12oz PET 8pk,PPG000100000119,SSD Multi Pet,SSD,Sparkling,SSD MPET,1.0000,1.5000
45,PPG000100000120,SSD 16oz Can Single,PPG000100000120,SSD IC,SSD,Sparkling,SSD IC,1.0000,2.0000
46,PPG000100000125,SSD 20oz PET Single,PPG000100000125,SSD IC,SSD,Sparkling,SSD IC,1.0000,2.5000
47,PPG000100000126,SSD 24oz PET Singles,PPG000100000126,SSD IC,SSD,Sparkling,SSD IC,1.0000,3.0000
48,PPG000100000127,SSD 253ml PET 6pk,PPG000100000127,SSD Multi Pet,SSD,Sparkling,SSD MPET,1.0000,1.0688
49,PPG000100000130,SSD 2Lt PET,PPG000100000130,SSD Big Bottle,SSD,Sparkling,SSD Big Bottle,1.0000,2.8179
50,PPG000100000131,SSD 2Lt PET Flv,PPG000100000131,SSD Big Bottle,SSD,Sparkling,SSD Big Bottle,1.0000,2.8179
51,PPG000100000132,SSD 355ml Glass 24pk,PPG000100000132,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,1.5000
52,PPG000100000134,SSD 500ml GLS 24pk,PPG000100000134,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,2.1134
53,PPG000100000135,SSD 7.5oz Can 10pk,PPG000100000135,SSD Mini Cans,SSD,Sparkling,SSD Mini Cans,1.2500,1.1719
54,PPG000100000137,SSD 7.5oz Can 30pk,PPG000100000137,SSD Mini Cans,SSD,Sparkling,SSD Mini Cans,1.2500,1.1719
55,PPG000100000138,SSD 7.5oz Can 6pk,PPG000100000138,SSD Mini Cans,SSD,Sparkling,SSD Mini Cans,1.0000,0.9375
56,PPG000100000142,SSD de Mexico Glass 4pk,PPG000100000142,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,1.5000
57,PPG000100000143,SSD de Mexico Variety packs,PPG000100000143,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,1.5000
58,PPG000100000147,TEY 10.1oz Single (12/cs),PPG000100000147,Juice,Still,Juice Drinks,Remaining Still,0.5000,0.6313
59,PPG000100000149,vitaminwater 16.9oz PET 6pk,PPG000100000149,vitaminwater,Still,Enhanced Water,vitaminwater,1.0000,2.1125
60,PPG000100000151,vitaminwater 20oz PET 12pk (1ct),PPG000100000151,vitaminwater,Still,Enhanced Water,vitaminwater,0.5000,1.2500
61,PPG000100000157,fairlife Milk 14oz PET LS (12ct),PPG000100000157,Protein/Dairy,Still,Protein/Dairy,fairlife,0.5000,0.8750
62,PPG000100000162,2.5gal BIB Other Juice,PPG000100000162,Postmix,Non-Bev,Postmix,Postmix,2.5000,1.6667
63,PPG000100000163,4.75 Gal Tank Premix,PPG000100000163,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,3.1666
64,PPG000100000164,5.0gal BIB Sparkling/Still,PPG000100000164,Postmix,Non-Bev,Postmix,Postmix,5.0000,3.3333
65,PPG000100000166,CO2 GAS CYL,PPG000100000166,CO2,Non-Bev,CO2,CO2,1.0000,1.0000
66,PPG000100000167,Cups-Foam,PPG000100000167,Cups and Lids,Non-Bev,Cups and Lids,Cups/Lids,1.0000,1.0000
67,PPG000100000168,Cups-Tumblers,PPG000100000168,Cups and Lids,Non-Bev,Cups and Lids,Cups/Lids,1.0000,1.0000
68,PPG000100000169,Cups-Wax,PPG000100000169,Cups and Lids,Non-Bev,Cups and Lids,Cups/Lids,1.0000,1.0000
69,PPG000100000170,Lids-Foam,PPG000100000170,Cups and Lids,Non-Bev,Cups and Lids,Cups/Lids,1.0000,1.0000
70,PPG000100000174,Lids-Wax,PPG000100000174,Cups and Lids,Non-Bev,Cups and Lids,Cups/Lids,1.0000,1.0000
71,PPG000100000175,Cups-Coffee,PPG000100000175,Cups and Lids,Non-Bev,Cups and Lids,Cups/Lids,1.0000,1.0000
72,PPG000100000177,SSD 8oz Glass 6pk,PPG000100000177,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,1.0000
73,PPG000100000200,2.5gal BIB Sparkling/Still,PPG000100000200,Postmix,Non-Bev,Postmix,Postmix,2.5000,1.6667
74,PPG000100000203,SSD 20oz PET Flavors,PPG000100000203,SSD IC,SSD,Sparkling,SSD IC,1.0000,2.5000
75,PPG000100000212,BODYARMOR 16oz Sport (12/cs),PPG000100000212,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,0.5000,1.0000
76,PPG000100000213,BODYARMOR 28oz Sport (12/cs),PPG000100000213,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,1.0000,1.7500
77,PPG000100000214,BODYARMOR Enh. Water 1L (12/cs),PPG000100000214,BODYARMOR Water,Still,Enhanced Water,BODYARMOR,1.0000,2.1134
78,PPG000100000215,BODYARMOR Enh. Water 700ml/23.7oz (24/cs),PPG000100000215,BODYARMOR Water,Still,Enhanced Water,BODYARMOR,1.0000,2.9588
79,PPG000100000216,vitaminwater 20oz PET (12/cs),PPG000100000216,vitaminwater,Still,Enhanced Water,vitaminwater,0.5000,1.2500
80,PPG000100000217,Core Power 14oz,PPG000100000217,Protein/Dairy,Still,Protein/Dairy,Core Power,0.5000,0.8750
81,PPG000100000219,5.0gal BIB Sweetener,PPG000100000219,Postmix,Non-Bev,Postmix,Postmix,5.0000,3.3333
82,PPG000100000220,Not Planned,PPG000100000220,Not Planned,Not Planned,Not Planned,Not Planned,1.0000,1.0000
83,PPG000100000222,BODYARMOR 12oz 8pk Sport,PPG000100000222,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,1.0000,1.5000
84,PPG000100000228,MONSTER Reign 16oz Can LS (12ct),PPG000100000228,MEC Energy,Still,Energy,MONSTER Energy,0.5000,1.0000
85,PPG000100000232,smartwater Flavors 700ml PET Singles (12ct),PPG000100000232,smartwater,Still,Enhanced Water,smartwater,0.5000,1.4813
86,PPG000100000239,POWERADE Power Water 20oz PET LS (12ct),PPG000100000239,POWERADE Power Water,Still,Enhanced Water,POWERADE,0.5000,1.2500
87,PPG000100000241,AHA 12oz Can 8pk (3ct),PPG000100000241,Sparkling Water,Still,Enhanced Water,Remaining Still,1.0000,1.5000
88,PPG000100000244,POWERADE 28oz PET LS (15ct),PPG000100000244,POWERADE,Still,Sports Drinks,POWERADE,1.2500,2.1875
89,PPG000100000245,MONSTER Reign 16oz Can 4pk (6ct),PPG000100000245,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
90,PPG000100000252,DASANI 16oz Can LS (24ct),PPG000100000252,DASANI,Still,Water,DASANI,1.0000,2.0000
91,PPG000100000254,SSD 12oz Glass 4pk (6ct),PPG000100000254,SSD Glass,SSD,Sparkling,SSD Glass,1.0000,1.5000
92,PPG000100000256,SSD 0.5Lt PET 15pk,PPG000100000256,SSD Multi Pet,SSD,Sparkling,SSD MPET,0.6250,1.3203
93,PPG000100000257,SSD 12oz PET 6pk,PPG000100000257,SSD Multi Pet,SSD,Sparkling,SSD MPET,1.0000,1.5000
94,PPG000100000259,Gold Peak 59oz PET,PPG000100000259,Tea,Still,RTD Tea,Gold Peak,1.0000,2.4583
95,PPG000100000260,BODYARMOR 20oz Edge (12/cs),PPG000100000260,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,0.5000,1.2625
96,PPG000100000261,MONSTER 16oz Can 12pk,PPG000100000261,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
97,PPG000100000262,MONSTER 12oz Can (24/cs),PPG000100000262,MEC Energy,Still,Energy,MONSTER Energy,1.0000,1.5000
98,PPG000100000264,BODYARMOR 16oz Sport 12pk,PPG000100000264,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,0.5000,1.0000
99,PPG000100000265,MONSTER Hydro 20oz PET (12/cs),PPG000100000265,MEC Hydro,Still,Enhanced Water,MONSTER Energy,0.5000,1.2500
100,PPG000100000266,2.5gal BIB Premium Still,PPG000100000266,Postmix,Non-Bev,Postmix,Postmix,2.5000,1.6667
101,PPG000100000267,2.5gal BIB Unsweet Tea,PPG000100000267,Postmix,Non-Bev,Postmix,Postmix,2.5000,1.6667
102,PPG000100000268,2.5gal BIB Non-Sweetener,PPG000100000268,Postmix,Non-Bev,Postmix,Postmix,2.5000,1.6667
103,PPG000100000269,2.5gal BIB Orange/Apple,PPG000100000269,Postmix,Non-Bev,Postmix,Postmix,2.5000,1.6667
104,PPG000100000270,MM Aguas Frescas 16oz Can LS (24ct),PPG000100000270,Juice,Still,Juice Drinks,Minute Maid,1.0000,2.0000
105,PPG000100000273,SSD 12oz Can Sliim LS (24ct),PPG000100000273,SSD IC,SSD,Sparkling,SSD IC,1.0000,1.5000
106,PPG000100000274,MONSTER 12oz Can 6pk (4ct),PPG000100000274,MEC Energy,Still,Energy,MONSTER Energy,1.0000,1.5000
107,PPG000100000275,MONSTER Java 11oz Can 6pk (4ct),PPG000100000275,Coffee,Still,RTD Coffee,MONSTER Java,1.0000,1.5000
108,PPG000100000276,MONSTER Java 13.5oz Can LS (12ct),PPG000100000276,Coffee,Still,RTD Coffee,MONSTER Java,0.5000,0.8437
109,PPG000100000277,SSD 7.5oz Can 15pk (2ct),PPG000100000277,SSD Mini Cans,SSD,Sparkling,SSD Mini Cans,1.2500,1.1718
110,PPG000100000278,SSD 12oz Can 18pk,PPG000100000278,SSD 12oz Cans,SSD,Sparkling,SSD 12oz Cans,0.7500,1.1250
111,PPG000100000281,Not Planned - Brewed,PPG000100000281,Not Planned,Not Planned,Not Planned,Not Planned,1.0000,1.0000
112,PPG000100000282,SSD 12oz PET 4pk (6ct),PPG000100000282,SSD Multi Pet,SSD,Sparkling,SSD MPET,1.0000,1.5000
113,PPG000100000283,SSD 12.9oz PET LS (24ct),PPG000100000283,SSD IC,SSD,Sparkling,SSD IC,1.0000,1.6875
114,PPG000100000284,BODYARMOR 20oz 6pk Sport,PPG000100000284,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,1.0000,2.5000
115,PPG000100000285,BODYARMOR 28oz Edge (12/cs),PPG000100000285,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,1.0000,1.7500
116,PPG000100000286,BODYARMOR Enh. Water 1.5L (12/cs),PPG000100000286,BODYARMOR Water,Still,Enhanced Water,BODYARMOR,1.0000,3.1701
117,PPG000100000287,MONSTER 19.2oz Can LS (12ct),PPG000100000287,MEC Energy,Still,Energy,MONSTER Energy,0.5000,1.2000
118,PPG000100000288,smartwater Corrugate 1L PET 12pk,PPG000100000288,smartwater,Still,Enhanced Water,smartwater,1.0000,2.1134
119,PPG000100000289,fairlife Protein 14oz PET LS (12ct),PPG000100000289,Protein/Dairy,Still,Protein/Dairy,fairlife,0.5000,0.8750
120,PPG000100000290,Dunkin Donuts 11oz Can LS (12ct),PPG000100000290,Coffee,Still,RTD Coffee,Dunkin,0.5000,0.6875
121,PPG000100000291,BODYARMOR Enh. Water 1L PET 6pk (2ct),PPG000100000291,BODYARMOR Water,Still,Enhanced Water,BODYARMOR,1.0000,2.1134
122,PPG000100000293,Topo Chico Mixer 7.1oz Glass 4pk (6ct),PPG000100000293,Sparkling Water,Still,Enhanced Water,Topo Chico,1.0000,0.8125
123,PPG000100000294,Gold Peak 0.5L PET 12pk (1ct),PPG000100000294,Tea,Still,RTD Tea,Gold Peak,0.5000,1.0562
124,PPG000100000295,MONSTER Reign Storm 12oz Can LS (12ct),PPG000100000295,MEC Energy,Still,Energy,MONSTER Energy,0.5000,0.7500
125,PPG000100000296,MONSTER NRG Juice 18.6oz Can LS (12ct),PPG000100000296,MEC Energy,Still,Energy,MONSTER Energy,0.5000,1.1625
126,PPG000100000297,BODYARMOR Flash I.V. 20oz PET LS (12ct),PPG000100000297,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,0.5000,1.2500
127,PPG000100000299,POWERADE 12oz PET 8pk (3ct),PPG000100000299,POWERADE,Still,Sports Drinks,POWERADE,1.0000,1.5000
128,PPG000100000300,POWERADE 12oz PET LS (24ct),PPG000100000300,POWERADE,Still,Sports Drinks,POWERADE,1.0000,1.5000
129,PPG000100000313,smartwater 12oz Can 8pk (3ct),PPG000100000313,smartwater,Still,Enhanced Water,smartwater,1.0000,1.5000
130,PPG000100000315,Topo Chico Sabores 12oz Can 8pk (3ct),PPG000100000315,Sparkling Water,Still,Enhanced Water,Topo Chico,1.0000,1.5000
131,PPG000100000320,MONSTER Bang 16oz Can LS (12ct),PPG000100000320,MEC Energy,Still,Energy,MONSTER Energy,0.5000,1.0000
132,PPG000100000322,MONSTER Bang 16oz Can 4pk (6ct),PPG000100000322,MEC Energy,Still,Energy,MONSTER Energy,1.0000,2.0000
133,PPG000100000324,MONSTER NRG Juice 15.5oz Can 12pk (2ct),PPG000100000324,MEC Energy,Still,Energy,MONSTER Energy,1.0000,1.9375
134,PPG000100000326,Topo Chico Water 12oz Glass 12pk (1ct),PPG000100000326,Sparkling Water,Still,Enhanced Water,Topo Chico,0.5000,0.7500
135,PPG000100000327,Topo Chico Water 12oz Glass LS (24ct),PPG000100000327,Sparkling Water,Still,Enhanced Water,Topo Chico,1.0000,1.5000
136,PPG000100000328,Topo Chico Water 12oz Glass 4pk (6ct),PPG000100000328,Sparkling Water,Still,Enhanced Water,Topo Chico,1.0000,1.5000
137,PPG000100000329,DASANI 0.5Lt PET LS (40ct),PPG000100000329,DASANI,Still,Water,DASANI,1.6667,3.5223
138,PPG000100000330,smartwater 1L PET 15pk (1ct),PPG000100000330,smartwater,Still,Enhanced Water,smartwater,1.2500,2.6417
139,PPG000100000332,Topo Chico Water 25.4oz Glass LS (12ct),PPG000100000332,Sparkling Water,Still,Enhanced Water,Topo Chico,0.5000,1.5875
140,PPG000100000334,POWERADE 20oz PET 24pk (1ct),PPG000100000334,POWERADE,Still,Sports Drinks,POWERADE,1.0000,2.5000
141,PPG000100000337,MM Aguas Frescas 20oz PET LS (24ct),PPG000100000337,Juice,Still,Juice Drinks,Minute Maid,1.0000,2.5000
142,PPG000100000349,PEACE Tea 16oz Can LS (24ct),PPG000100000349,Tea,Still,RTD Tea,Remaining Still,1.0000,2.0000
143,PPG000100000351,SSD 12oz Can 12pk Flavors (2ct),PPG000100000351,SSD 12oz Cans,SSD,Sparkling,SSD 12oz Cans,1.0000,1.5000
144,PPG000100000354,SSD 1L PET 4pk (2ct),PPG000100000354,SSD Multi Pet,SSD,Sparkling,SSD MPET,0.6667,1.4089
145,PPG000100000358,Topo Chico Water 15.5oz PET LS (24ct),PPG000100000358,Sparkling Water,Still,Enhanced Water,Topo Chico,1.0000,1.9375
146,PPG000100000359,Topo Chico Water 15.5oz PET 6pk (4ct),PPG000100000359,Sparkling Water,Still,Enhanced Water,Topo Chico,1.0000,1.9375
147,PPG000100000360,Topo Chico Water 1L PET (12ct),PPG000100000360,Sparkling Water,Still,Enhanced Water,Topo Chico,1.0000,2.1134
148,PPG000100000361,BODYARMOR 28oz Sport LS (15ct),PPG000100000361,BODYARMOR Sport,Still,Sports Drinks,BODYARMOR,1.2500,2.1875
149,PPG000100000363,POWERADE 12oz PET 18pk Variety (1ct),PPG000100000363,POWERADE,Still,Sports Drinks,POWERADE,0.7500,1.1250
150,PPG000100000367,POWERADE Power Water 20oz PET LS (24ct),PPG000100000367,POWERADE Power Water,Still,Enhanced Water,POWERADE,1.0000,2.5000
