date_key,customer_key,product_key,territory_key,volume_raw,dn_rev,net_revenue,total_cogs,base_cogs,ip_cogs,ps_cogs,cma_on_invoice,cma_non_invoice,lmp_funding,authorized_revenue,purchase_transactions,consumption_transactions
743,805,17,3,10.00,395.70,395.70,337.70,337.70,0.00,337.70,0.00,0.00,0.00,395.70,240,240
911,990,132,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
967,569,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,1286,17,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
946,3031,135,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
729,2742,21,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,8290,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
785,2246,17,5,9.00,362.16,365.49,308.16,308.16,0.00,308.16,0.00,3.33,0.00,365.49,216,216
750,6378,11,5,1.00,16.30,17.95,16.50,10.83,5.54,10.96,0.00,1.65,0.00,48.00,12,12
771,2562,131,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,8383,60,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
771,891,9,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
883,2270,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,5804,20,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
757,2044,45,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,9150,19,1,1.00,34.75,34.75,25.47,25.47,0.00,25.47,0.00,0.00,0.00,37.85,12,12
820,7989,37,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
946,6758,135,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
911,3136,28,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,1389,49,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
939,3846,13,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1058,346,39,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,8302,79,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,5051,9,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1002,7575,28,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
743,2078,49,5,4.00,82.04,82.04,56.64,44.66,16.33,40.32,0.00,0.00,0.00,103.20,32,32
876,3476,145,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,6598,45,5,3.00,39.09,62.64,38.03,31.38,7.78,30.25,0.00,23.55,0.00,62.64,72,72
771,6746,9,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1065,2548,33,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,2047,58,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
862,4489,74,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,8667,83,1,22.00,338.58,341.66,311.30,311.30,0.00,311.30,0.00,3.08,0.00,341.66,66,528
967,8237,88,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
918,6803,11,5,3.00,55.53,56.04,54.01,32.49,18.87,35.13,0.00,0.51,0.00,60.27,36,36
729,5927,38,2,8.00,106.74,120.48,80.54,62.06,21.24,59.30,0.00,13.74,0.00,120.48,16,192
939,8884,26,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
918,8278,94,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
883,3199,124,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,9192,29,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
743,6302,55,5,1.00,14.16,15.90,10.30,6.22,2.82,7.48,0.00,1.74,0.00,15.90,4,24
876,586,64,4,0.00,-76.60,0.00,0.00,0.00,0.00,0.00,0.00,76.60,0.00,0.00,0,0
806,1498,46,1,9.00,282.04,323.55,155.26,95.21,52.94,102.32,0.00,41.51,0.00,864.00,216,216
848,8265,25,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,8530,46,1,4.00,118.68,118.68,67.41,39.51,22.28,45.14,0.00,0.00,0.00,216.00,96,96
1079,8393,59,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,1387,79,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,3899,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
862,5546,74,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
974,2207,124,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1072,2943,141,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
778,6857,72,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
771,2544,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
750,3244,35,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
764,7426,22,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
855,5800,51,5,1.00,40.49,40.49,28.89,15.26,8.06,20.83,1.47,0.00,0.00,47.48,1,24
939,1678,52,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
736,7870,20,3,3.00,75.42,75.60,62.61,62.61,0.00,62.61,0.00,0.18,0.00,75.60,36,36
750,1781,58,1,1.00,13.46,13.46,6.47,6.47,0.00,6.47,0.00,0.00,0.00,16.82,12,12
876,3690,50,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,6948,21,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,1211,88,2,71.00,1147.86,1331.25,1155.84,841.35,341.14,814.69,0.00,183.39,0.00,1331.25,1065,1065
1002,8780,88,1,2.00,46.64,52.40,42.18,23.70,14.25,27.93,0.00,5.76,0.00,52.40,30,30
820,8915,53,1,12.00,206.00,213.00,140.64,88.19,39.06,101.58,0.00,7.00,0.00,213.00,36,360
883,4807,85,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
974,8476,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
918,8248,88,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
799,5254,70,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,8804,97,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,717,13,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
911,5217,53,3,21.00,390.02,410.97,277.13,167.22,77.61,199.51,0.00,20.95,0.00,410.97,63,630
918,1037,60,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,4512,72,3,7.00,171.98,173.18,153.25,97.12,34.22,119.02,0.00,1.20,0.00,173.18,28,168
862,7134,11,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
855,5252,61,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
911,3372,13,3,3.00,106.80,106.80,98.70,73.74,36.30,62.40,0.00,0.00,0.00,216.00,72,72
1058,7903,46,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,8888,130,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1079,2692,75,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,7791,32,1,7.00,113.72,135.10,134.13,79.94,51.95,82.19,0.00,21.38,0.00,142.80,84,84
771,4852,17,3,26.00,1028.82,1028.82,878.02,878.02,0.00,878.02,0.00,0.00,0.00,1028.82,624,624
1065,8559,74,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
799,471,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1072,5782,27,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
799,2909,135,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1002,4803,16,3,1.83,73.29,73.36,63.11,63.11,0.00,63.11,0.00,0.07,0.00,73.36,10,43
1058,6152,74,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
890,5030,35,3,1.00,32.75,35.24,35.90,18.59,14.37,21.53,0.00,2.49,0.00,35.24,24,24
911,6424,61,5,2.00,45.98,45.98,29.58,29.58,0.00,29.58,1.00,0.00,0.00,54.54,24,24
967,9245,38,1,6.00,110.82,110.82,65.60,44.86,20.80,44.80,0.00,0.00,0.00,144.00,12,144
1030,6237,33,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,8656,134,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,7287,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
834,7395,40,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
806,9042,143,1,5.00,68.91,77.50,48.87,33.87,12.93,35.93,0.00,8.59,0.00,77.50,10,120
876,4879,46,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
855,6287,76,5,2.00,40.68,40.96,30.28,30.28,0.00,30.28,0.00,0.28,0.00,40.96,24,24
736,3536,84,2,8.00,150.24,150.24,128.56,128.56,0.00,128.56,0.00,0.00,0.00,152.80,96,96
855,3687,18,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
848,5891,32,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
855,3538,18,2,1.00,34.75,34.75,25.78,25.78,0.00,25.78,0.00,0.00,0.00,37.85,12,12
911,3755,36,4,43.00,682.12,821.30,498.30,403.10,136.56,361.74,0.00,139.18,0.00,821.30,172,1032
778,414,97,4,3.00,89.22,109.86,82.02,80.97,0.00,82.02,0.00,20.64,0.00,109.86,72,72
876,6489,75,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
799,664,73,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,8332,93,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
890,2046,117,4,1.00,30.88,30.88,20.07,19.78,0.00,20.07,0.00,0.00,0.00,72.00,1,12
883,27,20,4,1.00,26.28,26.28,21.12,20.87,0.00,21.12,0.00,0.00,0.00,26.28,12,12
750,2233,37,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1030,2098,74,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
946,3889,39,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
792,3910,11,5,2.00,38.96,40.96,37.33,21.66,13.24,24.08,0.00,2.00,0.00,40.96,24,24
785,1210,49,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
799,2232,20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1058,2871,124,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
729,254,10,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,2986,11,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
1065,2219,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
827,9250,79,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
876,370,72,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
883,7937,46,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
785,821,49,5,5.00,102.55,102.55,69.02,51.71,20.41,48.62,0.00,0.00,0.00,129.00,40,40
834,4429,38,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
736,2095,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
785,8125,16,1,1.00,37.44,37.44,33.77,33.77,0.00,33.77,0.00,0.00,0.00,37.44,6,24
939,4137,64,2,1.00,152.50,152.50,110.15,110.15,0.00,110.15,0.00,0.00,0.00,152.50,1,1
764,1027,88,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
