Invoice #,Item Number,Item Description,Qty,Total Cost,Total Price,Unit Cost,Unit Price,Customer Number,Address 1,City,Country,Customer Class,Document Date,Due Date,Item Class Code,Salesperson ID,State,Zip
INVS3015,5-CONTRACTS,3-A2440A,1,0,0,0,0,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
INVS3015,5-CONTRACTS,3-A3542A,1,0,0,0,0,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
INVS3015,5-CONTRACTS,4-A3539A,1,0,0,0,0,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
INVS3015,5-CONTRACTS,4-A3666A,1,0,0,0,0,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
INVS3015,5-CONTRACTS,4-E2094A,1,0,740,0,740,PLAZAONE0001,2345 42 St. W,Woodbury,USA,USA-MNWI-T4,9/5/2028 0:00,10/5/2028 0:00,,SANDRA M.,MN,55119
INVS3016,5-CONTRACTS,2-A3284A,1,0,2700,0,2700,COMPUTER0001,456 17 St S,Madison,USA,USA-MNWI-T4,9/30/2028 0:00,10/30/2028 0:00,,SANDRA M.,WI,53701-6652
INVS3016,5-CONTRACTS,3-A3542A,1,0,74.97,0,74.97,COMPUTER0001,456 17 St S,Madison,USA,USA-MNWI-T4,9/30/2028 0:00,10/30/2028 0:00,,SANDRA M.,WI,53701-6652
INVS3016,5-CONTRACTS,3-D2094A,1,0,74.97,0,74.97,COMPUTER0001,456 17 St S,Madison,USA,USA-MNWI-T4,9/30/2028 0:00,10/30/2028 0:00,,SANDRA M.,WI,53701-6652
INVS3016,5-CONTRACTS,4-A3539A,1,0,37.53,0,37.53,COMPUTER0001,456 17 St S,Madison,USA,USA-MNWI-T4,9/30/2028 0:00,10/30/2028 0:00,,SANDRA M.,WI,53701-6652
INVS3017,5-CONTRACTS,2-A3284A,1,0,375.03,0,375.03,CENTRALI0001,765 West 24th Street,Peoria,USA,USA-ILMO-T1,9/30/2028 0:00,10/30/2028 0:00,,PAUL W.,IL,61601-4542
INVS3017,5-CONTRACTS,3-A3542A,1,0,375.03,0,375.03,CENTRALI0001,765 West 24th Street,Peoria,USA,USA-ILMO-T1,9/30/2028 0:00,10/30/2028 0:00,,PAUL W.,IL,61601-4542
INVS3017,5-CONTRACTS,4-A3351A,1,0,375.03,0,375.03,CENTRALI0001,765 West 24th Street,Peoria,USA,USA-ILMO-T1,9/30/2028 0:00,10/30/2028 0:00,,PAUL W.,IL,61601-4542
INVS3017,5-CONTRACTS,4-A3539A,1,0,375.03,0,375.03,CENTRALI0001,765 West 24th Street,Peoria,USA,USA-ILMO-T1,9/30/2028 0:00,10/30/2028 0:00,,PAUL W.,IL,61601-4542
INVS3017,5-CONTRACTS,4-E2094A,1,0,375.03,0,375.03,CENTRALI0001,765 West 24th Street,Peoria,USA,USA-ILMO-T1,9/30/2028 0:00,10/30/2028 0:00,,PAUL W.,IL,61601-4542
INVS3018,5-CONTRACTS,"2-A3284A, 00047250",1,0,3900,0,3900,NORTHERN0002,987 Royal Park Centre,St. John's,Canada,CAN-PQMT-T5,10/1/2027 0:00,10/31/2027 0:00,,FRANCINE B.,NF,A1C 1K4
INVS3018,5-CONTRACTS,"4-A3351A, 97-K04V9",1,0,0,0,0,NORTHERN0002,987 Royal Park Centre,St. John's,Canada,CAN-PQMT-T5,10/1/2027 0:00,10/31/2027 0:00,,FRANCINE B.,NF,A1C 1K4
INVS3018,5-CONTRACTS,"4-E2094A, DIDX2668-587",1,0,360,0,360,NORTHERN0002,987 Royal Park Centre,St. John's,Canada,CAN-PQMT-T5,10/1/2027 0:00,10/31/2027 0:00,,FRANCINE B.,NF,A1C 1K4
INVS3019,5-CONTRACTS,3-A2440A,1,0,3600,0,3600,AMERICAN0001,789 North Carlton Place,St. Louis,USA,USA-ILMO-T1,10/10/2027 0:00,11/9/2027 0:00,,PAUL W.,MO,63115
INVS3020,5-CONTRACTS,3-A3542A,1,0,520,0,520,WORLDENT0001,987 Office Plaza Drive,Detroit,USA,USA-INMI-T2,4/10/2028 0:00,5/10/2028 0:00,,GREG E.,MI,48233-4832
INVS3020,5-CONTRACTS,4-A3539A,1,0,520,0,520,WORLDENT0001,987 Office Plaza Drive,Detroit,USA,USA-INMI-T2,4/10/2028 0:00,5/10/2028 0:00,,GREG E.,MI,48233-4832
INVS3020,5-CONTRACTS,3-D2094A,4,0,2080,0,520,WORLDENT0001,987 Office Plaza Drive,Detroit,USA,USA-INMI-T2,4/10/2028 0:00,5/10/2028 0:00,,GREG E.,MI,48233-4832
INVS3021,5-CONTRACTS,3-A2440A,1,0,2483.64,0,2483.64,VANCOUVE0001,432 12 Ave. North,Vancouver,Canada,CAN-ABBCYKNWTT7,10/1/2027 0:00,10/31/2027 0:00,,ERIN J.,BC,V6E 3J7
INVS3022,5-CONTRACTS,"2-A3284A, 350302380",1,0,3400,0,3400,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,"4-E2094A, 902379DW77",1,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,1-A3261A,1,0,400,0,400,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,1-A3483A,2,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,"4-A3351A, 78-RGZ17",1,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,3-A3416A,1,0,150,0,150,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,3-J2094A,1,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,3-C2786A,1,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,"4-E5930A, US-60750178",1,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,"4-A3666A, 822952-0003",1,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3022,5-CONTRACTS,"4-A3666A, 822952-0023",1,0,0,0,0,CELLULAR0001,5678 Horseshoe Way,Aurora,USA,USA-ILMO-T1,8/5/2028 0:00,9/4/2028 0:00,,PAUL W.,IL,60507-3322
INVS3023,5-CONTRACTS,3-A2440A,1,0,2759.6,0,2759.6,ROSELLEN0001,8765 Barclay St.,Regina,Canada,CAN-ONMBSK-T6,10/10/2027 0:00,10/10/2027 0:00,,GARY W.,SK,S7K 5C7
INVS3024,5-CONTRACTS,3-A3542A,2,0,500,0,250,DIRECTMA0001,8765 9 St. W.,St. Paul,USA,USA-MNWI-T4,9/1/2028 0:00,10/1/2028 0:00,,SANDRA M.,MN,55101-8011
INVS3024,5-CONTRACTS,3-D2094A,3,0,500,0,166.67,DIRECTMA0001,8765 9 St. W.,St. Paul,USA,USA-MNWI-T4,9/1/2028 0:00,10/1/2028 0:00,,SANDRA M.,MN,55101-8011
INVS3024,5-CONTRACTS,3-A2969A,1,0,500,0,500,DIRECTMA0001,8765 9 St. W.,St. Paul,USA,USA-MNWI-T4,9/1/2028 0:00,10/1/2028 0:00,,SANDRA M.,MN,55101-8011
INVS3025,5-CONTRACTS,"2-A3284A, A0409175",1,0,4000,0,4000,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,"4-E2094A, 952AW335E7",1,0,370,0,370,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,1-A3261A,1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,1-A3483A,2,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,"4-A3351A, 78-NL377",1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,3-A3416A,1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,3-J2094A,1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,3-C2786A,1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,"4-E5930A, US-61852223",1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,"4-A3666A, 822952-0004",1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3025,5-CONTRACTS,"4-A3666A, 822952-0024",1,0,0,0,0,CENTRALD0001,Suite 13,La Crosse,USA,USA-MNWI-T4,10/10/2027 0:00,11/9/2027 0:00,,SANDRA M.,WI,54601-9975
INVS3026,5-CONTRACTS,3-A2440A,1,0,2483.64,0,2483.64,NOVASCOT0001,543 Abbot Ave.,Halifax,Canada,CAN-PQMT-T5,10/1/2027 0:00,10/31/2027 0:00,,FRANCINE B.,NS,B5P 7D7
INVS3027,5-CONTRACTS,"2-A3284A, 22072103",1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,"4-E2094A, 71000U94713",1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,"4-A3351A, LM-1764",1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,"4-E5930A, US-927328001",1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,"4-A3666A, 2435-55089-2",1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,"4-A3666A, 55089-224357",1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,1-A3261A,1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,1-A3483A,2,0,1000,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,3-A3416A,1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,3-J2094A,1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3027,5-CONTRACTS,3-C2786A,1,0,500,0,500,RAINBOWR0001,3456 N. Jupiter St,St Louis,USA,USA-ILMO-T1,10/1/2027 0:00,10/31/2027 0:00,,PAUL W.,MO,63156-3427
INVS3028,5-CONTRACTS,"2-A3284A, E130893",1,0,7600,0,7600,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,"4-E2094A, 56EK314317W01",1,0,700,0,700,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,1-A3261A,1,0,740,0,740,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,1-A3483A,2,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,3-A3416A,1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,3-J2094A,1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,3-C2786A,1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,"4-A3351A, 23-CB373",1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,"4-E5930A, SG-91189624",1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,"4-A3666A, 244CE7789",1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,"4-A3666A, 822952-0789",1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3028,5-CONTRACTS,3-A3542A,1,0,0,0,0,HOMEFURN0001,234 Heritage Ave.,Midland,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,MI,48640-9392
INVS3029,5-CONTRACTS,3-A2440A,1,0,4139.4,0,4139.4,RIVERSID0001,5678 Herman St.,Vancouver,Canada,CAN-ABBCYKNWTT7,8/1/2028 0:00,8/31/2028 0:00,,ERIN J.,BC,V6E 3J7
INVS3030,5-CONTRACTS,3-A2440A,1,0,6209.1,0,6209.1,COMPUTER0002,9876 Bernard St.,Edmonton,Canada,CAN-ONMBSK-T6,11/1/2027 0:00,12/1/2027 0:00,,GARY W.,AB,T5J 2G5
INVS3031,5-CONTRACTS,3-A3542A,2,0,250,0,125,ALTONMAN0001,P.O. Box 3343,Detroit,USA,USA-INMI-T2,4/1/2028 0:00,5/1/2028 0:00,,GREG E.,MI,48233-3343
INVS3031,5-CONTRACTS,3-D2094A,3,0,250,0,83.33,ALTONMAN0001,P.O. Box 3343,Detroit,USA,USA-INMI-T2,4/1/2028 0:00,5/1/2028 0:00,,GREG E.,MI,48233-3343
INVS3031,5-CONTRACTS,3-A2969A,1,0,250,0,250,ALTONMAN0001,P.O. Box 3343,Detroit,USA,USA-INMI-T2,4/1/2028 0:00,5/1/2028 0:00,,GREG E.,MI,48233-3343
INVS3032,5-CONTRACTS,3-A3542A,2,0,500,0,250,NORTHCOL0001,Business Office,Fort Wayne,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,IN,46802-3313
INVS3032,5-CONTRACTS,3-D2094A,3,0,500,0,166.67,NORTHCOL0001,Business Office,Fort Wayne,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,IN,46802-3313
INVS3032,5-CONTRACTS,3-A2969A,1,0,500,0,500,NORTHCOL0001,Business Office,Fort Wayne,USA,USA-INMI-T2,11/1/2027 0:00,12/1/2027 0:00,,GREG E.,IN,46802-3313
INVS3033,5-CONTRACTS,"2-A3284A, 866023",1,0,8000,0,8000,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,"4-E2094A, 72WX6741600E",1,0,740,0,740,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,1-A3261A,1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,1-A3483A,2,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,"4-A3351A, 23-FDW09",1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,3-A3416A,1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,3-J2094A,1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,3-C2786A,1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,"4-E5930A, US-61852201",1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,"4-A3666A, 266DX5967",1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3033,5-CONTRACTS,"4-A3666A, 596722-0210",1,0,0,0,0,COUNTRYV0001,123 Albert Ave,Palmerston North,New Zealand,NEWZEALAND-T8,12/1/2027 0:00,12/31/2027 0:00,,IAN M.,,
INVS3034,5-CONTRACTS,"2-A3284A, 586018",1,0,8000,0,8000,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,"4-E2094A, 185FT220931",1,0,740,0,740,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,1-A3261A,1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,1-A3483A,2,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,"4-A3351A, 78-NBD11",1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,3-A3416A,1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,3-J2094A,1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,3-C2786A,1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,"4-E5930A, US-61852271",1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,"4-A3666A, 572QK4610",1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3034,5-CONTRACTS,"4-A3666A, 822952-0251",1,0,0,0,0,COMPUTEC0001,23456 Meridan St. N.E.,Green Bay,USA,USA-MNWI-T4,12/1/2027 0:00,12/31/2027 0:00,,SANDRA M.,WI,54305-5303
INVS3035,5-CONTRACTS,3-A2440A,1,0,827.88,0,827.88,BREAKTHR0001,3456 Arbutus St.,Montreal,Canada,CAN-PQMT-T5,12/1/2027 0:00,12/31/2027 0:00,,FRANCINE B.,PQ,H3R 3T2
INVS3036,5-CONTRACTS,3-A3542A,2,0,165.58,0,82.79,COMMUNIC0002,765 Curtis,Vancouver,Canada,CAN-ABBCYKNWTT7,5/1/2028 0:00,5/31/2028 0:00,,GARY W.,BC,V6C 3J9
INVS3036,5-CONTRACTS,3-D2094A,2,0,165.58,0,82.79,COMMUNIC0002,765 Curtis,Vancouver,Canada,CAN-ABBCYKNWTT7,5/1/2028 0:00,5/31/2028 0:00,,GARY W.,BC,V6C 3J9
INVS3036,5-CONTRACTS,3-A2969A,1,0,165.58,0,165.58,COMMUNIC0002,765 Curtis,Vancouver,Canada,CAN-ABBCYKNWTT7,5/1/2028 0:00,5/31/2028 0:00,,GARY W.,BC,V6C 3J9
INVS3037,5-CONTRACTS,3-A3542A,2,0,827.88,0,413.94,VISTATRA0001,5678 Broadway,Saskatoon,Canada,CAN-ONMBSK-T6,12/1/2027 0:00,12/1/2027 0:00,,GARY W.,SK,S5S 6W9
INVS3037,5-CONTRACTS,3-D2094A,4,0,827.88,0,206.97,VISTATRA0001,5678 Broadway,Saskatoon,Canada,CAN-ONMBSK-T6,12/1/2027 0:00,12/1/2027 0:00,,GARY W.,SK,S5S 6W9
INVS3037,5-CONTRACTS,3-A2969A,1,0,579.52,0,579.52,VISTATRA0001,5678 Broadway,Saskatoon,Canada,CAN-ONMBSK-T6,12/1/2027 0:00,12/1/2027 0:00,,GARY W.,SK,S5S 6W9
