GradeFactKey,EnrollmentKey,StudentKey,CourseKey,ProfessorKey,OfferingKey,GradeDateKey,AcademicYear,Quarter,QuarterNumber,AttemptedCredits,EarnedCredits,LetterGrade,GradePoints,GradeStatus,PassFlag
25,25,382,19,11,2,20230326,2023,Winter,1,5,0,W,,Withdrawn,No
26,26,223,19,11,2,20230326,2023,Winter,1,5,5,A-,3.7,Completed,Yes
27,27,430,19,11,2,20230326,2023,Winter,1,5,5,C,2.0,Completed,Yes
28,28,114,19,11,2,20230326,2023,Winter,1,5,5,C+,2.3,Completed,Yes
29,29,228,19,11,2,20230326,2023,Winter,1,5,5,C,2.0,Completed,Yes
30,30,305,19,11,2,20230326,2023,Winter,1,5,5,A,4.0,Completed,Yes
31,31,438,19,11,2,20230326,2023,Winter,1,5,5,A,4.0,Completed,Yes
32,32,308,19,11,2,20230326,2023,Winter,1,5,5,B-,2.7,Completed,Yes
33,33,265,19,11,2,20230326,2023,Winter,1,5,0,W,,Withdrawn,No
34,34,97,19,11,2,20230326,2023,Winter,1,5,5,C+,2.3,Completed,Yes
35,35,205,19,11,2,20230326,2023,Winter,1,5,5,A-,3.7,Completed,Yes
36,36,453,19,11,2,20230326,2023,Winter,1,5,5,C,2.0,Completed,Yes
37,37,447,19,11,2,20230326,2023,Winter,1,5,5,A,4.0,Completed,Yes
38,38,451,19,11,2,20230326,2023,Winter,1,5,5,B-,2.7,Completed,Yes
39,39,150,19,11,2,20230326,2023,Winter,1,5,5,B,3.0,Completed,Yes
40,40,186,19,11,2,20230326,2023,Winter,1,5,5,A,4.0,Completed,Yes
41,41,318,19,11,2,20230326,2023,Winter,1,5,5,A-,3.7,Completed,Yes
42,42,200,19,11,2,20230326,2023,Winter,1,5,5,A-,3.7,Completed,Yes
43,43,391,19,11,2,20230326,2023,Winter,1,5,5,B-,2.7,Completed,Yes
44,44,487,19,11,2,20230326,2023,Winter,1,5,0,IP,,In Progress,Pending
45,45,418,19,11,2,20230326,2023,Winter,1,5,0,IP,,In Progress,Pending
46,46,349,21,9,3,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
47,47,438,21,9,3,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
48,48,116,21,9,3,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
49,49,380,21,9,3,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
50,50,389,21,9,3,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
51,51,121,21,9,3,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
52,52,443,21,9,3,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
53,53,194,21,9,3,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
54,54,228,21,9,3,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
55,55,201,21,9,3,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
56,56,276,21,9,3,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
57,57,288,21,9,3,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
58,58,9,21,9,3,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
59,59,451,21,9,3,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
60,60,153,21,9,3,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
61,61,129,21,9,3,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
62,62,168,21,9,3,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
63,63,55,21,9,3,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
64,64,103,21,18,4,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
65,65,318,21,18,4,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
66,66,72,21,18,4,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
67,67,494,21,18,4,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
68,68,382,21,18,4,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
69,69,121,21,18,4,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
70,70,449,21,18,4,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
71,71,59,21,18,4,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
72,72,403,21,18,4,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
73,73,162,21,18,4,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
74,74,443,21,18,4,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
75,75,124,21,18,4,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
76,76,308,21,18,4,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
77,77,241,21,18,4,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
78,78,212,21,18,4,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
79,79,110,21,18,4,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
80,80,78,21,18,4,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
81,81,418,21,18,4,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
82,82,79,21,18,4,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
83,83,264,21,18,4,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
84,84,9,21,18,4,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
85,85,97,21,18,4,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
86,86,277,29,14,5,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
87,87,453,29,14,5,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
88,88,87,29,14,5,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
89,89,23,29,14,5,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
90,90,28,29,14,5,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
91,91,377,29,14,5,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
92,92,201,29,14,5,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
93,93,477,29,14,5,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
94,94,196,29,14,5,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
95,95,264,29,14,5,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
96,96,258,29,14,5,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
97,97,482,29,14,5,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
98,98,293,29,14,5,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
99,99,162,29,14,5,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
100,100,305,29,14,5,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
101,101,242,29,14,5,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
102,102,168,27,4,6,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
103,103,162,27,4,6,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
104,104,72,27,4,6,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
105,105,396,27,4,6,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
106,106,242,27,4,6,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
107,107,405,27,4,6,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
108,108,9,27,4,6,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
109,109,121,27,4,6,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
110,110,55,27,4,6,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
111,111,79,27,4,6,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
112,112,273,27,4,6,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
113,113,115,27,4,6,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
114,114,199,27,4,6,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
115,115,236,27,4,6,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
116,116,186,27,4,6,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
117,117,199,3,15,7,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
118,118,434,3,15,7,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
119,119,346,3,15,7,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
120,120,43,3,15,7,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
121,121,487,3,15,7,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
122,122,201,3,15,7,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
123,123,351,3,15,7,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
124,124,79,3,15,7,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
125,125,389,3,15,7,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
126,126,288,3,15,7,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
127,127,439,3,15,7,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
128,128,61,3,15,7,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
129,129,72,3,15,7,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
130,130,266,3,15,7,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
131,131,121,3,15,7,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
132,132,194,3,15,7,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
133,133,308,3,15,7,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
134,134,477,3,15,7,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
135,135,430,3,15,7,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
136,136,200,3,15,7,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
137,137,242,3,15,7,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
138,138,405,3,15,7,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
139,139,104,3,15,7,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
140,140,13,3,15,7,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
141,141,384,3,15,7,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
142,142,212,3,15,7,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
143,143,482,3,15,7,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
144,144,76,3,15,7,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
145,145,150,3,15,7,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
146,146,31,3,15,7,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
147,147,76,17,1,8,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
148,148,487,17,1,8,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
149,149,182,17,1,8,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
150,150,5,17,1,8,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
151,151,116,17,1,8,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
152,152,115,17,1,8,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
153,153,468,17,1,8,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
154,154,194,17,1,8,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
155,155,13,17,1,8,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
156,156,435,17,1,8,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
157,157,450,17,1,8,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
158,158,384,17,1,8,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
159,159,166,17,1,8,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
160,160,305,17,1,8,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
161,161,275,17,1,8,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
162,162,308,17,1,8,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
163,163,318,17,1,8,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
164,164,79,17,1,8,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
165,165,55,17,4,9,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
166,166,63,17,4,9,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
167,167,378,17,4,9,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
168,168,228,17,4,9,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
169,169,238,17,4,9,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
170,170,202,17,4,9,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
171,171,200,17,4,9,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
172,172,104,17,4,9,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
173,173,196,17,4,9,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
174,174,477,17,4,9,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
175,175,334,17,4,9,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
176,176,356,17,4,9,20230326,2023,Winter,1,3,3,B,3.0,Completed,Yes
177,177,23,17,4,9,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
178,178,435,17,4,9,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
179,179,186,17,4,9,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
180,180,87,17,4,9,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
181,181,453,17,4,9,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
182,182,339,17,4,9,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
183,183,242,17,4,9,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
184,184,342,17,4,9,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
185,185,78,17,4,9,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
186,186,447,17,4,9,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
187,187,238,9,22,10,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
188,188,186,9,22,10,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
189,189,496,9,22,10,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
190,190,337,9,22,10,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
191,191,197,9,22,10,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
192,192,250,9,22,10,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
193,193,293,9,22,10,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
194,194,72,9,22,10,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
195,195,114,9,22,10,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
196,196,356,9,22,10,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
197,197,76,9,22,10,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
198,198,324,9,22,10,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
199,199,382,9,22,10,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
200,200,443,9,22,10,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
201,201,110,9,22,10,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
202,202,477,9,22,10,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
203,203,403,9,18,11,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
204,204,194,9,18,11,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
205,205,223,9,18,11,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
206,206,339,9,18,11,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
207,207,428,9,18,11,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
208,208,318,9,18,11,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
209,209,334,9,18,11,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
210,210,288,9,18,11,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
211,211,277,9,18,11,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
212,212,351,9,18,11,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
213,213,391,9,18,11,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
214,214,438,9,18,11,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
215,215,28,9,18,11,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
216,216,276,9,18,11,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
217,217,61,9,18,11,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
218,218,250,9,18,11,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
219,219,251,9,18,11,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
220,220,31,9,18,11,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
221,221,129,9,18,11,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
222,222,447,9,18,11,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
223,223,468,9,18,11,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
224,224,489,9,18,11,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
225,225,418,9,18,11,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
226,226,436,9,18,11,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
227,227,380,13,9,12,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
228,228,168,13,9,12,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
229,229,339,13,9,12,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
230,230,377,13,9,12,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
231,231,384,13,9,12,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
232,232,389,13,9,12,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
233,233,334,13,9,12,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
234,234,318,13,9,12,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
235,235,438,13,9,12,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
236,236,308,13,9,12,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
237,237,97,13,9,12,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
238,238,251,13,9,12,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
239,239,428,13,9,12,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
240,240,324,13,9,12,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
241,241,202,13,9,12,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
242,242,28,13,9,12,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
243,243,55,13,9,12,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
244,244,489,8,15,13,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
245,245,477,8,15,13,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
246,246,288,8,15,13,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
247,247,197,8,15,13,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
248,248,258,8,15,13,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
249,249,438,8,15,13,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
250,250,449,8,15,13,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
251,251,228,8,15,13,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
252,252,428,8,15,13,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
253,253,43,8,15,13,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
254,254,451,8,15,13,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
255,255,276,8,15,13,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
256,256,182,8,15,13,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
257,257,317,8,15,13,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
258,258,403,8,15,13,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
259,259,380,8,15,13,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
260,260,194,8,15,13,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
261,261,308,8,15,13,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
262,262,496,8,15,13,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
263,263,13,8,15,13,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
264,264,114,8,15,13,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
265,265,318,8,15,13,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
266,266,382,8,15,13,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
267,267,487,8,15,13,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
268,268,201,8,15,13,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
269,269,46,8,15,13,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
270,270,391,8,15,14,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
271,271,435,8,15,14,20230326,2023,Winter,1,4,4,B+,3.3,Completed,Yes
272,272,258,8,15,14,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
273,273,264,8,15,14,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
274,274,121,8,15,14,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
275,275,116,8,15,14,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
276,276,78,8,15,14,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
277,277,339,8,15,14,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
278,278,153,8,15,14,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
279,279,202,8,15,14,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
280,280,223,8,15,14,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
281,281,103,8,15,14,20230326,2023,Winter,1,4,4,C,2.0,Completed,Yes
282,282,389,8,15,14,20230326,2023,Winter,1,4,4,A-,3.7,Completed,Yes
283,283,378,8,15,14,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
284,284,197,8,15,14,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
285,285,438,8,15,14,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
286,286,196,8,15,14,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
287,287,251,8,15,14,20230326,2023,Winter,1,4,4,C+,2.3,Completed,Yes
288,288,266,8,15,14,20230326,2023,Winter,1,4,0,W,,Withdrawn,No
289,289,23,8,15,14,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
290,290,46,8,15,14,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
291,291,487,8,15,14,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
292,292,227,26,14,15,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
293,293,212,26,14,15,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
294,294,241,26,14,15,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
295,295,293,26,14,15,20230326,2023,Winter,1,3,3,C,2.0,Completed,Yes
296,296,115,26,14,15,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
297,297,377,26,14,15,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
298,298,97,26,14,15,20230326,2023,Winter,1,3,3,C+,2.3,Completed,Yes
299,299,264,26,14,15,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
300,300,76,26,14,15,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
301,301,104,26,14,15,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
302,302,308,26,14,15,20230326,2023,Winter,1,3,3,A-,3.7,Completed,Yes
303,303,221,26,14,15,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
304,304,202,26,14,15,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
305,305,236,26,14,15,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
306,306,79,26,14,15,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
307,307,168,26,14,15,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
308,308,378,26,14,15,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
309,309,72,26,14,15,20230326,2023,Winter,1,3,3,A,4.0,Completed,Yes
310,310,463,26,14,15,20230326,2023,Winter,1,3,0,W,,Withdrawn,No
311,311,9,26,14,15,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
312,312,48,26,14,15,20230326,2023,Winter,1,3,3,B-,2.7,Completed,Yes
313,313,351,26,14,15,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
314,314,13,26,14,15,20230326,2023,Winter,1,3,3,B+,3.3,Completed,Yes
315,315,78,26,14,15,20230326,2023,Winter,1,3,0,IP,,In Progress,Pending
316,316,450,32,22,16,20230326,2023,Winter,1,4,4,A,4.0,Completed,Yes
317,317,79,32,22,16,20230326,2023,Winter,1,4,4,B-,2.7,Completed,Yes
318,318,453,32,22,16,20230326,2023,Winter,1,4,4,B,3.0,Completed,Yes
319,319,273,32,22,16,20230326,2023,Winter,1,4,0,IP,,In Progress,Pending
