SOP Type,SOP Number,Item Number,Item Description,QTY,Unit Cost,Unit Price,Customer Number,Customer Class,Document Status,Item Class Code,Posting Status,Salesperson ID,Void Status
Invoice,INVS3016,5-CONTRACTS,2-A3284A,1,0,2700,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3016,5-CONTRACTS,3-A3542A,1,0,74.97,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3016,5-CONTRACTS,3-D2094A,1,0,74.97,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3016,5-CONTRACTS,4-A3539A,1,0,37.53,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3017,5-CONTRACTS,2-A3284A,1,0,375.03,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3017,5-CONTRACTS,3-A3542A,1,0,375.03,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3017,5-CONTRACTS,4-A3351A,1,0,375.03,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3017,5-CONTRACTS,4-A3539A,1,0,375.03,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3017,5-CONTRACTS,4-E2094A,1,0,375.03,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3018,5-CONTRACTS,"2-A3284A, 00047250",1,0,3900,NORTHERN0002,CAN-PQMT-T5,Unposted,,Unposted,FRANCINE B.,Normal
Invoice,INVS3018,5-CONTRACTS,"4-A3351A, 97-K04V9",1,0,0,NORTHERN0002,CAN-PQMT-T5,Unposted,,Unposted,FRANCINE B.,Normal
Invoice,INVS3018,5-CONTRACTS,"4-E2094A, DIDX2668-587",1,0,360,NORTHERN0002,CAN-PQMT-T5,Unposted,,Unposted,FRANCINE B.,Normal
Invoice,INVS3019,5-CONTRACTS,3-A2440A,1,0,3600,AMERICAN0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3020,5-CONTRACTS,3-A3542A,1,0,520,WORLDENT0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3020,5-CONTRACTS,4-A3539A,1,0,520,WORLDENT0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3020,5-CONTRACTS,3-D2094A,4,0,520,WORLDENT0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3021,5-CONTRACTS,3-A2440A,1,0,2483.64,VANCOUVE0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3022,5-CONTRACTS,"2-A3284A, 350302380",1,0,3400,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,"4-E2094A, 902379DW77",1,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,1-A3261A,1,0,400,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,1-A3483A,2,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,"4-A3351A, 78-RGZ17",1,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,3-A3416A,1,0,150,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,3-J2094A,1,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,3-C2786A,1,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,"4-E5930A, US-60750178",1,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,"4-A3666A, 822952-0003",1,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3022,5-CONTRACTS,"4-A3666A, 822952-0023",1,0,0,CELLULAR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3023,5-CONTRACTS,3-A2440A,1,0,2759.6,ROSELLEN0001,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3024,5-CONTRACTS,3-A3542A,2,0,250,DIRECTMA0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3024,5-CONTRACTS,3-D2094A,3,0,166.67,DIRECTMA0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3024,5-CONTRACTS,3-A2969A,1,0,500,DIRECTMA0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,"2-A3284A, A0409175",1,0,4000,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,"4-E2094A, 952AW335E7",1,0,370,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,1-A3261A,1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,1-A3483A,2,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,"4-A3351A, 78-NL377",1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,3-A3416A,1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,3-J2094A,1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,3-C2786A,1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,"4-E5930A, US-61852223",1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,"4-A3666A, 822952-0004",1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3025,5-CONTRACTS,"4-A3666A, 822952-0024",1,0,0,CENTRALD0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3026,5-CONTRACTS,3-A2440A,1,0,2483.64,NOVASCOT0001,CAN-PQMT-T5,Unposted,,Unposted,FRANCINE B.,Normal
Invoice,INVS3027,5-CONTRACTS,"2-A3284A, 22072103",1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,"4-E2094A, 71000U94713",1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,"4-A3351A, LM-1764",1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,"4-E5930A, US-927328001",1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,"4-A3666A, 2435-55089-2",1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,"4-A3666A, 55089-224357",1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,1-A3261A,1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,1-A3483A,2,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,3-A3416A,1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,3-J2094A,1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3027,5-CONTRACTS,3-C2786A,1,0,500,RAINBOWR0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3028,5-CONTRACTS,"2-A3284A, E130893",1,0,7600,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,"4-E2094A, 56EK314317W01",1,0,700,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,1-A3261A,1,0,740,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,1-A3483A,2,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,3-A3416A,1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,3-J2094A,1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,3-C2786A,1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,"4-A3351A, 23-CB373",1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,"4-E5930A, SG-91189624",1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,"4-A3666A, 244CE7789",1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,"4-A3666A, 822952-0789",1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3028,5-CONTRACTS,3-A3542A,1,0,0,HOMEFURN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3029,5-CONTRACTS,3-A2440A,1,0,4139.4,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3030,5-CONTRACTS,3-A2440A,1,0,6209.1,COMPUTER0002,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3031,5-CONTRACTS,3-A3542A,2,0,125,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3031,5-CONTRACTS,3-D2094A,3,0,83.33,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3031,5-CONTRACTS,3-A2969A,1,0,250,ALTONMAN0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3032,5-CONTRACTS,3-A3542A,2,0,250,NORTHCOL0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3032,5-CONTRACTS,3-D2094A,3,0,166.67,NORTHCOL0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3032,5-CONTRACTS,3-A2969A,1,0,500,NORTHCOL0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3033,5-CONTRACTS,"2-A3284A, 866023",1,0,8000,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,"4-E2094A, 72WX6741600E",1,0,740,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,1-A3261A,1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,1-A3483A,2,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,"4-A3351A, 23-FDW09",1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,3-A3416A,1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,3-J2094A,1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,3-C2786A,1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,"4-E5930A, US-61852201",1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,"4-A3666A, 266DX5967",1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3033,5-CONTRACTS,"4-A3666A, 596722-0210",1,0,0,COUNTRYV0001,NEWZEALAND-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3034,5-CONTRACTS,"2-A3284A, 586018",1,0,8000,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,"4-E2094A, 185FT220931",1,0,740,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,1-A3261A,1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,1-A3483A,2,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,"4-A3351A, 78-NBD11",1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,3-A3416A,1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,3-J2094A,1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,3-C2786A,1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,"4-E5930A, US-61852271",1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,"4-A3666A, 572QK4610",1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3034,5-CONTRACTS,"4-A3666A, 822952-0251",1,0,0,COMPUTEC0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3035,5-CONTRACTS,3-A2440A,1,0,827.88,BREAKTHR0001,CAN-PQMT-T5,Unposted,,Unposted,FRANCINE B.,Normal
Invoice,INVS3036,5-CONTRACTS,3-A3542A,2,0,82.79,COMMUNIC0002,CAN-ABBCYKNWTT7,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3036,5-CONTRACTS,3-D2094A,2,0,82.79,COMMUNIC0002,CAN-ABBCYKNWTT7,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3036,5-CONTRACTS,3-A2969A,1,0,165.58,COMMUNIC0002,CAN-ABBCYKNWTT7,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3037,5-CONTRACTS,3-A3542A,2,0,413.94,VISTATRA0001,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3037,5-CONTRACTS,3-D2094A,4,0,206.97,VISTATRA0001,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3037,5-CONTRACTS,3-A2969A,1,0,579.52,VISTATRA0001,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3038,5-CONTRACTS,3-A2440A,1,0,662.3,PLACEONE0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3039,5-CONTRACTS,3-A3542A,2,0,525,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3039,5-CONTRACTS,3-D2094A,2,0,525,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3039,5-CONTRACTS,3-A2969A,1,0,73.5,BERRYMED0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3040,5-CONTRACTS,3-A3542A,2,0,1200,MIDCITYH0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3040,5-CONTRACTS,3-D2094A,1,0,1200,MIDCITYH0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3040,5-CONTRACTS,3-A2969A,1,0,960,MIDCITYH0001,USA-INMI-T2,Unposted,,Unposted,GREG E.,Normal
Invoice,INVS3041,5-CONTRACTS,3-A2440A,1,0,960,JOHNSONK0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3042,5-CONTRACTS,3-A3542A,2,0,600,CRAWFORD0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3042,5-CONTRACTS,3-D2094A,4,0,300,CRAWFORD0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3042,5-CONTRACTS,3-A2969A,2,0,600,CRAWFORD0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
Invoice,INVS3043,5-CONTRACTS,3-A3542A,2,0,1200,LASERMES0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3043,5-CONTRACTS,3-D2094A,4,0,600,LASERMES0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3043,5-CONTRACTS,3-A2969A,1,0,2400,LASERMES0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3044,5-CONTRACTS,3-A3542A,2,0,827.88,ADVANCED0002,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3044,5-CONTRACTS,3-D2094A,4,0,413.94,ADVANCED0002,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3044,5-CONTRACTS,3-A2969A,3,0,551.92,ADVANCED0002,CAN-ONMBSK-T6,Unposted,,Unposted,GARY W.,Normal
Invoice,INVS3045,5-CONTRACTS,3-A3542A,2,0,1200,STMARYHO0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3045,5-CONTRACTS,3-D2094A,4,0,600,STMARYHO0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3045,5-CONTRACTS,3-A2969A,3,0,800,STMARYHO0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3046,5-CONTRACTS,3-A3542A,2,0,879.12,STPATRIC0001,AUSTRALIA-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3046,5-CONTRACTS,3-D2094A,4,0,439.56,STPATRIC0001,AUSTRALIA-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3046,5-CONTRACTS,3-A2969A,6,0,293.04,STPATRIC0001,AUSTRALIA-T8,Unposted,,Unposted,IAN M.,Normal
Invoice,INVS3047,5-CONTRACTS,2-A3284A,1,0,333.33,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3047,5-CONTRACTS,4-A3351A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3047,5-CONTRACTS,4-E5930A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3047,5-CONTRACTS,4-A3666A,1,0,0,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3047,5-CONTRACTS,4-E2094A,1,0,30.83,RIVERSID0001,CAN-ABBCYKNWTT7,Unposted,,Unposted,ERIN J.,Normal
Invoice,INVS3048,5-CONTRACTS,2-A3284A,1,0,300,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3048,5-CONTRACTS,3-A3542A,1,0,8.33,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3048,5-CONTRACTS,3-D2094A,1,0,8.33,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3048,5-CONTRACTS,4-A3539A,1,0,4.17,COMPUTER0001,USA-MNWI-T4,Unposted,,Unposted,SANDRA M.,Normal
Invoice,INVS3049,5-CONTRACTS,2-A3284A,1,0,41.67,CENTRALI0001,USA-ILMO-T1,Unposted,,Unposted,PAUL W.,Normal
